year,group,obs_anom,model_anom
2000,Total,1.0588095046120776,1.025536764283944
2000,ZS2-CTH,0.27111590496699023,1.4015525894013556
2000,ZS3-CHA,1.296016009151522,1.5979266391258027
2000,ZS4-LAR,0.34641831756245917,0.8802357454343066
2001,Total,0.9008467481426997,-0.48185120037260754
2001,ZS2-CTH,-0.45187973442122287,-0.6919365057292853
2001,ZS3-CHA,1.1490324313728062,-0.2468638401169702
2001,ZS4-LAR,-0.3354940142556583,-0.2966654686247788
2002,Total,-0.8128788512052731,-1.3652461106480935
2002,ZS2-CTH,-0.38078408870385133,-1.315430667863561
2002,ZS3-CHA,-0.6328965657417615,-0.76240889396832
2002,ZS4-LAR,-2.6719389623191803,-1.1927129103204501
2003,Total,-0.9146166451776759,-0.021961023828456275
2003,ZS2-CTH,-1.2371286874872902,-0.0652910505315106
2003,ZS3-CHA,-0.6685388405904019,0.46387844970390446
2003,ZS4-LAR,-1.197115916904016,0.0790098769830473
2004,Total,-0.45000164083363403,-0.5961286233372715
2004,ZS2-CTH,-0.7463161927876821,-0.6073993530543513
2004,ZS3-CHA,-0.2841641134264875,0.2626962564688358
2004,ZS4-LAR,-0.35537399770812467,-0.5060314640189686
2005,Total,-0.11437879057709202,-0.014624551514939688
2005,ZS2-CTH,0.31605960345139306,-0.18656372833901713
2005,ZS3-CHA,-0.28567997126298045,-0.02968820289933305
2005,ZS4-LAR,0.16871683991203856,0.05620844011775644
2006,Total,0.04060758414326806,0.01093758189920703
2006,ZS2-CTH,-0.8068426725297255,-0.47982874633894435
2006,ZS3-CHA,0.12020378953757213,-0.8054097102627742
2006,ZS4-LAR,0.46869737366495673,0.15055663475188377
2007,Total,0.423718518774907,0.604011840437308
2007,ZS2-CTH,0.36246149942261524,0.25413261989989566
2007,ZS3-CHA,0.5374663785641808,0.4924765601667789
2007,ZS4-LAR,0.37229939906936754,0.5852096811013447
2008,Total,-0.9698648000498373,-1.352814400291027
2008,ZS2-CTH,-1.4305015978540767,-0.6789453472607795
2008,ZS3-CHA,-0.7557971134505135,0.15749564806000205
2008,ZS4-LAR,-1.2326025581374245,-1.9387183134750137
2009,Total,-0.9287649836822309,0.36323057028688305
2009,ZS2-CTH,-0.27971557019909293,0.06735266655831906
2009,ZS3-CHA,-0.8509843844540129,0.3851378453446405
2009,ZS4-LAR,-1.484528354431033,0.387899920527589
2012,Total,0.19065077678605757,0.8375158366543088
2012,ZS2-CTH,0.8656628995846322,0.8987237666471269
2012,ZS3-CHA,0.1249967259499234,0.7478478570767532
2012,ZS4-LAR,-0.5644730311231695,0.757333999293753
2013,Total,-0.5182361917541851,-1.0163773429255623
2013,ZS2-CTH,-0.6600602483553405,-0.9834939929025299
2013,ZS3-CHA,-0.5777628143110515,-0.6827810152270305
2013,ZS4-LAR,-0.33315811742627965,-1.0740200746093802
2014,Total,-1.4850532888215267,-0.7427613123029039
2014,ZS2-CTH,-1.6592477674325181,-0.5134047493362073
2014,ZS3-CHA,-1.2875710601658639,-0.10955077510660056
2014,ZS4-LAR,-1.163152157929985,-0.6254724408643293
2015,Total,0.27573088122956174,0.484417201658452
2015,ZS2-CTH,0.0015802973044979146,0.5263208904594532
2015,ZS3-CHA,0.29404228579492986,0.27402475742897214
2015,ZS4-LAR,0.018108928124233484,0.48779866585191506
2016,Total,0.4002925780363269,0.45771413556301355
2016,ZS2-CTH,0.6762762655648067,0.5230469076262195
2016,ZS3-CHA,0.24164844982355324,0.5021693862036618
2016,ZS4-LAR,0.5657230337108909,0.44343194853787626
2017,Total,-0.2917980748402833,-0.5533072979522233
2017,ZS2-CTH,-0.07949755461598867,-0.8504852215113006
2017,ZS3-CHA,-0.28087997728263386,-1.2422999587039738
2017,ZS4-LAR,0.33001947057592124,-0.5394169441236738
2018,Total,0.18664818591724378,-0.2689387967100131
2018,ZS2-CTH,0.331110261594471,-0.13525219242617126
2018,ZS3-CHA,0.2185962539210003,0.0038365695140053966
2018,ZS4-LAR,-0.22350423722970028,-0.2899939458044086
