season,group,obs_biomass,model_biomass
Fall,ZC1-EUP,0.8233,0.6606070745454545
Spring,ZC1-EUP,0.3837,0.2556522716521739
Summer,ZC1-EUP,1.0216,0.5997270470890411
Winter,ZC1-EUP,0.1843,0.4879972445652174
Fall,ZC2-AMP,0.6214999999999999,0.5198194285714286
Spring,ZC2-AMP,0.38079999999999997,0.20886313652173913
Summer,ZC2-AMP,0.8993000000000001,0.41607839178082195
Winter,ZC2-AMP,0.16749999999999998,0.4080655995923913
Fall,ZC3-DEC,0.045,0.10135299945454546
Spring,ZC3-DEC,0.1431,0.04629289288695652
Summer,ZC3-DEC,0.1395,0.0956065656849315
Winter,ZC3-DEC,0.043000000000000003,0.07065737194293478
Fall,ZC4-CLG,0.7083,0.7406757379220779
Spring,ZC4-CLG,0.8241,0.3525641313043478
Summer,ZC4-CLG,0.7435999999999999,0.7936348075342465
Winter,ZC4-CLG,0.2828,0.4939248527173913
Fall,ZC5-CSM,0.4943,0.5907353049350649
Spring,ZC5-CSM,0.5659,0.3214910078260869
Summer,ZC5-CSM,0.7111999999999999,0.7063071547945206
Winter,ZC5-CSM,0.23579999999999998,0.32274992798913044
Fall,Total,2.6923999999999997,2.6131905454285715
Spring,Total,2.2976,1.1848634401913043
Summer,Total,3.5151999999999997,2.611353966883562
Winter,Total,0.9134,1.7833949968070653
