season,group,obs_biomass,model_biomass
Fall,ZS2-CTH,0.0197,0.03295413561038961
Spring,ZS2-CTH,0.0403,0.009872018989565218
Summer,ZS2-CTH,0.0637,0.03635817260273972
Winter,ZS2-CTH,0.0085,0.024935339432065214
Fall,ZS3-CHA,0.1966,0.3321510607792208
Spring,ZS3-CHA,0.3654,0.2238103947826087
Summer,ZS3-CHA,0.3901,0.32885436438356164
Winter,ZS3-CHA,0.0787,0.3061910016304348
Fall,ZS4-LAR,0.052000000000000005,1.5045988085714286
Spring,ZS4-LAR,0.0705,1.2147633902608697
Summer,ZS4-LAR,0.0327,1.42399109880137
Winter,ZS4-LAR,0.0049,0.45999402554347824
Fall,Total,0.2683,2.6131905454285715
Spring,Total,0.4762,1.1848634401913043
Summer,Total,0.4865,2.611353966883562
Winter,Total,0.0921,1.7833949968070653
