Year,Season,n_tows
1996,Spring,2
1996,Winter,2
1997,Fall,4
1997,Spring,2
1997,Summer,4
1997,Winter,3
1998,Fall,2
1998,Spring,7
1998,Summer,4
1998,Winter,7
1999,Spring,2
1999,Summer,5
2000,Spring,2
2000,Summer,2
2001,Spring,2
2001,Summer,6
2002,Spring,1
2002,Winter,8
2003,Fall,6
2003,Spring,1
2003,Summer,1
2004,Fall,8
2004,Spring,14
2004,Summer,3
2004,Winter,2
2005,Fall,1
2005,Spring,4
2005,Summer,1
2005,Winter,3
2006,Fall,4
2006,Spring,5
2007,Fall,1
2007,Spring,3
2007,Summer,1
2007,Winter,2
2008,Fall,13
2008,Spring,4
2008,Summer,11
2008,Winter,2
2009,Fall,16
2009,Spring,6
2009,Summer,15
2009,Winter,9
2010,Fall,5
2010,Summer,9
2010,Winter,7
2011,Fall,2
2011,Summer,3
2011,Winter,4
2012,Fall,6
2012,Spring,3
2012,Summer,8
2013,Fall,7
2013,Spring,13
2013,Summer,7
2014,Fall,10
2014,Spring,12
2014,Summer,15
2015,Fall,27
2015,Spring,65
2015,Summer,42
2015,Winter,3
2016,Fall,30
2016,Spring,59
2016,Summer,57
2016,Winter,12
2017,Fall,12
2017,Spring,37
2017,Summer,31
2017,Winter,13
2018,Fall,9
2018,Spring,31
2018,Summer,14
2018,Winter,6
