"year","avg_mean","month"
1980,-0.0204757325052344,1
1980,-0.0204757325052344,2
1980,-0.0204757325052344,3
1980,-0.0204757325052344,4
1980,-0.0204757325052344,5
1980,-0.0204757325052344,6
1980,-0.0204757325052344,7
1980,-0.0204757325052344,8
1980,-0.0204757325052344,9
1980,-0.0204757325052344,10
1980,-0.0204757325052344,11
1980,-0.0204757325052344,12
1981,0.0208386836379986,1
1981,0.0208386836379986,2
1981,0.0208386836379986,3
1981,0.0208386836379986,4
1981,0.0208386836379986,5
1981,0.0208386836379986,6
1981,0.0208386836379986,7
1981,0.0208386836379986,8
1981,0.0208386836379986,9
1981,0.0208386836379986,10
1981,0.0208386836379986,11
1981,0.0208386836379986,12
1982,-0.148052489980942,1
1982,-0.148052489980942,2
1982,-0.148052489980942,3
1982,-0.148052489980942,4
1982,-0.148052489980942,5
1982,-0.148052489980942,6
1982,-0.148052489980942,7
1982,-0.148052489980942,8
1982,-0.148052489980942,9
1982,-0.148052489980942,10
1982,-0.148052489980942,11
1982,-0.148052489980942,12
1983,-0.170120139736673,1
1983,-0.170120139736673,2
1983,-0.170120139736673,3
1983,-0.170120139736673,4
1983,-0.170120139736673,5
1983,-0.170120139736673,6
1983,-0.170120139736673,7
1983,-0.170120139736673,8
1983,-0.170120139736673,9
1983,-0.170120139736673,10
1983,-0.170120139736673,11
1983,-0.170120139736673,12
1984,-0.361803652701723,1
1984,-0.361803652701723,2
1984,-0.361803652701723,3
1984,-0.361803652701723,4
1984,-0.361803652701723,5
1984,-0.361803652701723,6
1984,-0.361803652701723,7
1984,-0.361803652701723,8
1984,-0.361803652701723,9
1984,-0.361803652701723,10
1984,-0.361803652701723,11
1984,-0.361803652701723,12
1985,-0.275516714896387,1
1985,-0.275516714896387,2
1985,-0.275516714896387,3
1985,-0.275516714896387,4
1985,-0.275516714896387,5
1985,-0.275516714896387,6
1985,-0.275516714896387,7
1985,-0.275516714896387,8
1985,-0.275516714896387,9
1985,-0.275516714896387,10
1985,-0.275516714896387,11
1985,-0.275516714896387,12
1986,-0.0696418663432115,1
1986,-0.0696418663432115,2
1986,-0.0696418663432115,3
1986,-0.0696418663432115,4
1986,-0.0696418663432115,5
1986,-0.0696418663432115,6
1986,-0.0696418663432115,7
1986,-0.0696418663432115,8
1986,-0.0696418663432115,9
1986,-0.0696418663432115,10
1986,-0.0696418663432115,11
1986,-0.0696418663432115,12
1987,-0.0572157566100285,1
1987,-0.0572157566100285,2
1987,-0.0572157566100285,3
1987,-0.0572157566100285,4
1987,-0.0572157566100285,5
1987,-0.0572157566100285,6
1987,-0.0572157566100285,7
1987,-0.0572157566100285,8
1987,-0.0572157566100285,9
1987,-0.0572157566100285,10
1987,-0.0572157566100285,11
1987,-0.0572157566100285,12
1988,-0.0876185713413325,1
1988,-0.0876185713413325,2
1988,-0.0876185713413325,3
1988,-0.0876185713413325,4
1988,-0.0876185713413325,5
1988,-0.0876185713413325,6
1988,-0.0876185713413325,7
1988,-0.0876185713413325,8
1988,-0.0876185713413325,9
1988,-0.0876185713413325,10
1988,-0.0876185713413325,11
1988,-0.0876185713413325,12
1989,-0.0887883216231814,1
1989,-0.0887883216231814,2
1989,-0.0887883216231814,3
1989,-0.0887883216231814,4
1989,-0.0887883216231814,5
1989,-0.0887883216231814,6
1989,-0.0887883216231814,7
1989,-0.0887883216231814,8
1989,-0.0887883216231814,9
1989,-0.0887883216231814,10
1989,-0.0887883216231814,11
1989,-0.0887883216231814,12
1990,0.00163996943281259,1
1990,0.00163996943281259,2
1990,0.00163996943281259,3
1990,0.00163996943281259,4
1990,0.00163996943281259,5
1990,0.00163996943281259,6
1990,0.00163996943281259,7
1990,0.00163996943281259,8
1990,0.00163996943281259,9
1990,0.00163996943281259,10
1990,0.00163996943281259,11
1990,0.00163996943281259,12
1991,-0.0671122816006335,1
1991,-0.0671122816006335,2
1991,-0.0671122816006335,3
1991,-0.0671122816006335,4
1991,-0.0671122816006335,5
1991,-0.0671122816006335,6
1991,-0.0671122816006335,7
1991,-0.0671122816006335,8
1991,-0.0671122816006335,9
1991,-0.0671122816006335,10
1991,-0.0671122816006335,11
1991,-0.0671122816006335,12
1992,-0.0759800882522682,1
1992,-0.0759800882522682,2
1992,-0.0759800882522682,3
1992,-0.0759800882522682,4
1992,-0.0759800882522682,5
1992,-0.0759800882522682,6
1992,-0.0759800882522682,7
1992,-0.0759800882522682,8
1992,-0.0759800882522682,9
1992,-0.0759800882522682,10
1992,-0.0759800882522682,11
1992,-0.0759800882522682,12
1993,-0.212709771078273,1
1993,-0.212709771078273,2
1993,-0.212709771078273,3
1993,-0.212709771078273,4
1993,-0.212709771078273,5
1993,-0.212709771078273,6
1993,-0.212709771078273,7
1993,-0.212709771078273,8
1993,-0.212709771078273,9
1993,-0.212709771078273,10
1993,-0.212709771078273,11
1993,-0.212709771078273,12
1994,-0.0773112152721856,1
1994,-0.0773112152721856,2
1994,-0.0773112152721856,3
1994,-0.0773112152721856,4
1994,-0.0773112152721856,5
1994,-0.0773112152721856,6
1994,-0.0773112152721856,7
1994,-0.0773112152721856,8
1994,-0.0773112152721856,9
1994,-0.0773112152721856,10
1994,-0.0773112152721856,11
1994,-0.0773112152721856,12
1995,-0.0198341760012348,1
1995,-0.0198341760012348,2
1995,-0.0198341760012348,3
1995,-0.0198341760012348,4
1995,-0.0198341760012348,5
1995,-0.0198341760012348,6
1995,-0.0198341760012348,7
1995,-0.0198341760012348,8
1995,-0.0198341760012348,9
1995,-0.0198341760012348,10
1995,-0.0198341760012348,11
1995,-0.0198341760012348,12
1996,-0.020331542780641,1
1996,-0.020331542780641,2
1996,-0.020331542780641,3
1996,-0.020331542780641,4
1996,-0.020331542780641,5
1996,-0.020331542780641,6
1996,-0.020331542780641,7
1996,-0.020331542780641,8
1996,-0.020331542780641,9
1996,-0.020331542780641,10
1996,-0.020331542780641,11
1996,-0.020331542780641,12
1997,0.160405675182531,1
1997,0.160405675182531,2
1997,0.160405675182531,3
1997,0.160405675182531,4
1997,0.160405675182531,5
1997,0.160405675182531,6
1997,0.160405675182531,7
1997,0.160405675182531,8
1997,0.160405675182531,9
1997,0.160405675182531,10
1997,0.160405675182531,11
1997,0.160405675182531,12
1998,-0.153116690281581,1
1998,-0.153116690281581,2
1998,-0.153116690281581,3
1998,-0.153116690281581,4
1998,-0.153116690281581,5
1998,-0.153116690281581,6
1998,-0.153116690281581,7
1998,-0.153116690281581,8
1998,-0.153116690281581,9
1998,-0.153116690281581,10
1998,-0.153116690281581,11
1998,-0.153116690281581,12
1999,-0.102725360330434,1
1999,-0.102725360330434,2
1999,-0.102725360330434,3
1999,-0.102725360330434,4
1999,-0.102725360330434,5
1999,-0.102725360330434,6
1999,-0.102725360330434,7
1999,-0.102725360330434,8
1999,-0.102725360330434,9
1999,-0.102725360330434,10
1999,-0.102725360330434,11
1999,-0.102725360330434,12
2000,0.0464091676665593,1
2000,0.0464091676665593,2
2000,0.0464091676665593,3
2000,0.0464091676665593,4
