"year","month","mean"
"1980","1",-0.0220830111330327
"1980","2",-0.0188684538774361
"1980","3",-0.0212057958809792
"1980","4",-0.0175033999838943
"1980","5",-0.00737791164036079
"1980","6",-0.00109152945321311
"1980","7",-0.000955083205830256
"1980","8",0.0116781929859881
"1980","9",0.0273159399057819
"1980","10",0.0473364690972782
"1980","11",0.0402423620148172
"1980","12",0.0241988220124013
"1981","1",0.0231571991262684
"1981","2",0.0151600297753261
"1981","3",0.0212714121235303
"1981","4",0.0217836727331293
"1981","5",0.0165389412344983
"1981","6",-0.013539474210823
"1981","7",-0.0325449907593816
"1981","8",-0.0407189090433242
"1981","9",-0.0487461130818167
"1981","10",-0.0914780478136576
"1981","11",-0.133653718030279
"1981","12",-0.152931034244645
"1982","1",-0.144150670659526
"1982","2",-0.147075765038654
"1982","3",-0.157108556873087
"1982","4",-0.160302446207119
"1982","5",-0.156148655157835
"1982","6",-0.123392293263811
"1982","7",-0.107540940026574
"1982","8",-0.107592889313899
"1982","9",-0.0988012207481076
"1982","10",-0.112495290203737
"1982","11",-0.156043252979546
"1982","12",-0.174598762542277
"1983","1",-0.169143073139797
"1983","2",-0.166618583527943
"1983","3",-0.183084109296988
"1983","4",-0.196949859961346
"1983","5",-0.204559773534386
"1983","6",-0.215708921223224
"1983","7",-0.248008508797713
"1983","8",-0.296093120993719
"1983","9",-0.325353385347882
"1983","10",-0.338829327407795
"1983","11",-0.362459660533097
"1983","12",-0.369746437852311
"1984","1",-0.359003905157835
"1984","2",-0.356660615095023
"1984","3",-0.362491421585601
"1984","4",-0.359720805846352
"1984","5",-0.359531818066516
"1984","6",-0.34870142235062
"1984","7",-0.314012854908198
"1984","8",-0.282117574206797
"1984","9",-0.264665015562087
"1984","10",-0.281311963822677
"1984","11",-0.312866887703334
"1984","12",-0.307747029171364
"1985","1",-0.27288885667982
"1985","2",-0.245914258837977
"1985","3",-0.215206945824609
"1985","4",-0.17973824327589
"1985","5",-0.169706854143179
"1985","6",-0.15692154861894
"1985","7",-0.159312723566597
"1985","8",-0.165397387059108
"1985","9",-0.151762575877758
"1985","10",-0.108701264837333
"1985","11",-0.0805434147608311
"1985","12",-0.0695350274802706
"1986","1",-0.0638990838500564
"1986","2",-0.0754914876993075
"1986","3",-0.0783923251932678
"1986","4",-0.0795224794652923
"1986","5",-0.100282772970688
"1986","6",-0.11585143024239
"1986","7",-0.137672483431309
"1986","8",-0.113381061805444
"1986","9",-0.094580100116766
"1986","10",-0.0767418956152359
"1986","11",-0.0629739914237398
"1986","12",-0.0575093025648252
"1987","1",-0.0518396847519729
"1987","2",-0.0622982825132872
"1987","3",-0.0747105732203253
"1987","4",-0.0677605995329361
"1987","5",-0.0714790762401353
"1987","6",-0.0864765897688839
"1987","7",-0.0997881034989532
"1987","8",-0.118853751771622
"1987","9",-0.126350262461749
"1987","10",-0.115234867430343
"1987","11",-0.0930845179175391
"1987","12",-0.0928346047068771
"1988","1",-0.0828108070744082
"1988","2",-0.0872103022427123
"1988","3",-0.0821091436825576
"1988","4",-0.0846231857787084
"1988","5",-0.0973613253945885
"1988","6",-0.135293657976325
"1988","7",-0.170318126046867
"1988","8",-0.178444581534869
"1988","9",-0.164126658741343
"1988","10",-0.138090282875664
"1988","11",-0.128758572596231
"1988","12",-0.121302333568207
"1989","1",-0.0851752523957159
"1989","2",-0.0598873789056209
"1989","3",-0.0670885484176195
"1989","4",-0.078856532452891
"1989","5",-0.0807293936020293
"1989","6",-0.07330840656708
"1989","7",-0.0945753193952328
"1989","8",-0.127504959212433
"1989","9",-0.109326120973587
"1989","10",-0.0626188989974231
"1989","11",-0.0304250754147206
"1989","12",-0.0182679891488162
"1990","1",0.00930107003945887
"1990","2",0.0138868274077952
"1990","3",0.0255045834876792
"1990","4",0.0417082313577065
"1990","5",0.0392202343573844
"1990","6",0.0104992371758737
"1990","7",-0.0211764625744886
"1990","8",-0.0463784355371235
"1990","9",-0.0607536547954582
"1990","10",-0.0717092592003543
"1990","11",-0.0723428995409889
"1990","12",-0.0750913921927846
"1991","1",-0.0596244637824126
"1991","2",-0.0666209888267032
"1991","3",-0.0676239441335158
"1991","4",-0.0592844050571751
"1991","5",-0.0546118936020293
"1991","6",-0.058980668686584
"1991","7",-0.0563830510750523
"1991","8",-0.0841314513206635
"1991","9",-0.120258025144951
"1991","10",-0.116503009482203
"1991","11",-0.0901134406909326
"1991","12",-0.0793691035794814
"1992","1",-0.0685636452931228
"1992","2",-0.0800075158842004
"1992","3",-0.0796873545055564
"1992","4",-0.0720178374134322
"1992","5",-0.0883293248308907
"1992","6",-0.109377999013529
"1992","7",-0.137325231458367
"1992","8",-0.169188981760348
"1992","9",-0.198180197072798
"1992","10",-0.227302565288291
"1992","11",-0.231599618819456
"1992","12",-0.219556922632469
"1993","1",-0.206359104706877
"1993","2",-0.212213285895474
"1993","3",-0.205011076038815
"1993","4",-0.210891600660332
"1993","5",-0.232605283680947
"1993","6",-0.261839930806088
"1993","7",-0.269372978921727
"1993","8",-0.248154458085038
"1993","9",-0.206274440026574
"1993","10",-0.147875265964729
"1993","11",-0.109089566959253
"1993","12",-0.0894809666009019
"1994","1",-0.0783094485625705
"1994","2",-0.0641432306530842
"1994","3",-0.0628841848325012
"1994","4",-0.0621533520695765
"1994","5",-0.0648792104002255
"1994","6",-0.079440974210823
"1994","7",-0.0815304625744887
"1994","8",-0.0740568402721856
"1994","9",-0.0640636604324368
"1994","10",-0.0231856881744242
"1994","11",-0.0120988296424545
"1994","12",-0.0201680094419391
"1995","1",-0.0191943059470124
"1995","2",-0.0201402126147529
"1995","3",-0.0278073922733129
"1995","4",-0.0420960736028346
"1995","5",-0.0376386754509583
"1995","6",-0.0373748096110485
