"year","avg_mean","month"
"1980",-0.0885118129742389,1
"1980",-0.0885118129742389,2
"1980",-0.0885118129742389,3
"1980",-0.0885118129742389,4
"1980",-0.0885118129742389,5
"1980",-0.0885118129742389,6
"1980",-0.0885118129742389,7
"1980",-0.0885118129742389,8
"1980",-0.0885118129742389,9
"1980",-0.0885118129742389,10
"1980",-0.0885118129742389,11
"1980",-0.0885118129742389,12
"1981",0.052210797626854,1
"1981",0.052210797626854,2
"1981",0.052210797626854,3
"1981",0.052210797626854,4
"1981",0.052210797626854,5
"1981",0.052210797626854,6
"1981",0.052210797626854,7
"1981",0.052210797626854,8
"1981",0.052210797626854,9
"1981",0.052210797626854,10
"1981",0.052210797626854,11
"1981",0.052210797626854,12
"1982",-0.235987164231069,1
"1982",-0.235987164231069,2
"1982",-0.235987164231069,3
"1982",-0.235987164231069,4
"1982",-0.235987164231069,5
"1982",-0.235987164231069,6
"1982",-0.235987164231069,7
"1982",-0.235987164231069,8
"1982",-0.235987164231069,9
"1982",-0.235987164231069,10
"1982",-0.235987164231069,11
"1982",-0.235987164231069,12
"1983",0.112162080796253,1
"1983",0.112162080796253,2
"1983",0.112162080796253,3
"1983",0.112162080796253,4
"1983",0.112162080796253,5
"1983",0.112162080796253,6
"1983",0.112162080796253,7
"1983",0.112162080796253,8
"1983",0.112162080796253,9
"1983",0.112162080796253,10
"1983",0.112162080796253,11
"1983",0.112162080796253,12
"1984",-0.673192102045277,1
"1984",-0.673192102045277,2
"1984",-0.673192102045277,3
"1984",-0.673192102045277,4
"1984",-0.673192102045277,5
"1984",-0.673192102045277,6
"1984",-0.673192102045277,7
"1984",-0.673192102045277,8
"1984",-0.673192102045277,9
"1984",-0.673192102045277,10
"1984",-0.673192102045277,11
"1984",-0.673192102045277,12
"1985",-1.26630247570648,1
"1985",-1.26630247570648,2
"1985",-1.26630247570648,3
"1985",-1.26630247570648,4
"1985",-1.26630247570648,5
"1985",-1.26630247570648,6
"1985",-1.26630247570648,7
"1985",-1.26630247570648,8
"1985",-1.26630247570648,9
"1985",-1.26630247570648,10
"1985",-1.26630247570648,11
"1985",-1.26630247570648,12
"1986",-0.176554126526151,1
"1986",-0.176554126526151,2
"1986",-0.176554126526151,3
"1986",-0.176554126526151,4
"1986",-0.176554126526151,5
"1986",-0.176554126526151,6
"1986",-0.176554126526151,7
"1986",-0.176554126526151,8
"1986",-0.176554126526151,9
"1986",-0.176554126526151,10
"1986",-0.176554126526151,11
"1986",-0.176554126526151,12
"1987",0.225498157189696,1
"1987",0.225498157189696,2
"1987",0.225498157189696,3
"1987",0.225498157189696,4
"1987",0.225498157189696,5
"1987",0.225498157189696,6
"1987",0.225498157189696,7
"1987",0.225498157189696,8
"1987",0.225498157189696,9
"1987",0.225498157189696,10
"1987",0.225498157189696,11
"1987",0.225498157189696,12
"1988",-0.219102925761124,1
"1988",-0.219102925761124,2
"1988",-0.219102925761124,3
"1988",-0.219102925761124,4
"1988",-0.219102925761124,5
"1988",-0.219102925761124,6
"1988",-0.219102925761124,7
"1988",-0.219102925761124,8
"1988",-0.219102925761124,9
"1988",-0.219102925761124,10
"1988",-0.219102925761124,11
"1988",-0.219102925761124,12
"1989",-0.130250039531616,1
"1989",-0.130250039531616,2
"1989",-0.130250039531616,3
"1989",-0.130250039531616,4
"1989",-0.130250039531616,5
"1989",-0.130250039531616,6
"1989",-0.130250039531616,7
"1989",-0.130250039531616,8
"1989",-0.130250039531616,9
"1989",-0.130250039531616,10
"1989",-0.130250039531616,11
"1989",-0.130250039531616,12
"1990",-0.0993857071818891,1
"1990",-0.0993857071818891,2
"1990",-0.0993857071818891,3
"1990",-0.0993857071818891,4
"1990",-0.0993857071818891,5
"1990",-0.0993857071818891,6
"1990",-0.0993857071818891,7
"1990",-0.0993857071818891,8
"1990",-0.0993857071818891,9
"1990",-0.0993857071818891,10
"1990",-0.0993857071818891,11
"1990",-0.0993857071818891,12
"1991",-0.310368929476971,1
"1991",-0.310368929476971,2
"1991",-0.310368929476971,3
"1991",-0.310368929476971,4
"1991",-0.310368929476971,5
"1991",-0.310368929476971,6
"1991",-0.310368929476971,7
"1991",-0.310368929476971,8
"1991",-0.310368929476971,9
"1991",-0.310368929476971,10
"1991",-0.310368929476971,11
"1991",-0.310368929476971,12
"1992",-0.212058208930523,1
"1992",-0.212058208930523,2
"1992",-0.212058208930523,3
"1992",-0.212058208930523,4
"1992",-0.212058208930523,5
"1992",-0.212058208930523,6
"1992",-0.212058208930523,7
"1992",-0.212058208930523,8
"1992",-0.212058208930523,9
"1992",-0.212058208930523,10
"1992",-0.212058208930523,11
"1992",-0.212058208930523,12
"1993",0.315523846042155,1
"1993",0.315523846042155,2
"1993",0.315523846042155,3
"1993",0.315523846042155,4
"1993",0.315523846042155,5
"1993",0.315523846042155,6
"1993",0.315523846042155,7
"1993",0.315523846042155,8
"1993",0.315523846042155,9
"1993",0.315523846042155,10
"1993",0.315523846042155,11
"1993",0.315523846042155,12
"1994",0.0254229791569087,1
"1994",0.0254229791569087,2
"1994",0.0254229791569087,3
"1994",0.0254229791569087,4
"1994",0.0254229791569087,5
"1994",0.0254229791569087,6
"1994",0.0254229791569087,7
"1994",0.0254229791569087,8
"1994",0.0254229791569087,9
"1994",0.0254229791569087,10
"1994",0.0254229791569087,11
"1994",0.0254229791569087,12
"1995",0.166137075441062,1
"1995",0.166137075441062,2
"1995",0.166137075441062,3
"1995",0.166137075441062,4
"1995",0.166137075441062,5
"1995",0.166137075441062,6
"1995",0.166137075441062,7
"1995",0.166137075441062,8
"1995",0.166137075441062,9
"1995",0.166137075441062,10
"1995",0.166137075441062,11
"1995",0.166137075441062,12
"1996",-0.654170956908665,1
"1996",-0.654170956908665,2
"1996",-0.654170956908665,3
"1996",-0.654170956908665,4
"1996",-0.654170956908665,5
"1996",-0.654170956908665,6
"1996",-0.654170956908665,7
"1996",-0.654170956908665,8
"1996",-0.654170956908665,9
"1996",-0.654170956908665,10
"1996",-0.654170956908665,11
"1996",-0.654170956908665,12
"1997",0.0810063835284933,1
"1997",0.0810063835284933,2
"1997",0.0810063835284933,3
"1997",0.0810063835284933,4
"1997",0.0810063835284933,5
"1997",0.0810063835284933,6
"1997",0.0810063835284933,7
"1997",0.0810063835284933,8
"1997",0.0810063835284933,9
"1997",0.0810063835284933,10
"1997",0.0810063835284933,11
"1997",0.0810063835284933,12
"1998",0.507246494348165,1
"1998",0.507246494348165,2
"1998",0.507246494348165,3
"1998",0.507246494348165,4
"1998",0.507246494348165,5
"1998",0.507246494348165,6
"1998",0.507246494348165,7
"1998",0.507246494348165,8
"1998",0.507246494348165,9
"1998",0.507246494348165,10
"1998",0.507246494348165,11
"1998",0.507246494348165,12
"1999",-0.469081092209212,1
"1999",-0.469081092209212,2
"1999",-0.469081092209212,3
"1999",-0.469081092209212,4
"1999",-0.469081092209212,5
"1999",-0.469081092209212,6
"1999",-0.469081092209212,7
"1999",-0.469081092209212,8
"1999",-0.469081092209212,9
"1999",-0.469081092209212,10
"1999",-0.469081092209212,11
"1999",-0.469081092209212,12
"2000",-0.176924262482436,1
"2000",-0.176924262482436,2
"2000",-0.176924262482436,3
"2000",-0.176924262482436,4
"2000",-0.176924262482436,5
"2000",-0.176924262482436,6
"2000",-0.176924262482436,7
"2000",-0.176924262482436,8
"2000",-0.176924262482436,9
"2000",-0.176924262482436,10
"2000",-0.176924262482436,11
"2000",-0.176924262482436,12
"2001",-0.143332658001561,1
"2001",-0.143332658001561,2
"2001",-0.143332658001561,3
"2001",-0.143332658001561,4
"2001",-0.143332658001561,5
"2001",-0.143332658001561,6
"2001",-0.143332658001561,7
"2001",-0.143332658001561,8
"2001",-0.143332658001561,9
"2001",-0.143332658001561,10
"2001",-0.143332658001561,11
"2001",-0.143332658001561,12
"2002",-0.139295317127244,1
"2002",-0.139295317127244,2
"2002",-0.139295317127244,3
"2002",-0.139295317127244,4
"2002",-0.139295317127244,5
"2002",-0.139295317127244,6
"2002",-0.139295317127244,7
"2002",-0.139295317127244,8
"2002",-0.139295317127244,9
"2002",-0.139295317127244,10
"2002",-0.139295317127244,11
"2002",-0.139295317127244,12
"2003",-0.275479008165496,1
"2003",-0.275479008165496,2
"2003",-0.275479008165496,3
"2003",-0.275479008165496,4
"2003",-0.275479008165496,5
"2003",-0.275479008165496,6
"2003",-0.275479008165496,7
"2003",-0.275479008165496,8
"2003",-0.275479008165496,9
"2003",-0.275479008165496,10
"2003",-0.275479008165496,11
"2003",-0.275479008165496,12
"2004",0.071729031069477,1
"2004",0.071729031069477,2
"2004",0.071729031069477,3
"2004",0.071729031069477,4
"2004",0.071729031069477,5
"2004",0.071729031069477,6
"2004",0.071729031069477,7
"2004",0.071729031069477,8
"2004",0.071729031069477,9
"2004",0.071729031069477,10
"2004",0.071729031069477,11
"2004",0.071729031069477,12
"2005",-0.125332216580796,1
"2005",-0.125332216580796,2
"2005",-0.125332216580796,3
"2005",-0.125332216580796,4
"2005",-0.125332216580796,5
"2005",-0.125332216580796,6
"2005",-0.125332216580796,7
"2005",-0.125332216580796,8
"2005",-0.125332216580796,9
"2005",-0.125332216580796,10
"2005",-0.125332216580796,11
"2005",-0.125332216580796,12
"2006",-0.176188181389539,1
"2006",-0.176188181389539,2
"2006",-0.176188181389539,3
"2006",-0.176188181389539,4
"2006",-0.176188181389539,5
"2006",-0.176188181389539,6
"2006",-0.176188181389539,7
"2006",-0.176188181389539,8
"2006",-0.176188181389539,9
"2006",-0.176188181389539,10
"2006",-0.176188181389539,11
"2006",-0.176188181389539,12
"2007",-0.679652850897736,1
"2007",-0.679652850897736,2
"2007",-0.679652850897736,3
"2007",-0.679652850897736,4
"2007",-0.679652850897736,5
"2007",-0.679652850897736,6
"2007",-0.679652850897736,7
"2007",-0.679652850897736,8
"2007",-0.679652850897736,9
"2007",-0.679652850897736,10
"2007",-0.679652850897736,11
"2007",-0.679652850897736,12
"2008",-0.463945970679157,1
"2008",-0.463945970679157,2
"2008",-0.463945970679157,3
"2008",-0.463945970679157,4
"2008",-0.463945970679157,5
"2008",-0.463945970679157,6
"2008",-0.463945970679157,7
"2008",-0.463945970679157,8
"2008",-0.463945970679157,9
"2008",-0.463945970679157,10
"2008",-0.463945970679157,11
"2008",-0.463945970679157,12
"2009",0.181217184839969,1
"2009",0.181217184839969,2
"2009",0.181217184839969,3
"2009",0.181217184839969,4
"2009",0.181217184839969,5
"2009",0.181217184839969,6
"2009",0.181217184839969,7
"2009",0.181217184839969,8
"2009",0.181217184839969,9
"2009",0.181217184839969,10
"2009",0.181217184839969,11
"2009",0.181217184839969,12
"2010",0.0979110992661983,1
"2010",0.0979110992661983,2
"2010",0.0979110992661983,3
"2010",0.0979110992661983,4
"2010",0.0979110992661983,5
"2010",0.0979110992661983,6
"2010",0.0979110992661983,7
"2010",0.0979110992661983,8
"2010",0.0979110992661983,9
"2010",0.0979110992661983,10
"2010",0.0979110992661983,11
"2010",0.0979110992661983,12
"2011",-0.104186380952381,1
"2011",-0.104186380952381,2
"2011",-0.104186380952381,3
"2011",-0.104186380952381,4
"2011",-0.104186380952381,5
"2011",-0.104186380952381,6
"2011",-0.104186380952381,7
"2011",-0.104186380952381,8
"2011",-0.104186380952381,9
"2011",-0.104186380952381,10
"2011",-0.104186380952381,11
"2011",-0.104186380952381,12
"2012",-0.0483062397501952,1
"2012",-0.0483062397501952,2
"2012",-0.0483062397501952,3
"2012",-0.0483062397501952,4
"2012",-0.0483062397501952,5
"2012",-0.0483062397501952,6
"2012",-0.0483062397501952,7
"2012",-0.0483062397501952,8
"2012",-0.0483062397501952,9
"2012",-0.0483062397501952,10
"2012",-0.0483062397501952,11
"2012",-0.0483062397501952,12
"2013",0.423271443965652,1
"2013",0.423271443965652,2
"2013",0.423271443965652,3
"2013",0.423271443965652,4
"2013",0.423271443965652,5
"2013",0.423271443965652,6
"2013",0.423271443965652,7
"2013",0.423271443965652,8
"2013",0.423271443965652,9
"2013",0.423271443965652,10
"2013",0.423271443965652,11
"2013",0.423271443965652,12
"2014",0.924446397626854,1
"2014",0.924446397626854,2
"2014",0.924446397626854,3
"2014",0.924446397626854,4
"2014",0.924446397626854,5
"2014",0.924446397626854,6
"2014",0.924446397626854,7
"2014",0.924446397626854,8
"2014",0.924446397626854,9
"2014",0.924446397626854,10
"2014",0.924446397626854,11
"2014",0.924446397626854,12
"2015",0.336990483856362,1
"2015",0.336990483856362,2
"2015",0.336990483856362,3
"2015",0.336990483856362,4
"2015",0.336990483856362,5
"2015",0.336990483856362,6
"2015",0.336990483856362,7
"2015",0.336990483856362,8
"2015",0.336990483856362,9
"2015",0.336990483856362,10
"2015",0.336990483856362,11
"2015",0.336990483856362,12
"2016",0.29834121587822,1
"2016",0.29834121587822,2
"2016",0.29834121587822,3
"2016",0.29834121587822,4
"2016",0.29834121587822,5
"2016",0.29834121587822,6
"2016",0.29834121587822,7
"2016",0.29834121587822,8
"2016",0.29834121587822,9
"2016",0.29834121587822,10
"2016",0.29834121587822,11
"2016",0.29834121587822,12
"2017",0.222869966260734,1
"2017",0.222869966260734,2
"2017",0.222869966260734,3
"2017",0.222869966260734,4
"2017",0.222869966260734,5
"2017",0.222869966260734,6
"2017",0.222869966260734,7
"2017",0.222869966260734,8
"2017",0.222869966260734,9
"2017",0.222869966260734,10
"2017",0.222869966260734,11
"2017",0.222869966260734,12
"2018",0.326208672271663,1
"2018",0.326208672271663,2
"2018",0.326208672271663,3
"2018",0.326208672271663,4
"2018",0.326208672271663,5
"2018",0.326208672271663,6
"2018",0.326208672271663,7
"2018",0.326208672271663,8
"2018",0.326208672271663,9
"2018",0.326208672271663,10
"2018",0.326208672271663,11
"2018",0.326208672271663,12
