"year","avg_mean","month"
"1980",0.756166786775956,1
"1980",0.756166786775956,2
"1980",0.756166786775956,3
"1980",0.756166786775956,4
"1980",0.756166786775956,5
"1980",0.756166786775956,6
"1980",0.756166786775956,7
"1980",0.756166786775956,8
"1980",0.756166786775956,9
"1980",0.756166786775956,10
"1980",0.756166786775956,11
"1980",0.756166786775956,12
"1981",0.887898297377049,1
"1981",0.887898297377049,2
"1981",0.887898297377049,3
"1981",0.887898297377049,4
"1981",0.887898297377049,5
"1981",0.887898297377049,6
"1981",0.887898297377049,7
"1981",0.887898297377049,8
"1981",0.887898297377049,9
"1981",0.887898297377049,10
"1981",0.887898297377049,11
"1981",0.887898297377049,12
"1982",1.13666920961749,1
"1982",1.13666920961749,2
"1982",1.13666920961749,3
"1982",1.13666920961749,4
"1982",1.13666920961749,5
"1982",1.13666920961749,6
"1982",1.13666920961749,7
"1982",1.13666920961749,8
"1982",1.13666920961749,9
"1982",1.13666920961749,10
"1982",1.13666920961749,11
"1982",1.13666920961749,12
"1983",1.21314678010929,1
"1983",1.21314678010929,2
"1983",1.21314678010929,3
"1983",1.21314678010929,4
"1983",1.21314678010929,5
"1983",1.21314678010929,6
"1983",1.21314678010929,7
"1983",1.21314678010929,8
"1983",1.21314678010929,9
"1983",1.21314678010929,10
"1983",1.21314678010929,11
"1983",1.21314678010929,12
"1984",0.709870492459016,1
"1984",0.709870492459016,2
"1984",0.709870492459016,3
"1984",0.709870492459016,4
"1984",0.709870492459016,5
"1984",0.709870492459016,6
"1984",0.709870492459016,7
"1984",0.709870492459016,8
"1984",0.709870492459016,9
"1984",0.709870492459016,10
"1984",0.709870492459016,11
"1984",0.709870492459016,12
"1985",0.740655891256831,1
"1985",0.740655891256831,2
"1985",0.740655891256831,3
"1985",0.740655891256831,4
"1985",0.740655891256831,5
"1985",0.740655891256831,6
"1985",0.740655891256831,7
"1985",0.740655891256831,8
"1985",0.740655891256831,9
"1985",0.740655891256831,10
"1985",0.740655891256831,11
"1985",0.740655891256831,12
"1986",0.458782676939891,1
"1986",0.458782676939891,2
"1986",0.458782676939891,3
"1986",0.458782676939891,4
"1986",0.458782676939891,5
"1986",0.458782676939891,6
"1986",0.458782676939891,7
"1986",0.458782676939891,8
"1986",0.458782676939891,9
"1986",0.458782676939891,10
"1986",0.458782676939891,11
"1986",0.458782676939891,12
"1987",0.640200197814208,1
"1987",0.640200197814208,2
"1987",0.640200197814208,3
"1987",0.640200197814208,4
"1987",0.640200197814208,5
"1987",0.640200197814208,6
"1987",0.640200197814208,7
"1987",0.640200197814208,8
"1987",0.640200197814208,9
"1987",0.640200197814208,10
"1987",0.640200197814208,11
"1987",0.640200197814208,12
"1988",0.542305940765027,1
"1988",0.542305940765027,2
"1988",0.542305940765027,3
"1988",0.542305940765027,4
"1988",0.542305940765027,5
"1988",0.542305940765027,6
"1988",0.542305940765027,7
"1988",0.542305940765027,8
"1988",0.542305940765027,9
"1988",0.542305940765027,10
"1988",0.542305940765027,11
"1988",0.542305940765027,12
"1989",1,1
"1989",1,2
"1989",1,3
"1989",1,4
"1989",1,5
"1989",1,6
"1989",1,7
"1989",1,8
"1989",1,9
"1989",1,10
"1989",1,11
"1989",1,12
"1990",1.12593925224044,1
"1990",1.12593925224044,2
"1990",1.12593925224044,3
"1990",1.12593925224044,4
"1990",1.12593925224044,5
"1990",1.12593925224044,6
"1990",1.12593925224044,7
"1990",1.12593925224044,8
"1990",1.12593925224044,9
"1990",1.12593925224044,10
"1990",1.12593925224044,11
"1990",1.12593925224044,12
"1991",0.244978309508197,1
"1991",0.244978309508197,2
"1991",0.244978309508197,3
"1991",0.244978309508197,4
"1991",0.244978309508197,5
"1991",0.244978309508197,6
"1991",0.244978309508197,7
"1991",0.244978309508197,8
"1991",0.244978309508197,9
"1991",0.244978309508197,10
"1991",0.244978309508197,11
"1991",0.244978309508197,12
"1992",1.50361294775956,1
"1992",1.50361294775956,2
"1992",1.50361294775956,3
"1992",1.50361294775956,4
"1992",1.50361294775956,5
"1992",1.50361294775956,6
"1992",1.50361294775956,7
"1992",1.50361294775956,8
"1992",1.50361294775956,9
"1992",1.50361294775956,10
"1992",1.50361294775956,11
"1992",1.50361294775956,12
"1993",1.21750808918033,1
"1993",1.21750808918033,2
"1993",1.21750808918033,3
"1993",1.21750808918033,4
"1993",1.21750808918033,5
"1993",1.21750808918033,6
"1993",1.21750808918033,7
"1993",1.21750808918033,8
"1993",1.21750808918033,9
"1993",1.21750808918033,10
"1993",1.21750808918033,11
"1993",1.21750808918033,12
"1994",1.1735763915847,1
"1994",1.1735763915847,2
"1994",1.1735763915847,3
"1994",1.1735763915847,4
"1994",1.1735763915847,5
"1994",1.1735763915847,6
"1994",1.1735763915847,7
"1994",1.1735763915847,8
"1994",1.1735763915847,9
"1994",1.1735763915847,10
"1994",1.1735763915847,11
"1994",1.1735763915847,12
"1995",0.943610564043716,1
"1995",0.943610564043716,2
"1995",0.943610564043716,3
"1995",0.943610564043716,4
"1995",0.943610564043716,5
"1995",0.943610564043716,6
"1995",0.943610564043716,7
"1995",0.943610564043716,8
"1995",0.943610564043716,9
"1995",0.943610564043716,10
"1995",0.943610564043716,11
"1995",0.943610564043716,12
"1996",0.365563818142077,1
"1996",0.365563818142077,2
"1996",0.365563818142077,3
"1996",0.365563818142077,4
"1996",0.365563818142077,5
"1996",0.365563818142077,6
"1996",0.365563818142077,7
"1996",0.365563818142077,8
"1996",0.365563818142077,9
"1996",0.365563818142077,10
"1996",0.365563818142077,11
"1996",0.365563818142077,12
"1997",1.24223359278689,1
"1997",1.24223359278689,2
"1997",1.24223359278689,3
"1997",1.24223359278689,4
"1997",1.24223359278689,5
"1997",1.24223359278689,6
"1997",1.24223359278689,7
"1997",1.24223359278689,8
"1997",1.24223359278689,9
"1997",1.24223359278689,10
"1997",1.24223359278689,11
"1997",1.24223359278689,12
"1998",2,1
"1998",2,2
"1998",2,3
"1998",2,4
"1998",2,5
"1998",2,6
"1998",2,7
"1998",2,8
"1998",2,9
"1998",2,10
"1998",2,11
"1998",2,12
"1999",0.246245920874317,1
"1999",0.246245920874317,2
"1999",0.246245920874317,3
"1999",0.246245920874317,4
"1999",0.246245920874317,5
"1999",0.246245920874317,6
"1999",0.246245920874317,7
"1999",0.246245920874317,8
"1999",0.246245920874317,9
"1999",0.246245920874317,10
"1999",0.246245920874317,11
"1999",0.246245920874317,12
"2000",0.900550980327869,1
"2000",0.900550980327869,2
"2000",0.900550980327869,3
"2000",0.900550980327869,4
"2000",0.900550980327869,5
"2000",0.900550980327869,6
"2000",0.900550980327869,7
"2000",0.900550980327869,8
"2000",0.900550980327869,9
"2000",0.900550980327869,10
"2000",0.900550980327869,11
"2000",0.900550980327869,12
"2001",0.804536579672131,1
"2001",0.804536579672131,2
"2001",0.804536579672131,3
"2001",0.804536579672131,4
"2001",0.804536579672131,5
"2001",0.804536579672131,6
"2001",0.804536579672131,7
"2001",0.804536579672131,8
"2001",0.804536579672131,9
"2001",0.804536579672131,10
"2001",0.804536579672131,11
"2001",0.804536579672131,12
"2002",0.476698564371585,1
"2002",0.476698564371585,2
"2002",0.476698564371585,3
"2002",0.476698564371585,4
"2002",0.476698564371585,5
"2002",0.476698564371585,6
"2002",0.476698564371585,7
"2002",0.476698564371585,8
"2002",0.476698564371585,9
"2002",0.476698564371585,10
"2002",0.476698564371585,11
"2002",0.476698564371585,12
"2003",1.12842060032787,1
"2003",1.12842060032787,2
"2003",1.12842060032787,3
"2003",1.12842060032787,4
"2003",1.12842060032787,5
"2003",1.12842060032787,6
"2003",1.12842060032787,7
"2003",1.12842060032787,8
"2003",1.12842060032787,9
"2003",1.12842060032787,10
"2003",1.12842060032787,11
"2003",1.12842060032787,12
"2004",1.47729335672131,1
"2004",1.47729335672131,2
"2004",1.47729335672131,3
"2004",1.47729335672131,4
"2004",1.47729335672131,5
"2004",1.47729335672131,6
"2004",1.47729335672131,7
"2004",1.47729335672131,8
"2004",1.47729335672131,9
"2004",1.47729335672131,10
"2004",1.47729335672131,11
"2004",1.47729335672131,12
"2005",0.914661142404372,1
"2005",0.914661142404372,2
"2005",0.914661142404372,3
"2005",0.914661142404372,4
"2005",0.914661142404372,5
"2005",0.914661142404372,6
"2005",0.914661142404372,7
"2005",0.914661142404372,8
"2005",0.914661142404372,9
"2005",0.914661142404372,10
"2005",0.914661142404372,11
"2005",0.914661142404372,12
"2006",0.796756698251366,1
"2006",0.796756698251366,2
"2006",0.796756698251366,3
"2006",0.796756698251366,4
"2006",0.796756698251366,5
"2006",0.796756698251366,6
"2006",0.796756698251366,7
"2006",0.796756698251366,8
"2006",0.796756698251366,9
"2006",0.796756698251366,10
"2006",0.796756698251366,11
"2006",0.796756698251366,12
"2007",0.212737595519126,1
"2007",0.212737595519126,2
"2007",0.212737595519126,3
"2007",0.212737595519126,4
"2007",0.212737595519126,5
"2007",0.212737595519126,6
"2007",0.212737595519126,7
"2007",0.212737595519126,8
"2007",0.212737595519126,9
"2007",0.212737595519126,10
"2007",0.212737595519126,11
"2007",0.212737595519126,12
"2008",0.307826989289617,1
"2008",0.307826989289617,2
"2008",0.307826989289617,3
"2008",0.307826989289617,4
"2008",0.307826989289617,5
"2008",0.307826989289617,6
"2008",0.307826989289617,7
"2008",0.307826989289617,8
"2008",0.307826989289617,9
"2008",0.307826989289617,10
