"year","month","mean"
"1980","1",0.284625951370023
"1980","2",0.216426561709602
"1980","3",0.0528455872131147
"1980","4",0.407839236709602
"1980","5",-0.525365922540984
"1980","6",0.310289072681499
"1980","7",0.251435365761124
"1980","8",0.855702953981265
"1980","9",-0.11002927676815
"1980","10",-0.890953985152225
"1980","11",-0.302593639566745
"1980","12",-0.439227117669789
"1981","1",-1.11568511059719
"1981","2",-0.684799452388759
"1981","3",-0.402717262295082
"1981","4",-0.037631912470726
"1981","5",-0.243667556967213
"1981","6",-0.829808355515222
"1981","7",-0.358025438173302
"1981","8",0.417641513653396
"1981","9",0.0543003474941452
"1981","10",-0.128763553348946
"1981","11",0.145040774859485
"1981","12",-0.236910905866511
"1982","1",0.0110617061241218
"1982","2",-0.0587717061592505
"1982","3",-0.0988468554098361
"1982","4",0.591658648185012
"1982","5",0.878547650245902
"1982","6",-0.390108318793911
"1982","7",-2.3528819276815
"1982","8",-2.11113076601874
"1982","9",-1.59061077644028
"1982","10",-0.75557751793911
"1982","11",-0.439986048091335
"1982","12",0.13716816823185
"1983","1",0.0922196280913349
"1983","2",0.0849829269555035
"1983","3",-0.140436081639344
"1983","4",0.0404883376932085
"1983","5",0.547462860081967
"1983","6",0.251064985796253
"1983","7",-0.773652649976581
"1983","8",-0.443787291264637
"1983","9",-0.212057176440281
"1983","10",-0.343625142201405
"1983","11",-0.0473553930093676
"1983","12",-0.525074716030445
"1984","1",-0.688129816826698
"1984","2",-0.253433554028103
"1984","3",-0.725468973114754
"1984","4",-0.0177400567330211
"1984","5",0.765441155491803
"1984","6",1.0821563621897
"1984","7",-0.461617685714286
"1984","8",-0.525160803723653
"1984","9",-0.568130145948478
"1984","10",-0.761318046791569
"1984","11",-0.0615505808782201
"1984","12",-0.290165262259953
"1985","1",-0.0736960414168618
"1985","2",0.334151673185012
"1985","3",0.639650086557377
"1985","4",0.524535317693208
"1985","5",0.671735898114754
"1985","6",-0.247886087318501
"1985","7",1.13625274510539
"1985","8",1.54700488480094
"1985","9",0.665588575362998
"1985","10",0.664711470913349
"1985","11",-0.231367269074941
"1985","12",-0.173732318981265
"1986","1",0.537393819238876
"1986","2",0.389941638758782
"1986","3",-0.0309923098360656
"1986","4",0.0394111219555035
"1986","5",0.752130492213115
"1986","6",0.844342052025761
"1986","7",-0.466272686042154
"1986","8",0.932031109391101
"1986","9",0.347957028805621
"1986","10",-0.0887123946604216
"1986","11",0.566508959777518
"1986","12",0.377892446264637
"1987","1",0.33484776677986
"1987","2",0.115248834168618
"1987","3",-0.154632958360656
"1987","4",-0.221312054765808
"1987","5",0.799066208606557
"1987","6",1.19275971432084
"1987","7",1.2035716470726
"1987","8",1.23756594152225
"1987","9",0.840309119625293
"1987","10",0.840398558126464
"1987","11",0.765104848629977
"1987","12",0.789438777740047
"1988","1",0.657165889730679
"1988","2",0.372153822037471
"1988","3",0.447799983606557
"1988","4",0.277799374086651
"1988","5",-0.740062396639344
"1988","6",-0.765040293875878
"1988","7",-0.495989765058548
"1988","8",0.522446541850117
"1988","9",0.371282591428571
"1988","10",0.0453083010772833
"1988","11",0.5653168820726
"1988","12",0.123981720035129
"1989","1",0.329802759238876
"1989","2",0.0829898512177986
"1989","3",-0.0063821498360656
"1989","4",0.511488696709602
"1989","5",0.23064065352459
"1989","6",1.06985934284543
"1989","7",0.764104182810304
"1989","8",-0.287186371264637
"1989","9",0.234110290444965
"1989","10",0.634104397798595
"1989","11",-0.0981952248126464
"1989","12",-0.794173136358314
"1990","1",0.0162856349765808
"1990","2",0.477550731217799
"1990","3",0.183848156065574
"1990","4",0.117036671791569
"1990","5",-0.279247178606557
"1990","6",-1.34461224240047
"1990","7",-0.699327063091335
"1990","8",0.0978566097189695
"1990","9",-0.0852670354566744
"1990","10",0.462649453208431
"1990","11",-0.210783277271663
"1990","12",-0.125010857669789
"1991","1",-0.165450301744731
"1991","2",-0.490136642224824
"1991","3",-0.370945114098361
"1991","4",0.24730123998829
"1991","5",-0.256663019590164
"1991","6",0.346743840550351
"1991","7",0.342423709039813
"1991","8",-0.0296125889695551
"1991","9",-0.412743966932084
"1991","10",0.244076395831382
"1991","11",0.281020980761124
"1991","12",0.400246547248244
"1992","1",0.173727404812646
"1992","2",-0.127074638618267
"1992","3",-0.406465806557377
"1992","4",-0.364455530503513
"1992","5",0.237100043360656
"1992","6",1.25223065137002
"1992","7",0.712253185433255
"1992","8",1.324158274637
"1992","9",1.0577862258548
"1992","10",0.337954286978923
"1992","11",-0.150993099894614
"1992","12",0.210526647248244
"1993","1",0.368048061533958
"1993","2",0.205774658430913
"1993","3",0.26904274852459
"1993","4",0.0431676472014052
"1993","5",-0.29011618057377
"1993","6",0.337116225468384
"1993","7",0.479690246416862
"1993","8",0.0736332710304449
"1993","9",-0.0211651023419203
"1993","10",0.298370035175644
"1993","11",0.703663678793911
"1993","12",0.495609223641686
"1994","1",0.232463963173302
"1994","2",0.569352140070258
"1994","3",0.124864444918033
"1994","4",-0.47032194263466
"1994","5",-0.767060478934426
"1994","6",0.143284554320843
"1994","7",0.0408333598594848
"1994","8",-0.533882068313817
"1994","9",0.0574416845433256
"1994","10",0.434116828290398
"1994","11",0.954232719449649
"1994","12",0.548288542330211
"1995","1",0.227010199894614
"1995","2",0.453979466299766
"1995","3",0.351917958360656
"1995","4",0.0441282891686183
"1995","5",1.17328276893443
"1995","6",1.54809370284543
"1995","7",1.4412633123185
"1995","8",-0.31360948175644
"1995","9",-0.163257737751756
"1995","10",-0.224639972037471
"1995","11",-0.128455726779859
"1995","12",-0.820439037014052
"1996","1",-0.668048798793911
"1996","2",-0.254528657306792
"1996","3",-0.463721194754098
"1996","4",-0.70211365411007
"1996","5",-0.324553944508197
"1996","6",0.240130892025761
"1996","7",1.10655065199063
"1996","8",0.535924087751756
"1996","9",-0.344067092505855
"1996","10",-0.0576942726932084
"1996","11",-0.238684011697892
"1996","12",-0.00355871176814986
"1997","1",-0.252766655187354
"1997","2",-0.140106444192037
"1997","3",0.128168206557377
"1997","4",-0.238497031159251
"1997","5",-1.16047301532787
"1997","6",-2.70066031125293
"1997","7",-2.86369301784543
"1997","8",-1.32586990601874
"1997","9",-0.955148284309133
"1997","10",-0.877532967119438
"1997","11",-1.36980506907494
"1997","12",-0.601505086850117
"1998","1",-0.0782791532201405
"1998","2",0.00551764203747077
"1998","3",-0.626719079344262
"1998","4",-0.220452671487119
"1998","5",0.125180105
"1998","6",0.713500396943794
"1998","7",0.314759858875878
"1998","8",-0.225830972576112
"1998","9",0.295872994051522
"1998","10",0.171200679765808
"1998","11",0.302950657482436
"1998","12",0.171899640690866
"1999","1",-0.230166729285714
"1999","2",0.363970977119438
"1999","3",-0.0978486790163935
"1999","4",-0.186166573454333
"1999","5",-0.35768696057377
"1999","6",-0.360529210925059
"1999","7",-1.93203167391101
"1999","8",-1.978500765363
"1999","9",-0.370459163981265
"1999","10",0.487801320421546
"1999","11",0.212681758466042
"1999","12",-0.404416433735363
"2000","1",0.106639722845433
"2000","2",0.366051166627635
"2000","3",0.219407632459016
"2000","4",0.461767592447307
"2000","5",0.420677833196721
"2000","6",1.42864507333724
"2000","7",-0.527798770632319
"2000","8",-1.36675062175644
"2000","9",-1.35835288135831
"2000","10",-0.429583252037471
"2000","11",-0.130481452681499
"2000","12",0.339413869543325
"2001","1",0.198161145796253
"2001","2",0.391892767283372
"2001","3",0.765140199672131
"2001","4",1.03285315408665
"2001","5",1.5705310745082
"2001","6",1.05543667366511
"2001","7",0.321504740515223
"2001","8",-0.497864052903981
"2001","9",-0.172110105948478
"2001","10",0.304358423044496
"2001","11",0.0357076778103045
"2001","12",0.439303922985949
"2002","1",0.0662323320257612
"2002","2",0.198163706955504
"2002","3",0.374222379672131
"2002","4",0.558804569824356
"2002","5",-0.105307950081967
"2002","6",-0.551395712236534
"2002","7",-1.5132694034192
"2002","8",0.502593388407494
"2002","9",0.103210029133489
"2002","10",-0.296503040234192
"2002","11",0.327566032564403
"2002","12",0.53695625970726
"2003","1",0.617104169730679
"2003","2",0.319182766299766
"2003","3",0.601548523934426
"2003","4",0.149192834742389
"2003","5",0.20823877647541
"2003","6",1.1839007021897
"2003","7",0.362466765105386
"2003","8",0.609285365128806
"2003","9",0.857926295035129
"2003","10",0.238222696487119
"2003","11",-0.223203764812646
"2003","12",0.404713692166276
"2004","1",0.0579604303864169
"2004","2",-0.0228962605854801
"2004","3",0.230458794426229
"2004","4",0.0485494222833724
"2004","5",-0.171728857295082
"2004","6",0.443674311697892
"2004","7",0.878977339859485
"2004","8",1.197508614637
