"year","avg_mean","month"
"1980",0.971028925245902,1
"1980",0.971028925245902,2
"1980",0.971028925245902,3
"1980",0.971028925245902,4
"1980",0.971028925245902,5
"1980",0.971028925245902,6
"1980",0.971028925245902,7
"1980",0.971028925245902,8
"1980",0.971028925245902,9
"1980",0.971028925245902,10
"1980",0.971028925245902,11
"1980",0.971028925245902,12
"1981",0.76458371420765,1
"1981",0.76458371420765,2
"1981",0.76458371420765,3
"1981",0.76458371420765,4
"1981",0.76458371420765,5
"1981",0.76458371420765,6
"1981",0.76458371420765,7
"1981",0.76458371420765,8
"1981",0.76458371420765,9
"1981",0.76458371420765,10
"1981",0.76458371420765,11
"1981",0.76458371420765,12
"1982",1.44970910579235,1
"1982",1.44970910579235,2
"1982",1.44970910579235,3
"1982",1.44970910579235,4
"1982",1.44970910579235,5
"1982",1.44970910579235,6
"1982",1.44970910579235,7
"1982",1.44970910579235,8
"1982",1.44970910579235,9
"1982",1.44970910579235,10
"1982",1.44970910579235,11
"1982",1.44970910579235,12
"1983",1.1417609968306,1
"1983",1.1417609968306,2
"1983",1.1417609968306,3
"1983",1.1417609968306,4
"1983",1.1417609968306,5
"1983",1.1417609968306,6
"1983",1.1417609968306,7
"1983",1.1417609968306,8
"1983",1.1417609968306,9
"1983",1.1417609968306,10
"1983",1.1417609968306,11
"1983",1.1417609968306,12
"1984",1,1
"1984",1,2
"1984",1,3
"1984",1,4
"1984",1,5
"1984",1,6
"1984",1,7
"1984",1,8
"1984",1,9
"1984",1,10
"1984",1,11
"1984",1,12
"1985",1.6045630589071,1
"1985",1.6045630589071,2
"1985",1.6045630589071,3
"1985",1.6045630589071,4
"1985",1.6045630589071,5
"1985",1.6045630589071,6
"1985",1.6045630589071,7
"1985",1.6045630589071,8
"1985",1.6045630589071,9
"1985",1.6045630589071,10
"1985",1.6045630589071,11
"1985",1.6045630589071,12
"1986",1.24610572622951,1
"1986",1.24610572622951,2
"1986",1.24610572622951,3
"1986",1.24610572622951,4
"1986",1.24610572622951,5
"1986",1.24610572622951,6
"1986",1.24610572622951,7
"1986",1.24610572622951,8
"1986",1.24610572622951,9
"1986",1.24610572622951,10
"1986",1.24610572622951,11
"1986",1.24610572622951,12
"1987",1.13362968994536,1
"1987",1.13362968994536,2
"1987",1.13362968994536,3
"1987",1.13362968994536,4
"1987",1.13362968994536,5
"1987",1.13362968994536,6
"1987",1.13362968994536,7
"1987",1.13362968994536,8
"1987",1.13362968994536,9
"1987",1.13362968994536,10
"1987",1.13362968994536,11
"1987",1.13362968994536,12
"1988",0.987768278469945,1
"1988",0.987768278469945,2
"1988",0.987768278469945,3
"1988",0.987768278469945,4
"1988",0.987768278469945,5
"1988",0.987768278469945,6
"1988",0.987768278469945,7
"1988",0.987768278469945,8
"1988",0.987768278469945,9
"1988",0.987768278469945,10
"1988",0.987768278469945,11
"1988",0.987768278469945,12
"1989",1.23783835825137,1
"1989",1.23783835825137,2
"1989",1.23783835825137,3
"1989",1.23783835825137,4
"1989",1.23783835825137,5
"1989",1.23783835825137,6
"1989",1.23783835825137,7
"1989",1.23783835825137,8
"1989",1.23783835825137,9
"1989",1.23783835825137,10
"1989",1.23783835825137,11
"1989",1.23783835825137,12
"1990",0.999801841202186,1
"1990",0.999801841202186,2
"1990",0.999801841202186,3
"1990",0.999801841202186,4
"1990",0.999801841202186,5
"1990",0.999801841202186,6
"1990",0.999801841202186,7
"1990",0.999801841202186,8
"1990",0.999801841202186,9
"1990",0.999801841202186,10
"1990",0.999801841202186,11
"1990",0.999801841202186,12
"1991",0.865820326885246,1
"1991",0.865820326885246,2
"1991",0.865820326885246,3
"1991",0.865820326885246,4
"1991",0.865820326885246,5
"1991",0.865820326885246,6
"1991",0.865820326885246,7
"1991",0.865820326885246,8
"1991",0.865820326885246,9
"1991",0.865820326885246,10
"1991",0.865820326885246,11
"1991",0.865820326885246,12
"1992",0.814648860218579,1
"1992",0.814648860218579,2
"1992",0.814648860218579,3
"1992",0.814648860218579,4
"1992",0.814648860218579,5
"1992",0.814648860218579,6
"1992",0.814648860218579,7
"1992",0.814648860218579,8
"1992",0.814648860218579,9
"1992",0.814648860218579,10
"1992",0.814648860218579,11
"1992",0.814648860218579,12
"1993",0.999954029836066,1
"1993",0.999954029836066,2
"1993",0.999954029836066,3
"1993",0.999954029836066,4
"1993",0.999954029836066,5
"1993",0.999954029836066,6
"1993",0.999954029836066,7
"1993",0.999954029836066,8
"1993",0.999954029836066,9
"1993",0.999954029836066,10
"1993",0.999954029836066,11
"1993",0.999954029836066,12
"1994",0.621749965901639,1
"1994",0.621749965901639,2
"1994",0.621749965901639,3
"1994",0.621749965901639,4
"1994",0.621749965901639,5
"1994",0.621749965901639,6
"1994",0.621749965901639,7
"1994",0.621749965901639,8
"1994",0.621749965901639,9
"1994",0.621749965901639,10
"1994",0.621749965901639,11
"1994",0.621749965901639,12
"1995",1.51569896360656,1
"1995",1.51569896360656,2
"1995",1.51569896360656,3
"1995",1.51569896360656,4
"1995",1.51569896360656,5
"1995",1.51569896360656,6
"1995",1.51569896360656,7
"1995",1.51569896360656,8
"1995",1.51569896360656,9
"1995",1.51569896360656,10
"1995",1.51569896360656,11
"1995",1.51569896360656,12
"1996",0.495793026994536,1
"1996",0.495793026994536,2
"1996",0.495793026994536,3
"1996",0.495793026994536,4
"1996",0.495793026994536,5
"1996",0.495793026994536,6
"1996",0.495793026994536,7
"1996",0.495793026994536,8
"1996",0.495793026994536,9
"1996",0.495793026994536,10
"1996",0.495793026994536,11
"1996",0.495793026994536,12
"1997",0.568988678142076,1
"1997",0.568988678142076,2
"1997",0.568988678142076,3
"1997",0.568988678142076,4
"1997",0.568988678142076,5
"1997",0.568988678142076,6
"1997",0.568988678142076,7
"1997",0.568988678142076,8
"1997",0.568988678142076,9
"1997",0.568988678142076,10
"1997",0.568988678142076,11
"1997",0.568988678142076,12
"1998",0.751925409508197,1
"1998",0.751925409508197,2
"1998",0.751925409508197,3
"1998",0.751925409508197,4
"1998",0.751925409508197,5
"1998",0.751925409508197,6
"1998",0.751925409508197,7
"1998",0.751925409508197,8
"1998",0.751925409508197,9
"1998",0.751925409508197,10
"1998",0.751925409508197,11
"1998",0.751925409508197,12
"1999",0.778688553770492,1
"1999",0.778688553770492,2
"1999",0.778688553770492,3
"1999",0.778688553770492,4
"1999",0.778688553770492,5
"1999",0.778688553770492,6
"1999",0.778688553770492,7
"1999",0.778688553770492,8
"1999",0.778688553770492,9
"1999",0.778688553770492,10
"1999",0.778688553770492,11
"1999",0.778688553770492,12
"2000",1.35987364415301,1
"2000",1.35987364415301,2
"2000",1.35987364415301,3
"2000",1.35987364415301,4
"2000",1.35987364415301,5
"2000",1.35987364415301,6
"2000",1.35987364415301,7
"2000",1.35987364415301,8
"2000",1.35987364415301,9
"2000",1.35987364415301,10
"2000",1.35987364415301,11
"2000",1.35987364415301,12
"2001",2,1
"2001",2,2
"2001",2,3
"2001",2,4
"2001",2,5
"2001",2,6
"2001",2,7
"2001",2,8
"2001",2,9
"2001",2,10
"2001",2,11
"2001",2,12
"2002",1.26849562459016,1
"2002",1.26849562459016,2
"2002",1.26849562459016,3
"2002",1.26849562459016,4
"2002",1.26849562459016,5
"2002",1.26849562459016,6
"2002",1.26849562459016,7
"2002",1.26849562459016,8
"2002",1.26849562459016,9
"2002",1.26849562459016,10
"2002",1.26849562459016,11
"2002",1.26849562459016,12
"2003",1.31224933650273,1
"2003",1.31224933650273,2
"2003",1.31224933650273,3
"2003",1.31224933650273,4
"2003",1.31224933650273,5
"2003",1.31224933650273,6
"2003",1.31224933650273,7
"2003",1.31224933650273,8
"2003",1.31224933650273,9
"2003",1.31224933650273,10
"2003",1.31224933650273,11
"2003",1.31224933650273,12
"2004",1.0283490779235,1
"2004",1.0283490779235,2
"2004",1.0283490779235,3
"2004",1.0283490779235,4
"2004",1.0283490779235,5
"2004",1.0283490779235,6
"2004",1.0283490779235,7
"2004",1.0283490779235,8
"2004",1.0283490779235,9
"2004",1.0283490779235,10
"2004",1.0283490779235,11
"2004",1.0283490779235,12
"2005",0.637967475846994,1
"2005",0.637967475846994,2
"2005",0.637967475846994,3
"2005",0.637967475846994,4
"2005",0.637967475846994,5
"2005",0.637967475846994,6
"2005",0.637967475846994,7
"2005",0.637967475846994,8
"2005",0.637967475846994,9
"2005",0.637967475846994,10
"2005",0.637967475846994,11
"2005",0.637967475846994,12
"2006",1.5854307579235,1
"2006",1.5854307579235,2
"2006",1.5854307579235,3
"2006",1.5854307579235,4
"2006",1.5854307579235,5
"2006",1.5854307579235,6
"2006",1.5854307579235,7
"2006",1.5854307579235,8
"2006",1.5854307579235,9
"2006",1.5854307579235,10
"2006",1.5854307579235,11
"2006",1.5854307579235,12
"2007",0.585284586010929,1
"2007",0.585284586010929,2
"2007",0.585284586010929,3
"2007",0.585284586010929,4
"2007",0.585284586010929,5
"2007",0.585284586010929,6
"2007",0.585284586010929,7
"2007",0.585284586010929,8
"2007",0.585284586010929,9
"2007",0.585284586010929,10
"2007",0.585284586010929,11
"2007",0.585284586010929,12
"2008",1.37491263748634,1
"2008",1.37491263748634,2
"2008",1.37491263748634,3
"2008",1.37491263748634,4
"2008",1.37491263748634,5
"2008",1.37491263748634,6
"2008",1.37491263748634,7
"2008",1.37491263748634,8
"2008",1.37491263748634,9
"2008",1.37491263748634,10
"2008",1.37491263748634,11
"2008",1.37491263748634,12
"2009",1.87271605081967,1
"2009",1.87271605081967,2
"2009",1.87271605081967,3
"2009",1.87271605081967,4
"2009",1.87271605081967,5
"2009",1.87271605081967,6
"2009",1.87271605081967,7
"2009",1.87271605081967,8
"2009",1.87271605081967,9
"2009",1.87271605081967,10
"2009",1.87271605081967,11
"2009",1.87271605081967,12
"2010",1.66431889245902,1
"2010",1.66431889245902,2
"2010",1.66431889245902,3
"2010",1.66431889245902,4
"2010",1.66431889245902,5
"2010",1.66431889245902,6
"2010",1.66431889245902,7
"2010",1.66431889245902,8
"2010",1.66431889245902,9
"2010",1.66431889245902,10
"2010",1.66431889245902,11
"2010",1.66431889245902,12
"2011",1.04986661923497,1
"2011",1.04986661923497,2
"2011",1.04986661923497,3
"2011",1.04986661923497,4
"2011",1.04986661923497,5
"2011",1.04986661923497,6
"2011",1.04986661923497,7
"2011",1.04986661923497,8
"2011",1.04986661923497,9
"2011",1.04986661923497,10
"2011",1.04986661923497,11
"2011",1.04986661923497,12
"2012",1.27280196240437,1
"2012",1.27280196240437,2
"2012",1.27280196240437,3
"2012",1.27280196240437,4
"2012",1.27280196240437,5
"2012",1.27280196240437,6
"2012",1.27280196240437,7
"2012",1.27280196240437,8
"2012",1.27280196240437,9
"2012",1.27280196240437,10
"2012",1.27280196240437,11
"2012",1.27280196240437,12
"2013",0.874212000327869,1
"2013",0.874212000327869,2
"2013",0.874212000327869,3
"2013",0.874212000327869,4
"2013",0.874212000327869,5
"2013",0.874212000327869,6
"2013",0.874212000327869,7
"2013",0.874212000327869,8
"2013",0.874212000327869,9
"2013",0.874212000327869,10
"2013",0.874212000327869,11
"2013",0.874212000327869,12
"2014",1.00278714677596,1
"2014",1.00278714677596,2
"2014",1.00278714677596,3
"2014",1.00278714677596,4
"2014",1.00278714677596,5
"2014",1.00278714677596,6
"2014",1.00278714677596,7
"2014",1.00278714677596,8
"2014",1.00278714677596,9
"2014",1.00278714677596,10
"2014",1.00278714677596,11
"2014",1.00278714677596,12
"2015",0,1
"2015",0,2
"2015",0,3
"2015",0,4
"2015",0,5
"2015",0,6
"2015",0,7
"2015",0,8
"2015",0,9
"2015",0,10
"2015",0,11
"2015",0,12
"2016",0.507768827213115,1
"2016",0.507768827213115,2
"2016",0.507768827213115,3
"2016",0.507768827213115,4
"2016",0.507768827213115,5
"2016",0.507768827213115,6
