threeday_yrmo,threeday_yr,year,dayofyear,uPARxMixing
1,1,2003,2,117.197
2,1,2003,2,117.197
3,1,2003,2,117.197
4,1,2003,2,117.197
5,1,2003,2,117.197
6,1,2003,2,117.197
7,1,2003,2,117.197
8,1,2003,2,117.197
9,1,2003,2,117.197
10,1,2003,2,117.197
11,1,2003,2,117.197
12,1,2003,2,117.197
13,2,2003,5,123.642
14,2,2003,5,123.642
15,2,2003,5,123.642
16,2,2003,5,123.642
17,2,2003,5,123.642
18,2,2003,5,123.642
19,2,2003,5,123.642
20,2,2003,5,123.642
21,2,2003,5,123.642
22,2,2003,5,123.642
23,2,2003,5,123.642
24,2,2003,5,123.642
25,3,2003,8,208.394
26,3,2003,8,208.394
27,3,2003,8,208.394
28,3,2003,8,208.394
29,3,2003,8,208.394
30,3,2003,8,208.394
31,3,2003,8,208.394
32,3,2003,8,208.394
33,3,2003,8,208.394
34,3,2003,8,208.394
35,3,2003,8,208.394
36,3,2003,8,208.394
37,4,2003,11,127.342
38,4,2003,11,127.342
39,4,2003,11,127.342
40,4,2003,11,127.342
41,4,2003,11,127.342
42,4,2003,11,127.342
43,4,2003,11,127.342
44,4,2003,11,127.342
45,4,2003,11,127.342
46,4,2003,11,127.342
47,4,2003,11,127.342
48,4,2003,11,127.342
49,5,2003,14,123.587
50,5,2003,14,123.587
51,5,2003,14,123.587
52,5,2003,14,123.587
53,5,2003,14,123.587
54,5,2003,14,123.587
55,5,2003,14,123.587
56,5,2003,14,123.587
57,5,2003,14,123.587
58,5,2003,14,123.587
59,5,2003,14,123.587
60,5,2003,14,123.587
61,6,2003,17,150.294
62,6,2003,17,150.294
63,6,2003,17,150.294
64,6,2003,17,150.294
65,6,2003,17,150.294
66,6,2003,17,150.294
67,6,2003,17,150.294
68,6,2003,17,150.294
69,6,2003,17,150.294
70,6,2003,17,150.294
71,6,2003,17,150.294
72,6,2003,17,150.294
73,7,2003,20,161.487
74,7,2003,20,161.487
75,7,2003,20,161.487
76,7,2003,20,161.487
77,7,2003,20,161.487
78,7,2003,20,161.487
79,7,2003,20,161.487
80,7,2003,20,161.487
81,7,2003,20,161.487
82,7,2003,20,161.487
83,7,2003,20,161.487
84,7,2003,20,161.487
85,8,2003,23,130.587
86,8,2003,23,130.587
87,8,2003,23,130.587
88,8,2003,23,130.587
89,8,2003,23,130.587
90,8,2003,23,130.587
91,8,2003,23,130.587
92,8,2003,23,130.587
93,8,2003,23,130.587
94,8,2003,23,130.587
95,8,2003,23,130.587
96,8,2003,23,130.587
97,9,2003,26,151.293
98,9,2003,26,151.293
99,9,2003,26,151.293
100,9,2003,26,151.293
101,9,2003,26,151.293
102,9,2003,26,151.293
103,9,2003,26,151.293
104,9,2003,26,151.293
105,9,2003,26,151.293
106,9,2003,26,151.293
107,9,2003,26,151.293
108,9,2003,26,151.293
109,10,2003,29,136.335
110,10,2003,29,136.335
111,10,2003,29,136.335
112,10,2003,29,136.335
113,10,2003,29,136.335
114,10,2003,29,136.335
115,10,2003,29,136.335
116,10,2003,29,136.335
117,10,2003,29,136.335
118,10,2003,29,136.335
119,10,2003,29,136.335
120,10,2003,29,136.335
121,11,2003,32,185.386
122,11,2003,32,185.386
123,11,2003,32,185.386
124,11,2003,32,185.386
125,11,2003,32,185.386
126,11,2003,32,185.386
127,11,2003,32,185.386
128,11,2003,32,185.386
129,11,2003,32,185.386
130,11,2003,32,185.386
131,11,2003,32,185.386
132,11,2003,32,185.386
133,12,2003,35,296.08
134,12,2003,35,296.08
135,12,2003,35,296.08
136,12,2003,35,296.08
137,12,2003,35,296.08
138,12,2003,35,296.08
139,12,2003,35,296.08
140,12,2003,35,296.08
141,12,2003,35,296.08
142,12,2003,35,296.08
143,12,2003,35,296.08
144,12,2003,35,296.08
145,13,2003,38,302.513
146,13,2003,38,302.513
147,13,2003,38,302.513
148,13,2003,38,302.513
149,13,2003,38,302.513
150,13,2003,38,302.513
151,13,2003,38,302.513
152,13,2003,38,302.513
153,13,2003,38,302.513
154,13,2003,38,302.513
155,13,2003,38,302.513
156,13,2003,38,302.513
157,14,2003,41,284.62
158,14,2003,41,284.62
159,14,2003,41,284.62
160,14,2003,41,284.62
161,14,2003,41,284.62
162,14,2003,41,284.62
163,14,2003,41,284.62
164,14,2003,41,284.62
165,14,2003,41,284.62
166,14,2003,41,284.62
167,14,2003,41,284.62
168,14,2003,41,284.62
169,15,2003,44,305.553
170,15,2003,44,305.553
171,15,2003,44,305.553
172,15,2003,44,305.553
173,15,2003,44,305.553
174,15,2003,44,305.553
175,15,2003,44,305.553
176,15,2003,44,305.553
177,15,2003,44,305.553
178,15,2003,44,305.553
179,15,2003,44,305.553
180,15,2003,44,305.553
181,16,2003,47,196.95
182,16,2003,47,196.95
183,16,2003,47,196.95
184,16,2003,47,196.95
185,16,2003,47,196.95
186,16,2003,47,196.95
187,16,2003,47,196.95
188,16,2003,47,196.95
189,16,2003,47,196.95
190,16,2003,47,196.95
191,16,2003,47,196.95
192,16,2003,47,196.95
193,17,2003,50,222.764
194,17,2003,50,222.764
195,17,2003,50,222.764
196,17,2003,50,222.764
197,17,2003,50,222.764
198,17,2003,50,222.764
199,17,2003,50,222.764
200,17,2003,50,222.764
201,17,2003,50,222.764
202,17,2003,50,222.764
203,17,2003,50,222.764
204,17,2003,50,222.764
205,18,2003,53,336.638
206,18,2003,53,336.638
207,18,2003,53,336.638
208,18,2003,53,336.638
209,18,2003,53,336.638
210,18,2003,53,336.638
211,18,2003,53,336.638
212,18,2003,53,336.638
213,18,2003,53,336.638
214,18,2003,53,336.638
215,18,2003,53,336.638
216,18,2003,53,336.638
217,19,2003,56,440.049
218,19,2003,56,440.049
219,19,2003,56,440.049
220,19,2003,56,440.049
221,19,2003,56,440.049
222,19,2003,56,440.049
223,19,2003,56,440.049
224,19,2003,56,440.049
225,19,2003,56,440.049
226,19,2003,56,440.049
227,19,2003,56,440.049
228,19,2003,56,440.049
229,20,2003,59,337.671
230,20,2003,59,337.671
231,20,2003,59,337.671
232,20,2003,59,337.671
233,20,2003,59,337.671
234,20,2003,59,337.671
235,20,2003,59,337.671
236,20,2003,59,337.671
237,20,2003,59,337.671
238,20,2003,59,337.671
239,20,2003,59,337.671
240,20,2003,59,337.671
241,21,2003,62,368.956
242,21,2003,62,368.956
243,21,2003,62,368.956
244,21,2003,62,368.956
245,21,2003,62,368.956
246,21,2003,62,368.956
247,21,2003,62,368.956
248,21,2003,62,368.956
249,21,2003,62,368.956
250,21,2003,62,368.956
251,21,2003,62,368.956
252,21,2003,62,368.956
253,22,2003,65,342.649
254,22,2003,65,342.649
255,22,2003,65,342.649
256,22,2003,65,342.649
257,22,2003,65,342.649
258,22,2003,65,342.649
259,22,2003,65,342.649
260,22,2003,65,342.649
261,22,2003,65,342.649
262,22,2003,65,342.649
263,22,2003,65,342.649
264,22,2003,65,342.649
265,23,2003,68,253.95
266,23,2003,68,253.95
267,23,2003,68,253.95
268,23,2003,68,253.95
269,23,2003,68,253.95
270,23,2003,68,253.95
271,23,2003,68,253.95
272,23,2003,68,253.95
273,23,2003,68,253.95
274,23,2003,68,253.95
275,23,2003,68,253.95
276,23,2003,68,253.95
277,24,2003,71,131.387
278,24,2003,71,131.387
279,24,2003,71,131.387
280,24,2003,71,131.387
281,24,2003,71,131.387
282,24,2003,71,131.387
283,24,2003,71,131.387
284,24,2003,71,131.387
285,24,2003,71,131.387
286,24,2003,71,131.387
287,24,2003,71,131.387
288,24,2003,71,131.387
289,25,2003,74,364.023
290,25,2003,74,364.023
291,25,2003,74,364.023
292,25,2003,74,364.023
293,25,2003,74,364.023
294,25,2003,74,364.023
