threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
1,1,1978,2,23.95
2,2,1978,5,23.95
3,3,1978,8,23.95
4,4,1978,11,23.95
5,5,1978,14,23.95
6,6,1978,17,23.95
7,7,1978,20,23.95
8,8,1978,23,23.95
9,9,1978,26,23.95
10,10,1978,29,23.95
11,11,1978,32,23.95
12,12,1978,35,23.95
13,13,1978,38,9.8
14,14,1978,41,18.9
15,15,1978,44,21.2
16,16,1978,47,8.9
17,17,1978,50,10.5
18,18,1978,53,21.3
19,19,1978,56,9.0
20,20,1978,59,9.3
21,21,1978,62,12.7
22,22,1978,65,23.0
23,23,1978,68,30.4
24,24,1978,71,15.1
25,25,1978,74,18.2
26,26,1978,77,11.2
27,27,1978,80,19.1
28,28,1978,83,24.0
29,29,1978,86,17.7
30,30,1978,89,22.1
31,31,1978,92,39.3
32,32,1978,95,40.0
33,33,1978,98,33.3
34,34,1978,101,36.6
35,35,1978,104,30.1
36,36,1978,107,35.4
37,37,1978,110,13.2
38,38,1978,113,51.9
39,39,1978,116,34.5
40,40,1978,119,40.0
41,41,1978,122,48.1
42,42,1978,125,52.4
43,43,1978,128,45.6
44,44,1978,131,42.9
45,45,1978,134,41.9
46,46,1978,137,34.4
47,47,1978,140,28.2
48,48,1978,143,29.0
49,49,1978,146,37.1
50,50,1978,149,23.4
51,51,1978,152,30.0
52,52,1978,155,24.2
53,53,1978,158,29.6
54,54,1978,161,22.5
55,55,1978,164,45.0
56,56,1978,167,41.3
57,57,1978,170,38.1
58,58,1978,173,38.5
59,59,1978,176,28.9
60,60,1978,179,20.5
61,61,1978,182,35.3
62,62,1978,185,22.3
63,63,1978,188,33.9
64,64,1978,191,40.6
65,65,1978,194,25.0
66,66,1978,197,22.4
67,67,1978,200,40.0
68,68,1978,203,36.1
69,69,1978,206,35.5
70,70,1978,209,37.9
71,71,1978,212,41.6
72,72,1978,215,24.7
73,73,1978,218,41.9
74,74,1978,221,42.9
75,75,1978,224,42.3
76,76,1978,227,40.7
77,77,1978,230,26.8
78,78,1978,233,41.7
79,79,1978,236,26.2
80,80,1978,239,28.9
81,81,1978,242,30.2
82,82,1978,245,22.0
83,83,1978,248,25.4
84,84,1978,251,21.3
85,85,1978,254,37.8
86,86,1978,257,24.6
87,87,1978,260,36.1
