threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
1,1,1980,2,5.4
2,2,1980,5,8.0
3,3,1980,8,4.0
4,4,1980,11,6.0
5,5,1980,14,4.6
6,6,1980,17,9.0
7,7,1980,20,7.1
8,8,1980,23,12.8
9,9,1980,26,14.2
10,10,1980,29,14.0
11,11,1980,32,4.1
12,12,1980,35,10.0
13,13,1980,38,9.8
14,14,1980,41,18.9
15,15,1980,44,21.2
16,16,1980,47,8.9
17,17,1980,50,10.5
18,18,1980,53,21.3
19,19,1980,56,9.0
20,20,1980,59,9.3
21,21,1980,62,12.7
22,22,1980,65,23.0
23,23,1980,68,30.4
24,24,1980,71,15.1
25,25,1980,74,18.2
26,26,1980,77,11.2
27,27,1980,80,19.1
28,28,1980,83,24.0
29,29,1980,86,17.7
30,30,1980,89,22.1
31,31,1980,92,39.3
32,32,1980,95,40.0
33,33,1980,98,33.3
34,34,1980,101,36.6
35,35,1980,104,30.1
36,36,1980,107,35.4
37,37,1980,110,13.2
38,38,1980,113,51.9
39,39,1980,116,34.5
40,40,1980,119,40.0
41,41,1980,122,48.1
42,42,1980,125,52.4
43,43,1980,128,45.6
44,44,1980,131,42.9
45,45,1980,134,41.9
46,46,1980,137,34.4
47,47,1980,140,28.2
48,48,1980,143,29.0
49,49,1980,146,37.1
50,50,1980,149,23.4
51,51,1980,152,30.0
52,52,1980,155,24.2
53,53,1980,158,29.6
54,54,1980,161,22.5
55,55,1980,164,45.0
56,56,1980,167,41.3
57,57,1980,170,38.1
58,58,1980,173,38.5
59,59,1980,176,28.9
60,60,1980,179,20.5
61,61,1980,182,35.3
62,62,1980,185,22.3
63,63,1980,188,33.9
64,64,1980,191,40.6
65,65,1980,194,25.0
66,66,1980,197,22.4
67,67,1980,200,40.0
68,68,1980,203,36.1
69,69,1980,206,35.5
70,70,1980,209,37.9
71,71,1980,212,41.6
72,72,1980,215,24.7
73,73,1980,218,41.9
74,74,1980,221,42.9
75,75,1980,224,42.3
76,76,1980,227,40.7
77,77,1980,230,26.8
78,78,1980,233,41.7
79,79,1980,236,26.2
80,80,1980,239,28.9
81,81,1980,242,30.2
82,82,1980,245,22.0
83,83,1980,248,25.4
84,84,1980,251,21.3
85,85,1980,254,37.8
86,86,1980,257,24.6
87,87,1980,260,36.1
88,88,1980,263,21.0
89,89,1980,266,21.6
90,90,1980,269,29.6
91,91,1980,272,12.0
92,92,1980,275,25.4
93,93,1980,278,29.2
94,94,1980,281,26.2
95,95,1980,284,25.2
96,96,1980,287,10.6
97,97,1980,290,25.4
98,98,1980,293,14.3
99,99,1980,296,20.8
100,100,1980,299,9.7
101,101,1980,302,13.3
102,102,1980,305,7.4
103,103,1980,308,9.3
104,104,1980,311,7.2
