threeday_yrmo,threeday_yr,year,dayofyear,varRDRS_windstress10m
1,1,1978,2,18.36
2,2,1978,5,18.36
3,3,1978,8,18.36
4,4,1978,11,18.36
5,5,1978,14,18.36
6,6,1978,17,18.36
7,7,1978,20,18.36
8,8,1978,23,18.36
9,9,1978,26,18.36
10,10,1978,29,18.36
11,11,1978,32,18.36
12,12,1978,35,18.36
13,13,1978,38,4.0
14,14,1978,41,1.2
15,15,1978,44,15.4
16,16,1978,47,22.1
17,17,1978,50,30.7
18,18,1978,53,2.6
19,19,1978,56,13.2
20,20,1978,59,23.2
21,21,1978,62,7.5
22,22,1978,65,13.9
23,23,1978,68,1.6
24,24,1978,71,51.6
25,25,1978,74,63.9
26,26,1978,77,94.4
27,27,1978,80,7.2
28,28,1978,83,44.3
29,29,1978,86,8.2
30,30,1978,89,38.6
31,31,1978,92,31.4
32,32,1978,95,13.0
33,33,1978,98,35.4
34,34,1978,101,33.1
35,35,1978,104,6.4
36,36,1978,107,12.0
37,37,1978,110,37.8
38,38,1978,113,40.1
39,39,1978,116,7.8
40,40,1978,119,3.8
41,41,1978,122,4.0
42,42,1978,125,24.7
43,43,1978,128,8.6
44,44,1978,131,4.3
45,45,1978,134,10.6
46,46,1978,137,4.4
47,47,1978,140,14.9
48,48,1978,143,8.5
49,49,1978,146,8.1
50,50,1978,149,18.1
51,51,1978,152,7.5
52,52,1978,155,9.5
53,53,1978,158,7.2
54,54,1978,161,1.8
55,55,1978,164,2.0
56,56,1978,167,9.5
57,57,1978,170,3.8
58,58,1978,173,9.2
59,59,1978,176,8.5
60,60,1978,179,5.9
61,61,1978,182,4.4
62,62,1978,185,36.4
63,63,1978,188,5.9
64,64,1978,191,3.0
65,65,1978,194,3.6
66,66,1978,197,4.9
67,67,1978,200,4.1
68,68,1978,203,7.6
69,69,1978,206,7.0
70,70,1978,209,10.1
71,71,1978,212,18.5
72,72,1978,215,5.6
73,73,1978,218,4.3
74,74,1978,221,16.0
75,75,1978,224,1.3
76,76,1978,227,5.8
77,77,1978,230,18.5
78,78,1978,233,15.7
79,79,1978,236,6.3
80,80,1978,239,8.6
81,81,1978,242,4.8
82,82,1978,245,25.6
83,83,1978,248,5.7
84,84,1978,251,18.7
85,85,1978,254,10.0
86,86,1978,257,11.8
87,87,1978,260,0.7
88,88,1978,263,33.5
89,89,1978,266,5.8
90,90,1978,269,9.7
91,91,1978,272,13.4
92,92,1978,275,5.9
93,93,1978,278,5.8
94,94,1978,281,8.2
95,95,1978,284,24.0
96,96,1978,287,17.4
97,97,1978,290,7.8
98,98,1978,293,8.1
99,99,1978,296,21.9
100,100,1978,299,18.6
101,101,1978,302,4.4
102,102,1978,305,47.3
103,103,1978,308,20.6
104,104,1978,311,53.6
105,105,1978,314,27.5
106,106,1978,317,5.1
107,107,1978,320,7.2
108,108,1978,323,41.6
109,109,1978,326,31.0
110,110,1978,329,5.9
111,111,1978,332,34.0
112,112,1978,335,33.6
113,113,1978,338,9.0
114,114,1978,341,30.0
115,115,1978,344,7.0
116,116,1978,347,83.9
117,117,1978,350,42.5
118,118,1978,353,21.4
119,119,1978,356,11.2
120,120,1978,361,57.6
121,121,1979,2,32.5
122,122,1979,5,36.3
123,123,1979,8,18.0
124,124,1979,11,60.0
125,125,1979,14,47.1
126,126,1979,17,46.5
127,127,1979,20,8.4
128,128,1979,23,4.8
129,129,1979,26,56.1
130,130,1979,29,13.1
131,131,1979,32,47.3
132,132,1979,35,34.9
133,133,1979,38,4.0
134,134,1979,41,1.2
135,135,1979,44,15.4
136,136,1979,47,22.1
137,137,1979,50,30.7
138,138,1979,53,2.6
139,139,1979,56,13.2
140,140,1979,59,23.2
141,141,1979,62,7.5
142,142,1979,65,13.9
143,143,1979,68,1.6
144,144,1979,71,51.6
145,145,1979,74,63.9
146,146,1979,77,94.4
147,147,1979,80,7.2
148,148,1979,83,44.3
149,149,1979,86,8.2
150,150,1979,89,38.6
151,151,1979,92,31.4
152,152,1979,95,13.0
153,153,1979,98,35.4
