threeday_yrmo,threeday_yr,year,dayofyear,varp10_varmixing_m
1,1,1978,2,10.0
2,2,1978,5,10.0
3,3,1978,8,10.0
4,4,1978,11,10.0
5,5,1978,14,10.0
6,6,1978,17,10.0
7,7,1978,20,10.0
8,8,1978,23,10.0
9,9,1978,26,10.0
10,10,1978,29,10.0
11,11,1978,32,10.0
12,12,1978,35,10.0
13,13,1978,38,10.0
14,14,1978,41,10.0
15,15,1978,44,10.0
16,16,1978,47,10.0
17,17,1978,50,10.0
18,18,1978,53,10.0
19,19,1978,56,10.0
20,20,1978,59,10.0
21,21,1978,62,10.0
22,22,1978,65,10.0
23,23,1978,68,10.0
24,24,1978,71,10.0
25,25,1978,74,10.0
26,26,1978,77,10.0
27,27,1978,80,10.0
28,28,1978,83,10.0
29,29,1978,86,10.0
30,30,1978,89,10.0
31,31,1978,92,10.0
32,32,1978,95,10.0
33,33,1978,98,10.0
34,34,1978,101,10.0
35,35,1978,104,10.0
36,36,1978,107,10.0
37,37,1978,110,10.0
38,38,1978,113,10.0
39,39,1978,116,10.0
40,40,1978,119,10.0
41,41,1978,122,10.0
42,42,1978,125,10.0
43,43,1978,128,10.0
44,44,1978,131,10.0
45,45,1978,134,10.0
46,46,1978,137,10.0
47,47,1978,140,10.0
48,48,1978,143,10.0
49,49,1978,146,10.0
50,50,1978,149,10.0
51,51,1978,152,10.0
52,52,1978,155,10.0
53,53,1978,158,10.0
54,54,1978,161,10.0
55,55,1978,164,10.0
56,56,1978,167,10.0
57,57,1978,170,10.0
58,58,1978,173,10.0
59,59,1978,176,10.0
60,60,1978,179,10.0
61,61,1978,182,10.0
62,62,1978,185,10.0
63,63,1978,188,10.0
64,64,1978,191,10.0
65,65,1978,194,10.0
66,66,1978,197,10.0
67,67,1978,200,10.0
68,68,1978,203,10.0
69,69,1978,206,10.0
70,70,1978,209,10.0
71,71,1978,212,10.0
72,72,1978,215,10.0
73,73,1978,218,10.0
74,74,1978,221,10.0
75,75,1978,224,10.0
76,76,1978,227,10.0
77,77,1978,230,10.0
78,78,1978,233,10.0
79,79,1978,236,10.0
80,80,1978,239,10.0
81,81,1978,242,10.0
82,82,1978,245,10.0
83,83,1978,248,10.0
84,84,1978,251,10.0
85,85,1978,254,10.0
86,86,1978,257,10.0
87,87,1978,260,10.0
88,88,1978,263,10.0
89,89,1978,266,10.0
90,90,1978,269,10.0
91,91,1978,272,10.0
92,92,1978,275,10.0
93,93,1978,278,10.0
94,94,1978,281,10.0
95,95,1978,284,10.0
96,96,1978,287,10.0
97,97,1978,290,10.0
98,98,1978,293,10.0
99,99,1978,296,10.0
100,100,1978,299,10.0
101,101,1978,302,10.0
102,102,1978,305,10.0
103,103,1978,308,10.0
104,104,1978,311,10.0
105,105,1978,314,10.0
106,106,1978,317,10.0
107,107,1978,320,10.0
108,108,1978,323,10.0
109,109,1978,326,10.0
110,110,1978,329,10.0
111,111,1978,332,10.0
112,112,1978,335,10.0
113,113,1978,338,10.0
114,114,1978,341,10.0
115,115,1978,344,10.0
116,116,1978,347,10.0
117,117,1978,350,10.0
118,118,1978,353,10.0
119,119,1978,356,10.0
120,120,1978,361,10.0
121,121,1979,2,10.0
122,122,1979,5,10.0
123,123,1979,8,10.0
124,124,1979,11,10.0
125,125,1979,14,10.0
126,126,1979,17,10.0
127,127,1979,20,10.0
128,128,1979,23,10.0
129,129,1979,26,10.0
130,130,1979,29,10.0
131,131,1979,32,10.0
132,132,1979,35,10.0
133,133,1979,38,10.0
134,134,1979,41,10.0
135,135,1979,44,10.0
136,136,1979,47,10.0
137,137,1979,50,10.0
138,138,1979,53,10.0
139,139,1979,56,10.0
140,140,1979,59,10.0
141,141,1979,62,10.0
142,142,1979,65,10.0
143,143,1979,68,10.0
144,144,1979,71,10.0
145,145,1979,74,10.0
146,146,1979,77,10.0
147,147,1979,80,10.0
148,148,1979,83,10.0
149,149,1979,86,10.0
150,150,1979,89,10.0
151,151,1979,92,10.0
152,152,1979,95,10.0
153,153,1979,98,10.0
154,154,1979,101,10.0
155,155,1979,104,10.0
156,156,1979,107,10.0
157,157,1979,110,10.0
158,158,1979,113,10.0
159,159,1979,116,10.0
160,160,1979,119,10.0
161,161,1979,122,10.0
162,162,1979,125,10.0
163,163,1979,128,10.0
164,164,1979,131,10.0
165,165,1979,134,10.0
166,166,1979,137,10.0
167,167,1979,140,10.0
168,168,1979,143,10.0
169,169,1979,146,10.0
170,170,1979,149,10.0
171,171,1979,152,10.0
172,172,1979,155,10.0
173,173,1979,158,10.0
174,174,1979,161,10.0
175,175,1979,164,10.0
176,176,1979,167,10.0
177,177,1979,170,10.0
178,178,1979,173,10.0
179,179,1979,176,10.0
180,180,1979,179,10.0
181,181,1979,182,10.0
182,182,1979,185,10.0
183,183,1979,188,10.0
184,184,1979,191,10.0
185,185,1979,194,10.0
186,186,1979,197,10.0
187,187,1979,200,10.0
188,188,1979,203,10.0
189,189,1979,206,10.0
190,190,1979,209,10.0
191,191,1979,212,10.0
192,192,1979,215,10.0
193,193,1979,218,10.0
194,194,1979,221,10.0
195,195,1979,224,10.0
196,196,1979,227,10.0
197,197,1979,230,10.0
198,198,1979,233,10.0
199,199,1979,236,10.0
200,200,1979,239,10.0
201,201,1979,242,10.0
202,202,1979,245,10.0
203,203,1979,248,10.0
204,204,1979,251,10.0
205,205,1979,254,10.0
206,206,1979,257,10.0
207,207,1979,260,10.0
208,208,1979,263,10.0
209,209,1979,266,10.0
210,210,1979,269,10.0
211,211,1979,272,10.0
212,212,1979,275,10.0
213,213,1979,278,10.0
214,214,1979,281,10.0
215,215,1979,284,10.0
216,216,1979,287,10.0
217,217,1979,290,10.0
218,218,1979,293,10.0
219,219,1979,296,10.0
220,220,1979,299,10.0
221,221,1979,302,10.0
222,222,1979,305,10.0
223,223,1979,308,10.0
224,224,1979,311,10.0
225,225,1979,314,10.0
226,226,1979,317,10.0
227,227,1979,320,10.0
228,228,1979,323,10.0
229,229,1979,326,10.0
230,230,1979,329,10.0
231,231,1979,332,10.0
232,232,1979,335,10.0
233,233,1979,338,10.0
234,234,1979,341,10.0
235,235,1979,344,10.0
236,236,1979,347,10.0
237,237,1979,350,10.0
238,238,1979,353,10.0
239,239,1979,356,10.0
240,240,1979,361,10.0
241,241,1980,2,10.0
242,242,1980,5,10.0
243,243,1980,8,10.0
244,244,1980,11,10.0
245,245,1980,14,10.0
246,246,1980,17,10.0
247,247,1980,20,10.0
248,248,1980,23,10.0
249,249,1980,26,10.0
250,250,1980,29,10.0
251,251,1980,32,10.0
252,252,1980,35,10.0
253,253,1980,38,10.0
254,254,1980,41,10.0
255,255,1980,44,10.0
256,256,1980,47,10.0
257,257,1980,50,10.0
258,258,1980,53,10.0
259,259,1980,56,10.0
260,260,1980,59,10.0
261,261,1980,62,10.0
262,262,1980,65,10.0
263,263,1980,68,10.0
264,264,1980,71,10.0
265,265,1980,74,10.0
266,266,1980,77,10.0
267,267,1980,80,10.0
268,268,1980,83,10.0
269,269,1980,86,10.0
270,270,1980,89,10.0
271,271,1980,92,10.0
272,272,1980,95,10.0
273,273,1980,98,10.0
274,274,1980,101,10.0
275,275,1980,104,10.0
276,276,1980,107,10.0
277,277,1980,110,10.0
278,278,1980,113,10.0
279,279,1980,116,10.0
280,280,1980,119,10.0
281,281,1980,122,10.0
282,282,1980,125,10.0
283,283,1980,128,10.0
284,284,1980,131,10.0
285,285,1980,134,10.0
286,286,1980,137,10.0
287,287,1980,140,10.0
288,288,1980,143,10.0
289,289,1980,146,10.0
290,290,1980,149,10.0
291,291,1980,152,10.0
292,292,1980,155,10.0
293,293,1980,158,10.0
294,294,1980,161,10.0
295,295,1980,164,10.0
296,296,1980,167,10.0
297,297,1980,170,10.0
298,298,1980,173,10.0
299,299,1980,176,10.0
300,300,1980,179,10.0
301,301,1980,182,10.0
302,302,1980,185,10.0
303,303,1980,188,10.0
304,304,1980,191,10.0
305,305,1980,194,10.0
306,306,1980,197,10.0
307,307,1980,200,10.0
308,308,1980,203,10.0
309,309,1980,206,10.0
310,310,1980,209,10.0
311,311,1980,212,10.0
312,312,1980,215,10.0
313,313,1980,218,10.0
314,314,1980,221,10.0
315,315,1980,224,10.0
316,316,1980,227,10.0
317,317,1980,230,10.0
318,318,1980,233,10.0
319,319,1980,236,10.0
320,320,1980,239,10.0
321,321,1980,242,10.0
322,322,1980,245,10.0
323,323,1980,248,10.0
324,324,1980,251,10.0
325,325,1980,254,10.0
326,326,1980,257,10.0
327,327,1980,260,10.0
328,328,1980,263,10.0
329,329,1980,266,10.0
330,330,1980,269,10.0
331,331,1980,272,10.0
332,332,1980,275,10.0
333,333,1980,278,10.0
334,334,1980,281,10.0
335,335,1980,284,10.0
336,336,1980,287,10.0
337,337,1980,290,10.0
338,338,1980,293,10.0
339,339,1980,296,10.0
340,340,1980,299,10.0
341,341,1980,302,10.0
342,342,1980,305,10.0
343,343,1980,308,10.0
344,344,1980,311,10.0
345,345,1980,314,10.0
346,346,1980,317,10.0
347,347,1980,320,10.0
348,348,1980,323,10.0
349,349,1980,326,10.0
350,350,1980,329,10.0
351,351,1980,332,10.0
352,352,1980,335,10.0
353,353,1980,338,10.0
354,354,1980,341,10.0
355,355,1980,344,10.0
356,356,1980,347,10.0
357,357,1980,350,10.0
358,358,1980,353,10.0
359,359,1980,356,10.0
360,360,1980,361,10.0
361,361,1981,2,10.0
362,362,1981,5,10.0
363,363,1981,8,10.0
364,364,1981,11,10.0
365,365,1981,14,10.0
366,366,1981,17,10.0
367,367,1981,20,10.0
368,368,1981,23,10.0
369,369,1981,26,10.0
370,370,1981,29,10.0
371,371,1981,32,10.0
372,372,1981,35,10.0
373,373,1981,38,10.0
374,374,1981,41,10.0
375,375,1981,44,10.0
376,376,1981,47,10.0
377,377,1981,50,10.0
378,378,1981,53,10.0
379,379,1981,56,10.0
380,380,1981,59,10.0
381,381,1981,62,10.0
382,382,1981,65,10.0
383,383,1981,68,10.0
384,384,1981,71,10.0
385,385,1981,74,10.0
386,386,1981,77,10.0
387,387,1981,80,10.0
388,388,1981,83,10.0
389,389,1981,86,10.0
390,390,1981,89,10.0
391,391,1981,92,10.0
392,392,1981,95,10.0
393,393,1981,98,10.0
394,394,1981,101,10.0
395,395,1981,104,10.0
396,396,1981,107,10.0
397,397,1981,110,10.0
398,398,1981,113,10.0
399,399,1981,116,10.0
400,400,1981,119,10.0
401,401,1981,122,10.0
402,402,1981,125,10.0
403,403,1981,128,10.0
404,404,1981,131,10.0
405,405,1981,134,10.0
406,406,1981,137,10.0
407,407,1981,140,10.0
408,408,1981,143,10.0
409,409,1981,146,10.0
410,410,1981,149,10.0
411,411,1981,152,10.0
412,412,1981,155,10.0
413,413,1981,158,10.0
414,414,1981,161,10.0
415,415,1981,164,10.0
416,416,1981,167,10.0
417,417,1981,170,10.0
418,418,1981,173,10.0
419,419,1981,176,10.0
420,420,1981,179,10.0
421,421,1981,182,10.0
422,422,1981,185,10.0
423,423,1981,188,10.0
424,424,1981,191,10.0
425,425,1981,194,10.0
426,426,1981,197,10.0
427,427,1981,200,10.0
428,428,1981,203,10.0
429,429,1981,206,10.0
430,430,1981,209,10.0
431,431,1981,212,10.0
432,432,1981,215,10.0
433,433,1981,218,10.0
434,434,1981,221,10.0
435,435,1981,224,10.0
436,436,1981,227,10.0
437,437,1981,230,10.0
438,438,1981,233,10.0
439,439,1981,236,10.0
440,440,1981,239,10.0
441,441,1981,242,10.0
442,442,1981,245,10.0
443,443,1981,248,10.0
444,444,1981,251,10.0
445,445,1981,254,10.0
446,446,1981,257,10.0
447,447,1981,260,10.0
448,448,1981,263,10.0
449,449,1981,266,10.0
450,450,1981,269,10.0
451,451,1981,272,10.0
452,452,1981,275,10.0
453,453,1981,278,10.0
454,454,1981,281,10.0
455,455,1981,284,10.0
456,456,1981,287,10.0
457,457,1981,290,10.0
458,458,1981,293,10.0
459,459,1981,296,10.0
460,460,1981,299,10.0
461,461,1981,302,10.0
462,462,1981,305,10.0
463,463,1981,308,10.0
464,464,1981,311,10.0
465,465,1981,314,10.0
466,466,1981,317,10.0
467,467,1981,320,10.0
468,468,1981,323,10.0
469,469,1981,326,10.0
470,470,1981,329,10.0
471,471,1981,332,10.0
472,472,1981,335,10.0
473,473,1981,338,10.0
474,474,1981,341,10.0
475,475,1981,344,10.0
476,476,1981,347,10.0
477,477,1981,350,10.0
478,478,1981,353,10.0
479,479,1981,356,10.0
480,480,1981,360,10.0
481,481,1982,2,10.0
482,482,1982,5,10.0
483,483,1982,8,10.0
484,484,1982,11,10.0
485,485,1982,14,10.0
486,486,1982,17,10.0
487,487,1982,20,10.0
488,488,1982,23,10.0
489,489,1982,26,10.0
490,490,1982,29,10.0
491,491,1982,32,10.0
492,492,1982,35,10.0
493,493,1982,38,10.0
494,494,1982,41,10.0
495,495,1982,44,10.0
496,496,1982,47,10.0
497,497,1982,50,10.0
498,498,1982,53,10.0
499,499,1982,56,10.0
500,500,1982,59,10.0
501,501,1982,62,10.0
502,502,1982,65,10.0
503,503,1982,68,10.0
504,504,1982,71,10.0
505,505,1982,74,10.0
506,506,1982,77,10.0
507,507,1982,80,10.0
508,508,1982,83,10.0
509,509,1982,86,10.0
510,510,1982,89,10.0
511,511,1982,92,10.0
512,512,1982,95,10.0
513,513,1982,98,10.0
514,514,1982,101,10.0
515,515,1982,104,10.0
516,516,1982,107,10.0
517,517,1982,110,10.0
518,518,1982,113,10.0
519,519,1982,116,10.0
520,520,1982,119,10.0
521,521,1982,122,10.0
522,522,1982,125,10.0
523,523,1982,128,10.0
524,524,1982,131,10.0
525,525,1982,134,10.0
526,526,1982,137,10.0
527,527,1982,140,10.0
528,528,1982,143,10.0
529,529,1982,146,10.0
530,530,1982,149,10.0
531,531,1982,152,10.0
532,532,1982,155,10.0
533,533,1982,158,10.0
534,534,1982,161,10.0
535,535,1982,164,10.0
536,536,1982,167,10.0
537,537,1982,170,10.0
538,538,1982,173,10.0
539,539,1982,176,10.0
540,540,1982,179,10.0
541,541,1982,182,10.0
542,542,1982,185,10.0
543,543,1982,188,10.0
544,544,1982,191,10.0
545,545,1982,194,10.0
546,546,1982,197,10.0
547,547,1982,200,10.0
548,548,1982,203,10.0
549,549,1982,206,10.0
550,550,1982,209,10.0
551,551,1982,212,10.0
552,552,1982,215,10.0
553,553,1982,218,10.0
554,554,1982,221,10.0
555,555,1982,224,10.0
556,556,1982,227,10.0
557,557,1982,230,10.0
558,558,1982,233,10.0
559,559,1982,236,10.0
560,560,1982,239,10.0
561,561,1982,242,10.0
562,562,1982,245,10.0
563,563,1982,248,10.0
564,564,1982,251,10.0
565,565,1982,254,10.0
566,566,1982,257,10.0
567,567,1982,260,10.0
568,568,1982,263,10.0
569,569,1982,266,10.0
570,570,1982,269,10.0
571,571,1982,272,10.0
572,572,1982,275,10.0
573,573,1982,278,10.0
574,574,1982,281,10.0
575,575,1982,284,10.0
576,576,1982,287,10.0
577,577,1982,290,10.0
578,578,1982,293,10.0
579,579,1982,296,10.0
580,580,1982,299,10.0
581,581,1982,302,10.0
582,582,1982,305,10.0
583,583,1982,308,10.0
584,584,1982,311,10.0
585,585,1982,314,10.0
586,586,1982,317,10.0
587,587,1982,320,10.0
588,588,1982,323,10.0
589,589,1982,326,10.0
590,590,1982,329,10.0
591,591,1982,332,10.0
592,592,1982,335,10.0
593,593,1982,338,10.0
594,594,1982,341,10.0
595,595,1982,344,10.0
596,596,1982,347,10.0
597,597,1982,350,10.0
598,598,1982,353,10.0
599,599,1982,356,10.0
600,600,1982,360,10.0
601,601,1983,2,10.0
602,602,1983,5,10.0
603,603,1983,8,10.0
604,604,1983,11,10.0
605,605,1983,14,10.0
606,606,1983,17,10.0
607,607,1983,20,10.0
608,608,1983,23,10.0
609,609,1983,26,10.0
610,610,1983,29,10.0
611,611,1983,32,10.0
612,612,1983,35,10.0
613,613,1983,38,10.0
614,614,1983,41,10.0
615,615,1983,44,10.0
616,616,1983,47,10.0
617,617,1983,50,10.0
618,618,1983,53,10.0
619,619,1983,56,10.0
620,620,1983,59,10.0
621,621,1983,62,10.0
622,622,1983,65,10.0
623,623,1983,68,10.0
624,624,1983,71,10.0
625,625,1983,74,10.0
626,626,1983,77,10.0
627,627,1983,80,10.0
628,628,1983,83,10.0
629,629,1983,86,10.0
630,630,1983,89,10.0
631,631,1983,92,10.0
632,632,1983,95,10.0
633,633,1983,98,10.0
634,634,1983,101,10.0
635,635,1983,104,10.0
636,636,1983,107,10.0
637,637,1983,110,10.0
638,638,1983,113,10.0
639,639,1983,116,10.0
640,640,1983,119,10.0
641,641,1983,122,10.0
