threeday_yrmo,threeday_yr,year,dayofyear,varvarmixing_m
1,1,1978,2,13.78
2,2,1978,5,13.78
3,3,1978,8,13.78
4,4,1978,11,13.78
5,5,1978,14,13.78
6,6,1978,17,13.78
7,7,1978,20,13.78
8,8,1978,23,13.78
9,9,1978,26,13.78
10,10,1978,29,13.78
11,11,1978,32,13.78
12,12,1978,35,13.78
13,13,1978,38,14.1
14,14,1978,41,12.2
15,15,1978,44,13.5
16,16,1978,47,19.4
17,17,1978,50,17.9
18,18,1978,53,14.8
19,19,1978,56,13.9
20,20,1978,59,15.7
21,21,1978,62,16.4
22,22,1978,65,14.5
23,23,1978,68,11.8
24,24,1978,71,12.1
25,25,1978,74,19.5
26,26,1978,77,23.4
27,27,1978,80,18.5
28,28,1978,83,17.2
29,29,1978,86,12.4
30,30,1978,89,14.3
31,31,1978,92,13.6
32,32,1978,95,13.0
33,33,1978,98,14.3
34,34,1978,101,15.5
35,35,1978,104,15.2
36,36,1978,107,17.0
37,37,1978,110,18.0
38,38,1978,113,14.2
39,39,1978,116,11.1
40,40,1978,119,11.4
41,41,1978,122,11.8
42,42,1978,125,12.3
43,43,1978,128,11.6
44,44,1978,131,11.5
45,45,1978,134,13.5
46,46,1978,137,16.0
47,47,1978,140,15.2
48,48,1978,143,12.5
49,49,1978,146,11.2
50,50,1978,149,11.3
51,51,1978,152,12.0
52,52,1978,155,11.3
53,53,1978,158,11.0
54,54,1978,161,11.4
55,55,1978,164,13.3
56,56,1978,167,14.9
57,57,1978,170,13.0
58,58,1978,173,10.5
59,59,1978,176,10.7
60,60,1978,179,11.0
61,61,1978,182,12.2
62,62,1978,185,11.9
63,63,1978,188,11.4
64,64,1978,191,11.6
65,65,1978,194,12.8
66,66,1978,197,12.8
67,67,1978,200,10.7
68,68,1978,203,10.1
69,69,1978,206,10.4
70,70,1978,209,11.5
71,71,1978,212,11.7
72,72,1978,215,11.2
73,73,1978,218,11.0
74,74,1978,221,11.7
75,75,1978,224,12.0
76,76,1978,227,11.5
77,77,1978,230,10.6
78,78,1978,233,10.4
79,79,1978,236,10.6
80,80,1978,239,11.7
81,81,1978,242,12.7
82,82,1978,245,12.2
83,83,1978,248,11.7
84,84,1978,251,12.3
85,85,1978,254,11.6
86,86,1978,257,10.7
87,87,1978,260,10.5
88,88,1978,263,10.6
89,89,1978,266,11.4
90,90,1978,269,13.2
91,91,1978,272,13.9
92,92,1978,275,12.8
93,93,1978,278,11.1
94,94,1978,281,11.1
95,95,1978,284,11.5
96,96,1978,287,11.2
97,97,1978,290,11.2
98,98,1978,293,10.9
99,99,1978,296,12.2
100,100,1978,299,14.5
101,101,1978,302,15.2
102,102,1978,305,13.3
103,103,1978,308,11.9
104,104,1978,311,13.7
105,105,1978,314,15.0
106,106,1978,317,15.1
107,107,1978,320,13.0
108,108,1978,323,12.8
109,109,1978,326,15.9
110,110,1978,329,17.0
111,111,1978,332,18.4
112,112,1978,335,15.3
113,113,1978,338,13.4
114,114,1978,341,14.6
115,115,1978,344,13.7
116,116,1978,347,18.9
117,117,1978,350,17.2
118,118,1978,353,15.2
119,119,1978,356,16.3
120,120,1978,361,15.9
121,121,1979,2,19.5
122,122,1979,5,19.1
123,123,1979,8,15.1
124,124,1979,11,15.2
125,125,1979,14,17.4
126,126,1979,17,21.7
127,127,1979,20,19.3
128,128,1979,23,15.9
129,129,1979,26,16.5
130,130,1979,29,19.8
