threeday_yrmo,threeday_yr,year,dayofyear,stdfilter_varmixing_m
1,1,1978.0,2.0,1.01
2,2,1978.0,5.0,1.01
3,3,1978.0,8.0,1.01
4,4,1978.0,11.0,1.01
5,5,1978.0,14.0,1.01
6,6,1978.0,17.0,1.01
7,7,1978.0,20.0,1.01
8,8,1978.0,23.0,1.01
9,9,1978.0,26.0,1.01
10,10,1978.0,29.0,1.01
11,11,1978.0,32.0,1.01
12,12,1978.0,35.0,1.01
13,13,1978.0,38.0,1.1
14,14,1978.0,41.0,1.1
15,15,1978.0,44.0,1.1
16,16,1978.0,47.0,1.1
17,17,1978.0,50.0,1.2
18,18,1978.0,53.0,1.2
19,19,1978.0,56.0,1.2
20,20,1978.0,59.0,1.2
21,21,1978.0,62.0,1.1
22,22,1978.0,65.0,1.1
23,23,1978.0,68.0,1.1
24,24,1978.0,71.0,1.1
25,25,1978.0,74.0,1.1
26,26,1978.0,77.0,1.1
27,27,1978.0,80.0,1.1
28,28,1978.0,83.0,1.1
29,29,1978.0,86.0,1.1
30,30,1978.0,89.0,1.1
31,31,1978.0,92.0,1.1
32,32,1978.0,95.0,1.2
33,33,1978.0,98.0,1.2
34,34,1978.0,101.0,1.2
35,35,1978.0,104.0,1.2
36,36,1978.0,107.0,1.2
37,37,1978.0,110.0,1.1
38,38,1978.0,113.0,1.0
39,39,1978.0,116.0,1.0
40,40,1978.0,119.0,0.9
41,41,1978.0,122.0,0.9
42,42,1978.0,125.0,0.9
43,43,1978.0,128.0,0.9
44,44,1978.0,131.0,1.0
45,45,1978.0,134.0,1.0
46,46,1978.0,137.0,1.1
47,47,1978.0,140.0,1.1
48,48,1978.0,143.0,1.0
49,49,1978.0,146.0,0.9
50,50,1978.0,149.0,0.9
51,51,1978.0,152.0,0.8
52,52,1978.0,155.0,0.8
53,53,1978.0,158.0,0.9
54,54,1978.0,161.0,0.9
55,55,1978.0,164.0,1.0
56,56,1978.0,167.0,1.0
57,57,1978.0,170.0,1.0
58,58,1978.0,173.0,0.9
59,59,1978.0,176.0,0.8
60,60,1978.0,179.0,0.8
61,61,1978.0,182.0,0.8
62,62,1978.0,185.0,0.9
63,63,1978.0,188.0,0.9
64,64,1978.0,191.0,1.0
65,65,1978.0,194.0,0.9
66,66,1978.0,197.0,0.9
67,67,1978.0,200.0,0.8
68,68,1978.0,203.0,0.8
69,69,1978.0,206.0,0.7
70,70,1978.0,209.0,0.7
71,71,1978.0,212.0,0.8
72,72,1978.0,215.0,0.8
73,73,1978.0,218.0,0.8
74,74,1978.0,221.0,0.8
75,75,1978.0,224.0,0.8
76,76,1978.0,227.0,0.8
77,77,1978.0,230.0,0.7
78,78,1978.0,233.0,0.7
79,79,1978.0,236.0,0.8
80,80,1978.0,239.0,0.8
81,81,1978.0,242.0,0.9
82,82,1978.0,245.0,1.0
83,83,1978.0,248.0,1.0
84,84,1978.0,251.0,0.9
85,85,1978.0,254.0,0.8
86,86,1978.0,257.0,0.8
87,87,1978.0,260.0,0.7
88,88,1978.0,263.0,0.8
89,89,1978.0,266.0,0.9
90,90,1978.0,269.0,1.0
91,91,1978.0,272.0,1.0
92,92,1978.0,275.0,1.0
93,93,1978.0,278.0,0.9
94,94,1978.0,281.0,0.8
95,95,1978.0,284.0,0.8
96,96,1978.0,287.0,0.8
97,97,1978.0,290.0,0.8
98,98,1978.0,293.0,0.9
99,99,1978.0,296.0,1.0
100,100,1978.0,299.0,1.0
101,101,1978.0,302.0,1.1
102,102,1978.0,305.0,1.1
103,103,1978.0,308.0,1.1
104,104,1978.0,311.0,1.1
105,105,1978.0,314.0,1.1
106,106,1978.0,317.0,1.1
107,107,1978.0,320.0,1.1
108,108,1978.0,323.0,1.1
109,109,1978.0,326.0,1.1
110,110,1978.0,329.0,1.1
111,111,1978.0,332.0,1.2
112,112,1978.0,335.0,1.2
113,113,1978.0,338.0,1.2
114,114,1978.0,341.0,1.2
115,115,1978.0,344.0,1.2
116,116,1978.0,347.0,1.2
117,117,1978.0,350.0,1.2
118,118,1978.0,353.0,1.2
119,119,1978.0,356.0,1.1
120,120,1978.0,361.0,1.1
121,121,1979.0,2.0,1.2
122,122,1979.0,5.0,1.2
123,123,1979.0,8.0,1.2
124,124,1979.0,11.0,1.2
125,125,1979.0,14.0,1.2
126,126,1979.0,17.0,1.2
127,127,1979.0,20.0,1.2
128,128,1979.0,23.0,1.2
129,129,1979.0,26.0,1.2
130,130,1979.0,29.0,1.2
131,131,1979.0,32.0,1.2
132,132,1979.0,35.0,1.1
133,133,1979.0,38.0,1.1
134,134,1979.0,41.0,1.1
135,135,1979.0,44.0,1.1
136,136,1979.0,47.0,1.1
137,137,1979.0,50.0,1.2
138,138,1979.0,53.0,1.2
139,139,1979.0,56.0,1.2
140,140,1979.0,59.0,1.2
141,141,1979.0,62.0,1.1
142,142,1979.0,65.0,1.1
143,143,1979.0,68.0,1.1
144,144,1979.0,71.0,1.1
145,145,1979.0,74.0,1.1
146,146,1979.0,77.0,1.1
147,147,1979.0,80.0,1.1
148,148,1979.0,83.0,1.1
149,149,1979.0,86.0,1.1
150,150,1979.0,89.0,1.1
151,151,1979.0,92.0,1.1
152,152,1979.0,95.0,1.2
153,153,1979.0,98.0,1.2
154,154,1979.0,101.0,1.2
155,155,1979.0,104.0,1.2
156,156,1979.0,107.0,1.2
157,157,1979.0,110.0,1.1
158,158,1979.0,113.0,1.0
159,159,1979.0,116.0,1.0
160,160,1979.0,119.0,0.9
161,161,1979.0,122.0,0.9
162,162,1979.0,125.0,0.9
163,163,1979.0,128.0,0.9
164,164,1979.0,131.0,1.0
165,165,1979.0,134.0,1.0
166,166,1979.0,137.0,1.1
167,167,1979.0,140.0,1.1
168,168,1979.0,143.0,1.0
169,169,1979.0,146.0,0.9
170,170,1979.0,149.0,0.9
171,171,1979.0,152.0,0.8
172,172,1979.0,155.0,0.8
173,173,1979.0,158.0,0.9
174,174,1979.0,161.0,0.9
