threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
1,1,1978,2,26.21
2,2,1978,5,26.21
3,3,1978,8,26.21
4,4,1978,11,26.21
5,5,1978,14,26.21
6,6,1978,17,26.21
7,7,1978,20,26.21
8,8,1978,23,26.21
9,9,1978,26,26.21
10,10,1978,29,26.21
11,11,1978,32,26.21
12,12,1978,35,26.21
13,13,1978,38,27.3
14,14,1978,41,27.1
15,15,1978,44,27.1
16,16,1978,47,27.3
17,17,1978,50,27.2
18,18,1978,53,27.2
19,19,1978,56,27.2
20,20,1978,59,27.2
21,21,1978,62,27.2
22,22,1978,65,27.0
23,23,1978,68,27.0
24,24,1978,71,27.1
25,25,1978,74,27.6
26,26,1978,77,27.6
27,27,1978,80,27.5
28,28,1978,83,27.4
29,29,1978,86,27.3
30,30,1978,89,27.4
31,31,1978,92,27.4
32,32,1978,95,27.4
33,33,1978,98,27.4
34,34,1978,101,27.6
35,35,1978,104,27.4
36,36,1978,107,27.3
37,37,1978,110,27.4
38,38,1978,113,27.2
39,39,1978,116,26.9
40,40,1978,119,26.7
41,41,1978,122,26.7
42,42,1978,125,26.7
43,43,1978,128,26.5
44,44,1978,131,26.1
45,45,1978,134,25.8
46,46,1978,137,25.5
47,47,1978,140,25.1
48,48,1978,143,25.1
49,49,1978,146,24.3
50,50,1978,149,23.9
51,51,1978,152,23.9
52,52,1978,155,24.5
53,53,1978,158,24.6
54,54,1978,161,24.5
55,55,1978,164,24.4
56,56,1978,167,24.4
57,57,1978,170,24.2
58,58,1978,173,23.7
59,59,1978,176,23.5
60,60,1978,179,23.4
61,61,1978,182,23.6
62,62,1978,185,23.8
63,63,1978,188,24.1
64,64,1978,191,23.8
65,65,1978,194,24.0
66,66,1978,197,24.0
67,67,1978,200,24.0
68,68,1978,203,23.9
69,69,1978,206,24.1
70,70,1978,209,24.4
71,71,1978,212,25.1
72,72,1978,215,25.3
73,73,1978,218,25.3
74,74,1978,221,25.4
75,75,1978,224,25.6
76,76,1978,227,25.7
77,77,1978,230,25.6
78,78,1978,233,25.5
79,79,1978,236,25.6
80,80,1978,239,26.0
81,81,1978,242,26.0
82,82,1978,245,26.1
83,83,1978,248,26.1
84,84,1978,251,26.1
85,85,1978,254,26.1
86,86,1978,257,26.2
87,87,1978,260,26.3
88,88,1978,263,26.3
89,89,1978,266,26.5
90,90,1978,269,26.5
91,91,1978,272,26.5
92,92,1978,275,26.6
93,93,1978,278,26.3
94,94,1978,281,26.4
95,95,1978,284,26.5
96,96,1978,287,26.5
97,97,1978,290,26.5
98,98,1978,293,26.5
99,99,1978,296,26.6
