threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
1,1,1980,2,27.1
2,2,1980,5,27.1
3,3,1980,8,26.9
4,4,1980,11,27.0
5,5,1980,14,27.2
6,6,1980,17,27.5
7,7,1980,20,27.3
8,8,1980,23,27.2
9,9,1980,26,27.3
10,10,1980,29,27.4
11,11,1980,32,27.4
12,12,1980,35,27.6
13,13,1980,38,27.3
14,14,1980,41,27.1
15,15,1980,44,27.1
16,16,1980,47,27.3
17,17,1980,50,27.2
18,18,1980,53,27.2
19,19,1980,56,27.2
20,20,1980,59,27.2
21,21,1980,62,27.2
22,22,1980,65,27.0
23,23,1980,68,27.0
24,24,1980,71,27.1
25,25,1980,74,27.6
26,26,1980,77,27.6
27,27,1980,80,27.5
28,28,1980,83,27.4
29,29,1980,86,27.3
30,30,1980,89,27.4
31,31,1980,92,27.4
32,32,1980,95,27.4
33,33,1980,98,27.4
34,34,1980,101,27.6
35,35,1980,104,27.4
36,36,1980,107,27.3
37,37,1980,110,27.4
38,38,1980,113,27.2
39,39,1980,116,26.9
40,40,1980,119,26.7
41,41,1980,122,26.7
42,42,1980,125,26.7
43,43,1980,128,26.5
44,44,1980,131,26.1
45,45,1980,134,25.8
46,46,1980,137,25.5
47,47,1980,140,25.1
48,48,1980,143,25.1
49,49,1980,146,24.3
50,50,1980,149,23.9
51,51,1980,152,23.9
52,52,1980,155,24.5
53,53,1980,158,24.6
54,54,1980,161,24.5
55,55,1980,164,24.4
56,56,1980,167,24.4
57,57,1980,170,24.2
58,58,1980,173,23.7
59,59,1980,176,23.5
60,60,1980,179,23.4
61,61,1980,182,23.6
62,62,1980,185,23.8
63,63,1980,188,24.1
64,64,1980,191,23.8
65,65,1980,194,24.0
66,66,1980,197,24.0
67,67,1980,200,24.0
68,68,1980,203,23.9
69,69,1980,206,24.1
70,70,1980,209,24.4
71,71,1980,212,25.1
72,72,1980,215,25.3
73,73,1980,218,25.3
74,74,1980,221,25.4
75,75,1980,224,25.6
76,76,1980,227,25.7
77,77,1980,230,25.6
78,78,1980,233,25.5
79,79,1980,236,25.6
80,80,1980,239,26.0
81,81,1980,242,26.0
82,82,1980,245,26.1
83,83,1980,248,26.1
84,84,1980,251,26.1
85,85,1980,254,26.1
86,86,1980,257,26.2
87,87,1980,260,26.3
88,88,1980,263,26.3
89,89,1980,266,26.5
90,90,1980,269,26.5
91,91,1980,272,26.5
92,92,1980,275,26.6
93,93,1980,278,26.3
94,94,1980,281,26.4
95,95,1980,284,26.5
96,96,1980,287,26.5
97,97,1980,290,26.5
98,98,1980,293,26.5
99,99,1980,296,26.6
100,100,1980,299,26.8
101,101,1980,302,26.9
102,102,1980,305,26.9
103,103,1980,308,27.1
104,104,1980,311,27.0
105,105,1980,314,27.1
106,106,1980,317,26.7
107,107,1980,320,26.4
108,108,1980,323,26.5
109,109,1980,326,26.6
110,110,1980,329,26.6
111,111,1980,332,26.8
112,112,1980,335,26.9
113,113,1980,338,26.6
114,114,1980,341,26.4
115,115,1980,344,26.6
116,116,1980,347,27.1
117,117,1980,350,27.1
118,118,1980,353,27.0
119,119,1980,356,26.9
120,120,1980,361,26.7
