threeday_yrmo,threeday_yr,year,dayofyear,varvartemp1_C_0-10mAvg
1,1,1980,2,7.6
2,2,1980,5,7.4
3,3,1980,8,6.8
4,4,1980,11,6.2
5,5,1980,14,6.3
6,6,1980,17,6.5
7,7,1980,20,6.1
8,8,1980,23,6.2
9,9,1980,26,6.2
10,10,1980,29,5.6
11,11,1980,32,5.4
12,12,1980,35,5.9
13,13,1980,38,5.9
14,14,1980,41,5.9
15,15,1980,44,6.0
16,16,1980,47,5.9
17,17,1980,50,6.0
18,18,1980,53,6.2
19,19,1980,56,6.3
20,20,1980,59,6.6
21,21,1980,62,6.8
22,22,1980,65,6.9
23,23,1980,68,6.9
24,24,1980,71,6.9
25,25,1980,74,7.1
26,26,1980,77,7.1
27,27,1980,80,7.2
28,28,1980,83,7.3
29,29,1980,86,7.3
30,30,1980,89,7.4
31,31,1980,92,7.6
32,32,1980,95,8.0
33,33,1980,98,8.1
34,34,1980,101,8.2
35,35,1980,104,8.6
36,36,1980,107,8.7
37,37,1980,110,8.7
38,38,1980,113,8.9
39,39,1980,116,9.5
40,40,1980,119,9.8
41,41,1980,122,9.9
42,42,1980,125,10.2
43,43,1980,128,10.5
44,44,1980,131,10.7
45,45,1980,134,11.2
46,46,1980,137,11.3
47,47,1980,140,11.6
48,48,1980,143,11.1
49,49,1980,146,11.5
50,50,1980,149,11.7
51,51,1980,152,12.1
52,52,1980,155,11.9
53,53,1980,158,11.9
54,54,1980,161,12.2
55,55,1980,164,12.5
56,56,1980,167,12.9
57,57,1980,170,13.2
58,58,1980,173,13.8
59,59,1980,176,13.9
60,60,1980,179,13.7
61,61,1980,182,13.8
62,62,1980,185,14.0
63,63,1980,188,13.5
64,64,1980,191,14.1
65,65,1980,194,14.0
66,66,1980,197,14.1
67,67,1980,200,14.4
68,68,1980,203,14.7
69,69,1980,206,15.1
70,70,1980,209,15.1
71,71,1980,212,14.4
72,72,1980,215,14.5
73,73,1980,218,14.5
74,74,1980,221,14.6
75,75,1980,224,14.7
76,76,1980,227,14.8
77,77,1980,230,14.8
78,78,1980,233,14.5
79,79,1980,236,14.2
80,80,1980,239,13.7
81,81,1980,242,13.5
82,82,1980,245,13.3
83,83,1980,248,13.1
84,84,1980,251,13.0
85,85,1980,254,13.0
86,86,1980,257,13.0
87,87,1980,260,12.9
88,88,1980,263,13.0
89,89,1980,266,12.6
90,90,1980,269,12.4
91,91,1980,272,12.2
92,92,1980,275,11.9
93,93,1980,278,12.0
94,94,1980,281,12.1
95,95,1980,284,11.9
96,96,1980,287,11.6
97,97,1980,290,11.2
98,98,1980,293,11.1
99,99,1980,296,10.9
100,100,1980,299,10.4
101,101,1980,302,10.1
102,102,1980,305,10.1
103,103,1980,308,9.9
104,104,1980,311,9.9
105,105,1980,314,9.8
106,106,1980,317,9.5
107,107,1980,320,9.1
108,108,1980,323,8.8
109,109,1980,326,8.8
110,110,1980,329,8.4
111,111,1980,332,8.3
112,112,1980,335,8.1
113,113,1980,338,7.8
114,114,1980,341,7.3
115,115,1980,344,6.9
116,116,1980,347,7.3
117,117,1980,350,7.4
118,118,1980,353,7.4
119,119,1980,356,7.2
120,120,1980,361,7.4
121,121,1981,2,7.3
122,122,1981,5,7.1
123,123,1981,8,7.1
124,124,1981,11,7.1
125,125,1981,14,7.0
126,126,1981,17,6.9
127,127,1981,20,7.1
128,128,1981,23,7.4
129,129,1981,26,7.2
130,130,1981,29,6.9
131,131,1981,32,6.8
132,132,1981,35,6.8
133,133,1981,38,6.8
134,134,1981,41,6.7
135,135,1981,44,6.4
136,136,1981,47,6.9
137,137,1981,50,7.2
138,138,1981,53,7.2
139,139,1981,56,7.2
140,140,1981,59,7.2
141,141,1981,62,7.3
142,142,1981,65,7.4
143,143,1981,68,7.5
144,144,1981,71,7.7
145,145,1981,74,8.0
146,146,1981,77,8.0
147,147,1981,80,8.1
148,148,1981,83,8.3
149,149,1981,86,8.5
150,150,1981,89,8.4
151,151,1981,92,8.4
152,152,1981,95,8.3
153,153,1981,98,8.4
154,154,1981,101,8.4
155,155,1981,104,8.3
156,156,1981,107,8.6
157,157,1981,110,9.1
158,158,1981,113,9.1
159,159,1981,116,9.3
160,160,1981,119,9.3
161,161,1981,122,9.4
162,162,1981,125,9.4
163,163,1981,128,9.6
164,164,1981,131,10.0
165,165,1981,134,10.5
166,166,1981,137,10.6
167,167,1981,140,11.0
168,168,1981,143,11.5
169,169,1981,146,11.6
170,170,1981,149,12.2
171,171,1981,152,12.4
172,172,1981,155,12.4
173,173,1981,158,11.9
174,174,1981,161,12.1
175,175,1981,164,12.4
176,176,1981,167,12.7
177,177,1981,170,12.5
178,178,1981,173,12.6
179,179,1981,176,13.1
180,180,1981,179,13.6
181,181,1981,182,13.5
182,182,1981,185,13.9
183,183,1981,188,13.9
184,184,1981,191,13.9
185,185,1981,194,14.1
186,186,1981,197,14.5
187,187,1981,200,14.8
188,188,1981,203,15.0
189,189,1981,206,15.3
190,190,1981,209,15.1
191,191,1981,212,14.6
192,192,1981,215,14.7
193,193,1981,218,15.0
194,194,1981,221,15.4
195,195,1981,224,15.4
196,196,1981,227,15.0
197,197,1981,230,15.0
198,198,1981,233,14.9
199,199,1981,236,14.9
200,200,1981,239,14.7
201,201,1981,242,14.3
202,202,1981,245,13.9
203,203,1981,248,14.0
204,204,1981,251,14.2
205,205,1981,254,14.2
206,206,1981,257,13.6
207,207,1981,260,13.5
208,208,1981,263,13.3
209,209,1981,266,12.4
210,210,1981,269,12.3
211,211,1981,272,11.9
212,212,1981,275,11.6
213,213,1981,278,11.6
214,214,1981,281,11.0
215,215,1981,284,11.0
216,216,1981,287,10.9
217,217,1981,290,10.9
218,218,1981,293,10.8
219,219,1981,296,10.5
220,220,1981,299,10.5
221,221,1981,302,10.2
222,222,1981,305,10.0
223,223,1981,308,10.0
224,224,1981,311,9.7
225,225,1981,314,9.6
226,226,1981,317,9.6
227,227,1981,320,9.3
228,228,1981,323,9.1
229,229,1981,326,9.0
230,230,1981,329,8.8
231,231,1981,332,8.4
232,232,1981,335,8.2
233,233,1981,338,8.0
234,234,1981,341,8.0
235,235,1981,344,7.7
236,236,1981,347,7.4
237,237,1981,350,7.3
238,238,1981,353,7.3
239,239,1981,356,7.1
240,240,1981,360,6.8
241,241,1982,2,6.4
242,242,1982,5,5.9
243,243,1982,8,5.6
244,244,1982,11,5.9
245,245,1982,14,6.0
246,246,1982,17,6.1
247,247,1982,20,5.9
248,248,1982,23,5.8
249,249,1982,26,6.0
250,250,1982,29,6.0
251,251,1982,32,6.0
252,252,1982,35,6.1
253,253,1982,38,6.0
254,254,1982,41,5.9
255,255,1982,44,6.2
256,256,1982,47,6.3
257,257,1982,50,6.4
258,258,1982,53,6.3
259,259,1982,56,6.3
260,260,1982,59,6.4
261,261,1982,62,6.6
262,262,1982,65,6.6
263,263,1982,68,6.7
264,264,1982,71,6.8
265,265,1982,74,6.8
266,266,1982,77,6.8
267,267,1982,80,7.0
268,268,1982,83,7.3
269,269,1982,86,7.5
270,270,1982,89,7.5
271,271,1982,92,7.5
272,272,1982,95,7.5
273,273,1982,98,7.8
274,274,1982,101,8.1
275,275,1982,104,7.9
276,276,1982,107,8.0
277,277,1982,110,8.3
278,278,1982,113,8.8
279,279,1982,116,8.8
280,280,1982,119,9.0
281,281,1982,122,9.3
282,282,1982,125,9.4
283,283,1982,128,9.7
284,284,1982,131,10.2
285,285,1982,134,10.4
286,286,1982,137,10.7
287,287,1982,140,10.9
288,288,1982,143,11.1
289,289,1982,146,10.8
290,290,1982,149,11.0
291,291,1982,152,11.8
292,292,1982,155,12.1
293,293,1982,158,12.3
294,294,1982,161,12.7
295,295,1982,164,13.2
296,296,1982,167,13.6
297,297,1982,170,13.9
298,298,1982,173,14.0
