threeday_yrmo,threeday_yr,year,dayofyear,varvartemp_avg150toBot
1,1,1978,2,9.11
2,2,1978,5,9.11
3,3,1978,8,9.11
4,4,1978,11,9.11
5,5,1978,14,9.11
6,6,1978,17,9.11
7,7,1978,20,9.11
8,8,1978,23,9.11
9,9,1978,26,9.11
10,10,1978,29,9.11
11,11,1978,32,9.11
12,12,1978,35,9.11
13,13,1978,38,9.5
14,14,1978,41,9.5
15,15,1978,44,9.5
16,16,1978,47,9.5
17,17,1978,50,9.5
18,18,1978,53,9.5
19,19,1978,56,9.5
20,20,1978,59,9.5
21,21,1978,62,9.5
22,22,1978,65,9.4
23,23,1978,68,9.4
24,24,1978,71,9.4
25,25,1978,74,9.4
26,26,1978,77,9.4
27,27,1978,80,9.4
28,28,1978,83,9.4
29,29,1978,86,9.4
30,30,1978,89,9.4
31,31,1978,92,9.4
32,32,1978,95,9.4
33,33,1978,98,9.4
34,34,1978,101,9.4
35,35,1978,104,9.4
36,36,1978,107,9.4
37,37,1978,110,9.4
38,38,1978,113,9.4
39,39,1978,116,9.4
40,40,1978,119,9.4
41,41,1978,122,9.3
42,42,1978,125,9.3
43,43,1978,128,9.4
44,44,1978,131,9.4
45,45,1978,134,9.4
46,46,1978,137,9.4
47,47,1978,140,9.4
48,48,1978,143,9.4
49,49,1978,146,9.4
50,50,1978,149,9.3
51,51,1978,152,9.4
52,52,1978,155,9.4
53,53,1978,158,9.4
54,54,1978,161,9.4
55,55,1978,164,9.4
56,56,1978,167,9.4
57,57,1978,170,9.4
58,58,1978,173,9.4
59,59,1978,176,9.3
60,60,1978,179,9.4
61,61,1978,182,9.4
62,62,1978,185,9.4
63,63,1978,188,9.4
64,64,1978,191,9.4
65,65,1978,194,9.4
66,66,1978,197,9.4
67,67,1978,200,9.4
68,68,1978,203,9.4
69,69,1978,206,9.4
70,70,1978,209,9.4
71,71,1978,212,9.4
72,72,1978,215,9.5
73,73,1978,218,9.5
74,74,1978,221,9.5
75,75,1978,224,9.5
76,76,1978,227,9.5
77,77,1978,230,9.5
78,78,1978,233,9.5
79,79,1978,236,9.5
80,80,1978,239,9.5
81,81,1978,242,9.5
82,82,1978,245,9.5
83,83,1978,248,9.6
84,84,1978,251,9.6
85,85,1978,254,9.6
86,86,1978,257,9.6
87,87,1978,260,9.6
88,88,1978,263,9.5
89,89,1978,266,9.5
90,90,1978,269,9.6
91,91,1978,272,9.6
92,92,1978,275,9.6
93,93,1978,278,9.6
94,94,1978,281,9.6
95,95,1978,284,9.6
96,96,1978,287,9.6
97,97,1978,290,9.6
98,98,1978,293,9.6
99,99,1978,296,9.6
100,100,1978,299,9.6
101,101,1978,302,9.6
102,102,1978,305,9.6
103,103,1978,308,9.6
104,104,1978,311,9.6
105,105,1978,314,9.6
106,106,1978,317,9.6
107,107,1978,320,9.6
108,108,1978,323,9.6
109,109,1978,326,9.6
110,110,1978,329,9.6
111,111,1978,332,9.6
112,112,1978,335,9.6
113,113,1978,338,9.6
114,114,1978,341,9.6
115,115,1978,344,9.6
116,116,1978,347,9.6
117,117,1978,350,9.6
118,118,1978,353,9.6
119,119,1978,356,9.6
120,120,1978,363,9.6
121,121,1979,2,9.7
122,122,1979,5,9.7
123,123,1979,8,9.6
124,124,1979,11,9.6
125,125,1979,14,9.6
126,126,1979,17,9.6
127,127,1979,20,9.6
128,128,1979,23,9.6
129,129,1979,26,9.6
130,130,1979,29,9.6
131,131,1979,32,9.5
132,132,1979,35,9.5
133,133,1979,38,9.5
134,134,1979,41,9.5
135,135,1979,44,9.5
136,136,1979,47,9.5
137,137,1979,50,9.5
138,138,1979,53,9.5
139,139,1979,56,9.5
140,140,1979,59,9.5
141,141,1979,62,9.5
142,142,1979,65,9.4
143,143,1979,68,9.4
144,144,1979,71,9.4
145,145,1979,74,9.4
146,146,1979,77,9.4
147,147,1979,80,9.4
148,148,1979,83,9.4
149,149,1979,86,9.4
150,150,1979,89,9.4
151,151,1979,92,9.4
152,152,1979,95,9.4
153,153,1979,98,9.4
154,154,1979,101,9.4
155,155,1979,104,9.4
156,156,1979,107,9.4
157,157,1979,110,9.4
158,158,1979,113,9.4
159,159,1979,116,9.4
160,160,1979,119,9.4
161,161,1979,122,9.3
162,162,1979,125,9.3
163,163,1979,128,9.4
164,164,1979,131,9.4
165,165,1979,134,9.4
166,166,1979,137,9.4
167,167,1979,140,9.4
168,168,1979,143,9.4
169,169,1979,146,9.4
170,170,1979,149,9.3
171,171,1979,152,9.4
172,172,1979,155,9.4
173,173,1979,158,9.4
174,174,1979,161,9.4
175,175,1979,164,9.4
176,176,1979,167,9.4
177,177,1979,170,9.4
178,178,1979,173,9.4
179,179,1979,176,9.3
180,180,1979,179,9.4
181,181,1979,182,9.4
182,182,1979,185,9.4
183,183,1979,188,9.4
184,184,1979,191,9.4
185,185,1979,194,9.4
186,186,1979,197,9.4
187,187,1979,200,9.4
188,188,1979,203,9.4
189,189,1979,206,9.4
190,190,1979,209,9.4
191,191,1979,212,9.4
192,192,1979,215,9.5
193,193,1979,218,9.5
194,194,1979,221,9.5
195,195,1979,224,9.5
196,196,1979,227,9.5
197,197,1979,230,9.5
198,198,1979,233,9.5
199,199,1979,236,9.5
200,200,1979,239,9.5
201,201,1979,242,9.5
202,202,1979,245,9.5
203,203,1979,248,9.6
204,204,1979,251,9.6
205,205,1979,254,9.6
206,206,1979,257,9.6
207,207,1979,260,9.6
208,208,1979,263,9.5
209,209,1979,266,9.5
210,210,1979,269,9.6
211,211,1979,272,9.6
212,212,1979,275,9.6
213,213,1979,278,9.6
214,214,1979,281,9.6
215,215,1979,284,9.6
216,216,1979,287,9.6
217,217,1979,290,9.6
218,218,1979,293,9.6
219,219,1979,296,9.6
220,220,1979,299,9.6
221,221,1979,302,9.6
222,222,1979,305,9.6
223,223,1979,308,9.6
224,224,1979,311,9.6
225,225,1979,314,9.6
226,226,1979,317,9.6
227,227,1979,320,9.6
228,228,1979,323,9.6
