threeday_yrmo,threeday_yr,year,dayofyear,varvartemp_avg150toBot_anom
1,1,1978,2,-0.0
2,2,1978,5,-0.0
3,3,1978,8,-0.0
4,4,1978,11,-0.0
5,5,1978,14,-0.0
6,6,1978,17,-0.0
7,7,1978,20,-0.0
8,8,1978,23,-0.0
9,9,1978,26,-0.0
10,10,1978,29,-0.0
11,11,1978,32,-0.0
12,12,1978,35,-0.0
13,13,1978,38,0.4
14,14,1978,41,0.4
15,15,1978,44,0.4
16,16,1978,47,0.4
17,17,1978,50,0.4
18,18,1978,53,0.4
19,19,1978,56,0.4
20,20,1978,59,0.4
21,21,1978,62,0.4
22,22,1978,65,0.4
23,23,1978,68,0.4
24,24,1978,71,0.4
25,25,1978,74,0.4
26,26,1978,77,0.4
27,27,1978,80,0.4
28,28,1978,83,0.4
29,29,1978,86,0.4
30,30,1978,89,0.4
31,31,1978,92,0.4
32,32,1978,95,0.4
33,33,1978,98,0.4
34,34,1978,101,0.4
35,35,1978,104,0.4
36,36,1978,107,0.4
37,37,1978,110,0.4
38,38,1978,113,0.4
39,39,1978,116,0.4
40,40,1978,119,0.4
41,41,1978,122,0.4
42,42,1978,125,0.4
43,43,1978,128,0.4
44,44,1978,131,0.4
45,45,1978,134,0.4
46,46,1978,137,0.4
47,47,1978,140,0.4
48,48,1978,143,0.4
49,49,1978,146,0.4
50,50,1978,149,0.4
51,51,1978,152,0.4
52,52,1978,155,0.4
53,53,1978,158,0.4
54,54,1978,161,0.4
55,55,1978,164,0.4
56,56,1978,167,0.4
57,57,1978,170,0.4
58,58,1978,173,0.4
59,59,1978,176,0.4
60,60,1978,179,0.4
61,61,1978,182,0.4
62,62,1978,185,0.4
63,63,1978,188,0.4
64,64,1978,191,0.4
65,65,1978,194,0.4
66,66,1978,197,0.4
67,67,1978,200,0.4
68,68,1978,203,0.4
69,69,1978,206,0.4
70,70,1978,209,0.4
71,71,1978,212,0.4
72,72,1978,215,0.4
73,73,1978,218,0.4
74,74,1978,221,0.4
75,75,1978,224,0.4
76,76,1978,227,0.4
77,77,1978,230,0.4
78,78,1978,233,0.4
79,79,1978,236,0.4
80,80,1978,239,0.4
81,81,1978,242,0.4
82,82,1978,245,0.4
83,83,1978,248,0.4
84,84,1978,251,0.4
85,85,1978,254,0.4
86,86,1978,257,0.4
87,87,1978,260,0.3
88,88,1978,263,0.3
89,89,1978,266,0.3
90,90,1978,269,0.3
91,91,1978,272,0.4
92,92,1978,275,0.3
93,93,1978,278,0.3
94,94,1978,281,0.3
95,95,1978,284,0.3
96,96,1978,287,0.3
97,97,1978,290,0.3
98,98,1978,293,0.3
99,99,1978,296,0.3
100,100,1978,299,0.3
101,101,1978,302,0.3
102,102,1978,305,0.3
103,103,1978,308,0.3
104,104,1978,311,0.3
105,105,1978,314,0.3
106,106,1978,317,0.3
107,107,1978,320,0.3
108,108,1978,323,0.3
109,109,1978,326,0.3
110,110,1978,329,0.3
111,111,1978,332,0.3
112,112,1978,335,0.3
113,113,1978,338,0.3
114,114,1978,341,0.3
115,115,1978,344,0.3
116,116,1978,347,0.3
117,117,1978,350,0.3
118,118,1978,353,0.3
119,119,1978,356,0.3
120,120,1978,363,0.3
121,121,1979,2,0.4
122,122,1979,5,0.4
123,123,1979,8,0.4
124,124,1979,11,0.4
125,125,1979,14,0.4
126,126,1979,17,0.4
127,127,1979,20,0.4
128,128,1979,23,0.4
129,129,1979,26,0.4
130,130,1979,29,0.4
131,131,1979,32,0.4
132,132,1979,35,0.4
133,133,1979,38,0.4
134,134,1979,41,0.4
135,135,1979,44,0.4
136,136,1979,47,0.4
137,137,1979,50,0.4
138,138,1979,53,0.4
139,139,1979,56,0.4
140,140,1979,59,0.4
141,141,1979,62,0.4
142,142,1979,65,0.4
143,143,1979,68,0.4
144,144,1979,71,0.4
145,145,1979,74,0.4
146,146,1979,77,0.4
147,147,1979,80,0.4
148,148,1979,83,0.4
149,149,1979,86,0.4
150,150,1979,89,0.4
151,151,1979,92,0.4
152,152,1979,95,0.4
153,153,1979,98,0.4
154,154,1979,101,0.4
155,155,1979,104,0.4
156,156,1979,107,0.4
157,157,1979,110,0.4
158,158,1979,113,0.4
159,159,1979,116,0.4
160,160,1979,119,0.4
161,161,1979,122,0.4
162,162,1979,125,0.4
163,163,1979,128,0.4
164,164,1979,131,0.4
165,165,1979,134,0.4
166,166,1979,137,0.4
167,167,1979,140,0.4
168,168,1979,143,0.4
169,169,1979,146,0.4
170,170,1979,149,0.4
171,171,1979,152,0.4
172,172,1979,155,0.4
173,173,1979,158,0.4
174,174,1979,161,0.4
175,175,1979,164,0.4
176,176,1979,167,0.4
177,177,1979,170,0.4
178,178,1979,173,0.4
179,179,1979,176,0.4
180,180,1979,179,0.4
181,181,1979,182,0.4
182,182,1979,185,0.4
183,183,1979,188,0.4
184,184,1979,191,0.4
185,185,1979,194,0.4
186,186,1979,197,0.4
187,187,1979,200,0.4
188,188,1979,203,0.4
189,189,1979,206,0.4
190,190,1979,209,0.4
191,191,1979,212,0.4
192,192,1979,215,0.4
193,193,1979,218,0.4
194,194,1979,221,0.4
195,195,1979,224,0.4
196,196,1979,227,0.4
197,197,1979,230,0.4
198,198,1979,233,0.4
199,199,1979,236,0.4
200,200,1979,239,0.4
201,201,1979,242,0.4
202,202,1979,245,0.4
203,203,1979,248,0.4
204,204,1979,251,0.4
205,205,1979,254,0.4
206,206,1979,257,0.4
207,207,1979,260,0.3
208,208,1979,263,0.3
209,209,1979,266,0.3
210,210,1979,269,0.3
211,211,1979,272,0.4
212,212,1979,275,0.3
213,213,1979,278,0.3
214,214,1979,281,0.3
215,215,1979,284,0.3
216,216,1979,287,0.3
217,217,1979,290,0.3
218,218,1979,293,0.3
219,219,1979,296,0.3
220,220,1979,299,0.3
221,221,1979,302,0.3
222,222,1979,305,0.3
223,223,1979,308,0.3
224,224,1979,311,0.3
225,225,1979,314,0.3
226,226,1979,317,0.3
227,227,1979,320,0.3
228,228,1979,323,0.3
229,229,1979,326,0.3
230,230,1979,329,0.3
231,231,1979,332,0.3
232,232,1979,335,0.3
233,233,1979,338,0.3
234,234,1979,341,0.3
235,235,1979,344,0.3
236,236,1979,347,0.3
237,237,1979,350,0.3
238,238,1979,353,0.3
239,239,1979,356,0.3
240,240,1979,363,0.3
241,241,1980,2,0.4
242,242,1980,5,0.4
243,243,1980,8,0.4
244,244,1980,11,0.4
245,245,1980,14,0.4
246,246,1980,17,0.4
247,247,1980,20,0.4
248,248,1980,23,0.4
249,249,1980,26,0.4
250,250,1980,29,0.4
251,251,1980,32,0.4
252,252,1980,35,0.4
253,253,1980,38,0.4
254,254,1980,41,0.4
255,255,1980,44,0.4
256,256,1980,47,0.4
257,257,1980,50,0.4
258,258,1980,53,0.4
259,259,1980,56,0.4
260,260,1980,59,0.4
261,261,1980,62,0.4
262,262,1980,65,0.4
263,263,1980,68,0.4
264,264,1980,71,0.4
265,265,1980,74,0.4
266,266,1980,77,0.4
267,267,1980,80,0.4
268,268,1980,83,0.4
269,269,1980,86,0.4
270,270,1980,89,0.4
271,271,1980,92,0.4
272,272,1980,95,0.4
273,273,1980,98,0.4
274,274,1980,101,0.4
275,275,1980,104,0.4
276,276,1980,107,0.4
277,277,1980,110,0.4
278,278,1980,113,0.4
279,279,1980,116,0.4
280,280,1980,119,0.4
281,281,1980,122,0.4
282,282,1980,125,0.4
283,283,1980,128,0.4
284,284,1980,131,0.4
285,285,1980,134,0.4
286,286,1980,137,0.4
287,287,1980,140,0.4
288,288,1980,143,0.4
289,289,1980,146,0.4
290,290,1980,149,0.4
291,291,1980,152,0.4
292,292,1980,155,0.4
293,293,1980,158,0.4
294,294,1980,161,0.4
295,295,1980,164,0.4
296,296,1980,167,0.4
297,297,1980,170,0.4
298,298,1980,173,0.4
299,299,1980,176,0.4
300,300,1980,179,0.4
301,301,1980,182,0.4
302,302,1980,185,0.4
303,303,1980,188,0.4
304,304,1980,191,0.4
305,305,1980,194,0.4
306,306,1980,197,0.4
307,307,1980,200,0.4
308,308,1980,203,0.4
309,309,1980,206,0.4
310,310,1980,209,0.4
311,311,1980,212,0.4
312,312,1980,215,0.4
313,313,1980,218,0.4
314,314,1980,221,0.4
315,315,1980,224,0.4
316,316,1980,227,0.4
317,317,1980,230,0.4
318,318,1980,233,0.4
319,319,1980,236,0.4
320,320,1980,239,0.4
321,321,1980,242,0.4
322,322,1980,245,0.4
323,323,1980,248,0.4
324,324,1980,251,0.4
325,325,1980,254,0.4
326,326,1980,257,0.4
327,327,1980,260,0.3
328,328,1980,263,0.3
329,329,1980,266,0.3
330,330,1980,269,0.3
331,331,1980,272,0.4
332,332,1980,275,0.3
333,333,1980,278,0.3
334,334,1980,281,0.3
335,335,1980,284,0.3
336,336,1980,287,0.3
337,337,1980,290,0.3
338,338,1980,293,0.3
339,339,1980,296,0.3
340,340,1980,299,0.3
341,341,1980,302,0.3
342,342,1980,305,0.3
343,343,1980,308,0.3
344,344,1980,311,0.3
345,345,1980,314,0.3
346,346,1980,317,0.3
347,347,1980,320,0.3
348,348,1980,323,0.3
349,349,1980,326,0.3
350,350,1980,329,0.3
351,351,1980,332,0.3
352,352,1980,335,0.3
353,353,1980,338,0.3
354,354,1980,341,0.3
355,355,1980,344,0.3
356,356,1980,347,0.3
357,357,1980,350,0.3
358,358,1980,353,0.3
359,359,1980,356,0.3
360,360,1980,363,0.3
361,361,1981,2,0.3
362,362,1981,5,0.3
363,363,1981,8,0.3
364,364,1981,11,0.3
365,365,1981,14,0.3
366,366,1981,17,0.3
367,367,1981,20,0.3
368,368,1981,23,0.4
369,369,1981,26,0.4
370,370,1981,29,0.4
371,371,1981,32,0.4
372,372,1981,35,0.4
373,373,1981,38,0.4
374,374,1981,41,0.4
375,375,1981,44,0.4
376,376,1981,47,0.4
377,377,1981,50,0.4
378,378,1981,53,0.4
379,379,1981,56,0.4
380,380,1981,59,0.4
381,381,1981,62,0.4
382,382,1981,65,0.4
383,383,1981,68,0.4
384,384,1981,71,0.4
385,385,1981,74,0.4
386,386,1981,77,0.4
387,387,1981,80,0.4
388,388,1981,83,0.4
389,389,1981,86,0.4
390,390,1981,89,0.4
391,391,1981,92,0.4
392,392,1981,95,0.4
393,393,1981,98,0.4
394,394,1981,101,0.4
395,395,1981,104,0.4
396,396,1981,107,0.4
397,397,1981,110,0.4
398,398,1981,113,0.4
399,399,1981,116,0.4
400,400,1981,119,0.4
401,401,1981,122,0.4
402,402,1981,125,0.4
403,403,1981,128,0.4
404,404,1981,131,0.4
405,405,1981,134,0.4
406,406,1981,137,0.4
407,407,1981,140,0.4
408,408,1981,143,0.4
409,409,1981,146,0.4
410,410,1981,149,0.4
411,411,1981,152,0.4
412,412,1981,155,0.4
413,413,1981,158,0.4
414,414,1981,161,0.4
415,415,1981,164,0.4
416,416,1981,167,0.4
417,417,1981,170,0.4
418,418,1981,173,0.4
419,419,1981,176,0.4
420,420,1981,179,0.4
421,421,1981,182,0.4
422,422,1981,185,0.4
423,423,1981,188,0.4
424,424,1981,191,0.4
425,425,1981,194,0.4
426,426,1981,197,0.4
427,427,1981,200,0.4
428,428,1981,203,0.4
429,429,1981,206,0.4
430,430,1981,209,0.4
431,431,1981,212,0.4
432,432,1981,215,0.4
433,433,1981,218,0.4
434,434,1981,221,0.3
435,435,1981,224,0.3
436,436,1981,227,0.3
437,437,1981,230,0.3
438,438,1981,233,0.4
439,439,1981,236,0.4
440,440,1981,239,0.4
441,441,1981,242,0.4
442,442,1981,245,0.4
443,443,1981,248,0.3
444,444,1981,251,0.3
445,445,1981,254,0.3
446,446,1981,257,0.3
447,447,1981,260,0.3
448,448,1981,263,0.3
449,449,1981,266,0.3
450,450,1981,269,0.3
451,451,1981,272,0.3
452,452,1981,275,0.3
453,453,1981,278,0.3
454,454,1981,281,0.2
455,455,1981,284,0.2
456,456,1981,287,0.2
457,457,1981,290,0.2
458,458,1981,293,0.3
459,459,1981,296,0.2
460,460,1981,299,0.2
461,461,1981,302,0.2
462,462,1981,305,0.2
463,463,1981,308,0.2
464,464,1981,311,0.2
465,465,1981,314,0.2
466,466,1981,317,0.2
467,467,1981,320,0.2
468,468,1981,323,0.2
469,469,1981,326,0.2
470,470,1981,329,0.2
471,471,1981,332,0.2
472,472,1981,335,0.2
473,473,1981,338,0.3
474,474,1981,341,0.3
475,475,1981,344,0.3
476,476,1981,347,0.2
477,477,1981,350,0.3
478,478,1981,353,0.3
479,479,1981,356,0.3
480,480,1981,363,0.3
481,481,1982,2,0.3
482,482,1982,5,0.3
483,483,1982,8,0.2
484,484,1982,11,0.3
485,485,1982,14,0.2
486,486,1982,17,0.3
487,487,1982,20,0.3
488,488,1982,23,0.3
489,489,1982,26,0.2
490,490,1982,29,0.2
491,491,1982,32,0.2
492,492,1982,35,0.2
493,493,1982,38,0.2
494,494,1982,41,0.2
495,495,1982,44,0.3
496,496,1982,47,0.3
497,497,1982,50,0.3
498,498,1982,53,0.3
499,499,1982,56,0.2
500,500,1982,59,0.3
501,501,1982,62,0.3
502,502,1982,65,0.2
503,503,1982,68,0.2
504,504,1982,71,0.2
505,505,1982,74,0.2
506,506,1982,77,0.2
507,507,1982,80,0.2
508,508,1982,83,0.2
509,509,1982,86,0.2
510,510,1982,89,0.3
511,511,1982,92,0.3
512,512,1982,95,0.3
513,513,1982,98,0.2
514,514,1982,101,0.2
515,515,1982,104,0.2
516,516,1982,107,0.3
517,517,1982,110,0.2
518,518,1982,113,0.2
519,519,1982,116,0.2
520,520,1982,119,0.2
521,521,1982,122,0.2
522,522,1982,125,0.2
523,523,1982,128,0.2
524,524,1982,131,0.2
525,525,1982,134,0.2
526,526,1982,137,0.2
527,527,1982,140,0.2
528,528,1982,143,0.2
529,529,1982,146,0.2
530,530,1982,149,0.2
531,531,1982,152,0.2
532,532,1982,155,0.2
533,533,1982,158,0.2
534,534,1982,161,0.2
535,535,1982,164,0.2
536,536,1982,167,0.2
537,537,1982,170,0.2
538,538,1982,173,0.2
539,539,1982,176,0.2
540,540,1982,179,0.2
541,541,1982,182,0.2
542,542,1982,185,0.2
543,543,1982,188,0.2
544,544,1982,191,0.2
545,545,1982,194,0.2
546,546,1982,197,0.2
547,547,1982,200,0.2
548,548,1982,203,0.3
549,549,1982,206,0.3
550,550,1982,209,0.2
551,551,1982,212,0.2
552,552,1982,215,0.2
553,553,1982,218,0.2
554,554,1982,221,0.2
555,555,1982,224,0.2
556,556,1982,227,0.2
557,557,1982,230,0.2
558,558,1982,233,0.2
559,559,1982,236,0.2
560,560,1982,239,0.2
561,561,1982,242,0.2
562,562,1982,245,0.1
563,563,1982,248,0.2
564,564,1982,251,0.2
565,565,1982,254,0.2
566,566,1982,257,0.2
567,567,1982,260,0.2
568,568,1982,263,0.1
569,569,1982,266,0.1
570,570,1982,269,0.1
571,571,1982,272,0.1
572,572,1982,275,0.1
573,573,1982,278,0.1
574,574,1982,281,0.1
575,575,1982,284,0.1
576,576,1982,287,0.1
577,577,1982,290,0.1
578,578,1982,293,0.1
579,579,1982,296,0.1
580,580,1982,299,0.1
581,581,1982,302,0.1
582,582,1982,305,0.1
583,583,1982,308,0.1
584,584,1982,311,0.1
585,585,1982,314,0.1
586,586,1982,317,0.1
587,587,1982,320,0.1
588,588,1982,323,0.1
589,589,1982,326,0.1
590,590,1982,329,0.0
591,591,1982,332,0.0
592,592,1982,335,0.1
593,593,1982,338,0.1
594,594,1982,341,0.0
595,595,1982,344,0.0
596,596,1982,347,0.0
597,597,1982,350,0.1
598,598,1982,353,0.1
599,599,1982,356,0.1
600,600,1982,363,0.1
601,601,1983,2,0.0
602,602,1983,5,0.1
603,603,1983,8,0.1
604,604,1983,11,0.1
605,605,1983,14,0.1
606,606,1983,17,0.1
607,607,1983,20,0.1
608,608,1983,23,0.1
609,609,1983,26,0.1
610,610,1983,29,0.1
611,611,1983,32,0.1
612,612,1983,35,0.1
613,613,1983,38,0.1
614,614,1983,41,0.1
615,615,1983,44,0.1
616,616,1983,47,0.1
617,617,1983,50,0.1
618,618,1983,53,0.1
619,619,1983,56,0.1
620,620,1983,59,0.1
621,621,1983,62,0.1
622,622,1983,65,0.1
623,623,1983,68,0.2
624,624,1983,71,0.2
625,625,1983,74,0.2
626,626,1983,77,0.2
627,627,1983,80,0.2
628,628,1983,83,0.2
629,629,1983,86,0.2
630,630,1983,89,0.2
631,631,1983,92,0.2
632,632,1983,95,0.2
633,633,1983,98,0.2
634,634,1983,101,0.2
635,635,1983,104,0.2
636,636,1983,107,0.2
637,637,1983,110,0.2
638,638,1983,113,0.2
639,639,1983,116,0.2
640,640,1983,119,0.2
641,641,1983,122,0.2
642,642,1983,125,0.2
643,643,1983,128,0.2
644,644,1983,131,0.2
645,645,1983,134,0.3
646,646,1983,137,0.3
647,647,1983,140,0.3
648,648,1983,143,0.3
649,649,1983,146,0.3
650,650,1983,149,0.3
651,651,1983,152,0.3
652,652,1983,155,0.3
653,653,1983,158,0.3
654,654,1983,161,0.3
655,655,1983,164,0.3
656,656,1983,167,0.3
657,657,1983,170,0.3
658,658,1983,173,0.3
659,659,1983,176,0.3
660,660,1983,179,0.3
661,661,1983,182,0.3
662,662,1983,185,0.3
663,663,1983,188,0.3
664,664,1983,191,0.3
665,665,1983,194,0.3
666,666,1983,197,0.3
667,667,1983,200,0.3
668,668,1983,203,0.3
669,669,1983,206,0.3
670,670,1983,209,0.3
671,671,1983,212,0.3
672,672,1983,215,0.3
