threeday_yrmo,threeday_yr,year,dayofyear,varadvecY1_cmsec_0-10mAvg
1,1,2003,2,0.025
2,1,2003,2,0.025
3,1,2003,2,0.025
4,1,2003,2,0.025
5,1,2003,2,0.025
6,1,2003,2,0.025
7,1,2003,2,0.025
8,1,2003,2,0.025
9,1,2003,2,0.025
10,1,2003,2,0.025
11,1,2003,2,0.025
12,1,2003,2,0.025
13,2,2003,5,0.015
14,2,2003,5,0.015
15,2,2003,5,0.015
16,2,2003,5,0.015
17,2,2003,5,0.015
18,2,2003,5,0.015
19,2,2003,5,0.015
20,2,2003,5,0.015
21,2,2003,5,0.015
22,2,2003,5,0.015
23,2,2003,5,0.015
24,2,2003,5,0.015
25,3,2003,8,-0.005
26,3,2003,8,-0.005
27,3,2003,8,-0.005
28,3,2003,8,-0.005
29,3,2003,8,-0.005
30,3,2003,8,-0.005
31,3,2003,8,-0.005
32,3,2003,8,-0.005
33,3,2003,8,-0.005
34,3,2003,8,-0.005
35,3,2003,8,-0.005
36,3,2003,8,-0.005
37,4,2003,11,-0.011
38,4,2003,11,-0.011
39,4,2003,11,-0.011
40,4,2003,11,-0.011
41,4,2003,11,-0.011
42,4,2003,11,-0.011
43,4,2003,11,-0.011
44,4,2003,11,-0.011
45,4,2003,11,-0.011
46,4,2003,11,-0.011
47,4,2003,11,-0.011
48,4,2003,11,-0.011
49,5,2003,14,-0.006
50,5,2003,14,-0.006
51,5,2003,14,-0.006
52,5,2003,14,-0.006
53,5,2003,14,-0.006
54,5,2003,14,-0.006
55,5,2003,14,-0.006
56,5,2003,14,-0.006
57,5,2003,14,-0.006
58,5,2003,14,-0.006
59,5,2003,14,-0.006
60,5,2003,14,-0.006
61,6,2003,17,-0.009
62,6,2003,17,-0.009
63,6,2003,17,-0.009
64,6,2003,17,-0.009
65,6,2003,17,-0.009
66,6,2003,17,-0.009
67,6,2003,17,-0.009
68,6,2003,17,-0.009
69,6,2003,17,-0.009
70,6,2003,17,-0.009
71,6,2003,17,-0.009
72,6,2003,17,-0.009
73,7,2003,20,-0.005
74,7,2003,20,-0.005
75,7,2003,20,-0.005
76,7,2003,20,-0.005
77,7,2003,20,-0.005
78,7,2003,20,-0.005
79,7,2003,20,-0.005
80,7,2003,20,-0.005
81,7,2003,20,-0.005
82,7,2003,20,-0.005
83,7,2003,20,-0.005
84,7,2003,20,-0.005
85,8,2003,23,0.01
86,8,2003,23,0.01
87,8,2003,23,0.01
88,8,2003,23,0.01
89,8,2003,23,0.01
90,8,2003,23,0.01
91,8,2003,23,0.01
92,8,2003,23,0.01
93,8,2003,23,0.01
94,8,2003,23,0.01
95,8,2003,23,0.01
96,8,2003,23,0.01
97,9,2003,26,0.015
98,9,2003,26,0.015
99,9,2003,26,0.015
100,9,2003,26,0.015
101,9,2003,26,0.015
102,9,2003,26,0.015
103,9,2003,26,0.015
104,9,2003,26,0.015
105,9,2003,26,0.015
106,9,2003,26,0.015
107,9,2003,26,0.015
108,9,2003,26,0.015
109,10,2003,29,0.012
110,10,2003,29,0.012
111,10,2003,29,0.012
112,10,2003,29,0.012
113,10,2003,29,0.012
114,10,2003,29,0.012
115,10,2003,29,0.012
116,10,2003,29,0.012
117,10,2003,29,0.012
118,10,2003,29,0.012
119,10,2003,29,0.012
120,10,2003,29,0.012
121,11,2003,32,0.01
122,11,2003,32,0.01
123,11,2003,32,0.01
124,11,2003,32,0.01
125,11,2003,32,0.01
126,11,2003,32,0.01
127,11,2003,32,0.01
128,11,2003,32,0.01
129,11,2003,32,0.01
130,11,2003,32,0.01
131,11,2003,32,0.01
132,11,2003,32,0.01
133,12,2003,35,-0.013
134,12,2003,35,-0.013
135,12,2003,35,-0.013
136,12,2003,35,-0.013
137,12,2003,35,-0.013
138,12,2003,35,-0.013
139,12,2003,35,-0.013
140,12,2003,35,-0.013
141,12,2003,35,-0.013
142,12,2003,35,-0.013
143,12,2003,35,-0.013
144,12,2003,35,-0.013
145,13,2003,38,-0.01
146,13,2003,38,-0.01
147,13,2003,38,-0.01
148,13,2003,38,-0.01
149,13,2003,38,-0.01
150,13,2003,38,-0.01
151,13,2003,38,-0.01
152,13,2003,38,-0.01
153,13,2003,38,-0.01
154,13,2003,38,-0.01
155,13,2003,38,-0.01
156,13,2003,38,-0.01
157,14,2003,41,-0.006
158,14,2003,41,-0.006
159,14,2003,41,-0.006
160,14,2003,41,-0.006
161,14,2003,41,-0.006
162,14,2003,41,-0.006
163,14,2003,41,-0.006
164,14,2003,41,-0.006
165,14,2003,41,-0.006
166,14,2003,41,-0.006
167,14,2003,41,-0.006
168,14,2003,41,-0.006
169,15,2003,44,-0.008
170,15,2003,44,-0.008
171,15,2003,44,-0.008
172,15,2003,44,-0.008
173,15,2003,44,-0.008
174,15,2003,44,-0.008
175,15,2003,44,-0.008
