threeday_yrmo,threeday_yr,year,dayofyear,varmixing_m
1,1,2003,2,26.6
2,1,2003,2,26.6
3,1,2003,2,26.6
4,1,2003,2,26.6
5,1,2003,2,26.6
6,1,2003,2,26.6
7,1,2003,2,26.6
8,1,2003,2,26.6
9,1,2003,2,26.6
10,1,2003,2,26.6
11,1,2003,2,26.6
12,1,2003,2,26.6
13,2,2003,5,24.4
14,2,2003,5,24.4
15,2,2003,5,24.4
16,2,2003,5,24.4
17,2,2003,5,24.4
18,2,2003,5,24.4
19,2,2003,5,24.4
20,2,2003,5,24.4
21,2,2003,5,24.4
22,2,2003,5,24.4
23,2,2003,5,24.4
24,2,2003,5,24.4
25,3,2003,8,18.6
26,3,2003,8,18.6
27,3,2003,8,18.6
28,3,2003,8,18.6
29,3,2003,8,18.6
30,3,2003,8,18.6
31,3,2003,8,18.6
32,3,2003,8,18.6
33,3,2003,8,18.6
34,3,2003,8,18.6
35,3,2003,8,18.6
36,3,2003,8,18.6
37,4,2003,11,13.7
38,4,2003,11,13.7
39,4,2003,11,13.7
40,4,2003,11,13.7
41,4,2003,11,13.7
42,4,2003,11,13.7
43,4,2003,11,13.7
44,4,2003,11,13.7
45,4,2003,11,13.7
46,4,2003,11,13.7
47,4,2003,11,13.7
48,4,2003,11,13.7
49,5,2003,14,13.3
50,5,2003,14,13.3
51,5,2003,14,13.3
52,5,2003,14,13.3
53,5,2003,14,13.3
54,5,2003,14,13.3
55,5,2003,14,13.3
56,5,2003,14,13.3
57,5,2003,14,13.3
58,5,2003,14,13.3
59,5,2003,14,13.3
60,5,2003,14,13.3
61,6,2003,17,17.2
62,6,2003,17,17.2
63,6,2003,17,17.2
64,6,2003,17,17.2
65,6,2003,17,17.2
66,6,2003,17,17.2
67,6,2003,17,17.2
68,6,2003,17,17.2
69,6,2003,17,17.2
70,6,2003,17,17.2
71,6,2003,17,17.2
72,6,2003,17,17.2
73,7,2003,20,19.7
74,7,2003,20,19.7
75,7,2003,20,19.7
76,7,2003,20,19.7
77,7,2003,20,19.7
78,7,2003,20,19.7
79,7,2003,20,19.7
80,7,2003,20,19.7
81,7,2003,20,19.7
82,7,2003,20,19.7
83,7,2003,20,19.7
84,7,2003,20,19.7
85,8,2003,23,20.5
86,8,2003,23,20.5
87,8,2003,23,20.5
88,8,2003,23,20.5
89,8,2003,23,20.5
90,8,2003,23,20.5
91,8,2003,23,20.5
92,8,2003,23,20.5
93,8,2003,23,20.5
94,8,2003,23,20.5
95,8,2003,23,20.5
96,8,2003,23,20.5
97,9,2003,26,16.7
98,9,2003,26,16.7
99,9,2003,26,16.7
100,9,2003,26,16.7
101,9,2003,26,16.7
102,9,2003,26,16.7
103,9,2003,26,16.7
104,9,2003,26,16.7
105,9,2003,26,16.7
106,9,2003,26,16.7
107,9,2003,26,16.7
108,9,2003,26,16.7
109,10,2003,29,18.6
110,10,2003,29,18.6
111,10,2003,29,18.6
112,10,2003,29,18.6
113,10,2003,29,18.6
114,10,2003,29,18.6
115,10,2003,29,18.6
116,10,2003,29,18.6
117,10,2003,29,18.6
118,10,2003,29,18.6
119,10,2003,29,18.6
120,10,2003,29,18.6
121,11,2003,32,21.2
122,11,2003,32,21.2
123,11,2003,32,21.2
124,11,2003,32,21.2
125,11,2003,32,21.2
126,11,2003,32,21.2
127,11,2003,32,21.2
128,11,2003,32,21.2
129,11,2003,32,21.2
130,11,2003,32,21.2
131,11,2003,32,21.2
132,11,2003,32,21.2
133,12,2003,35,19.8
134,12,2003,35,19.8
135,12,2003,35,19.8
136,12,2003,35,19.8
137,12,2003,35,19.8
138,12,2003,35,19.8
139,12,2003,35,19.8
140,12,2003,35,19.8
141,12,2003,35,19.8
142,12,2003,35,19.8
143,12,2003,35,19.8
144,12,2003,35,19.8
145,13,2003,38,14.4
146,13,2003,38,14.4
147,13,2003,38,14.4
148,13,2003,38,14.4
149,13,2003,38,14.4
150,13,2003,38,14.4
151,13,2003,38,14.4
152,13,2003,38,14.4
153,13,2003,38,14.4
154,13,2003,38,14.4
155,13,2003,38,14.4
156,13,2003,38,14.4
