threeday_yrmo,threeday_yr,year,dayofyear,varsalt1_PSU_0-10mAvg
1,1,1990,2,27.2
2,1,1990,2,27.2
3,1,1990,2,27.2
4,1,1990,2,27.2
5,1,1990,2,27.2
6,1,1990,2,27.2
7,1,1990,2,27.2
8,1,1990,2,27.2
9,1,1990,2,27.2
10,1,1990,2,27.2
11,1,1990,2,27.2
12,1,1990,2,27.2
13,2,1990,5,27.1
14,2,1990,5,27.1
15,2,1990,5,27.1
16,2,1990,5,27.1
17,2,1990,5,27.1
18,2,1990,5,27.1
19,2,1990,5,27.1
20,2,1990,5,27.1
21,2,1990,5,27.1
22,2,1990,5,27.1
23,2,1990,5,27.1
24,2,1990,5,27.1
25,3,1990,8,27.2
26,3,1990,8,27.2
27,3,1990,8,27.2
28,3,1990,8,27.2
29,3,1990,8,27.2
30,3,1990,8,27.2
31,3,1990,8,27.2
32,3,1990,8,27.2
33,3,1990,8,27.2
34,3,1990,8,27.2
35,3,1990,8,27.2
36,3,1990,8,27.2
37,4,1990,11,27.2
38,4,1990,11,27.2
39,4,1990,11,27.2
40,4,1990,11,27.2
41,4,1990,11,27.2
42,4,1990,11,27.2
43,4,1990,11,27.2
44,4,1990,11,27.2
45,4,1990,11,27.2
46,4,1990,11,27.2
47,4,1990,11,27.2
48,4,1990,11,27.2
49,5,1990,14,27.1
50,5,1990,14,27.1
51,5,1990,14,27.1
52,5,1990,14,27.1
53,5,1990,14,27.1
54,5,1990,14,27.1
55,5,1990,14,27.1
56,5,1990,14,27.1
57,5,1990,14,27.1
58,5,1990,14,27.1
59,5,1990,14,27.1
60,5,1990,14,27.1
61,6,1990,17,27.1
62,6,1990,17,27.1
63,6,1990,17,27.1
64,6,1990,17,27.1
65,6,1990,17,27.1
66,6,1990,17,27.1
67,6,1990,17,27.1
68,6,1990,17,27.1
69,6,1990,17,27.1
70,6,1990,17,27.1
71,6,1990,17,27.1
72,6,1990,17,27.1
73,7,1990,20,27.0
74,7,1990,20,27.0
75,7,1990,20,27.0
76,7,1990,20,27.0
77,7,1990,20,27.0
78,7,1990,20,27.0
79,7,1990,20,27.0
80,7,1990,20,27.0
81,7,1990,20,27.0
82,7,1990,20,27.0
83,7,1990,20,27.0
84,7,1990,20,27.0
85,8,1990,23,27.1
86,8,1990,23,27.1
87,8,1990,23,27.1
88,8,1990,23,27.1
89,8,1990,23,27.1
90,8,1990,23,27.1
91,8,1990,23,27.1
92,8,1990,23,27.1
93,8,1990,23,27.1
94,8,1990,23,27.1
95,8,1990,23,27.1
96,8,1990,23,27.1
97,9,1990,26,27.3
98,9,1990,26,27.3
99,9,1990,26,27.3
100,9,1990,26,27.3
101,9,1990,26,27.3
102,9,1990,26,27.3
103,9,1990,26,27.3
104,9,1990,26,27.3
105,9,1990,26,27.3
106,9,1990,26,27.3
107,9,1990,26,27.3
108,9,1990,26,27.3
109,10,1990,29,27.5
110,10,1990,29,27.5
111,10,1990,29,27.5
112,10,1990,29,27.5
113,10,1990,29,27.5
114,10,1990,29,27.5
115,10,1990,29,27.5
116,10,1990,29,27.5
117,10,1990,29,27.5
118,10,1990,29,27.5
119,10,1990,29,27.5
120,10,1990,29,27.5
121,11,1990,32,27.5
122,11,1990,32,27.5
123,11,1990,32,27.5
124,11,1990,32,27.5
125,11,1990,32,27.5
126,11,1990,32,27.5
127,11,1990,32,27.5
128,11,1990,32,27.5
129,11,1990,32,27.5
130,11,1990,32,27.5
131,11,1990,32,27.5
132,11,1990,32,27.5
133,12,1990,35,27.5
134,12,1990,35,27.5
135,12,1990,35,27.5
136,12,1990,35,27.5
137,12,1990,35,27.5
138,12,1990,35,27.5
139,12,1990,35,27.5
140,12,1990,35,27.5
141,12,1990,35,27.5
142,12,1990,35,27.5
143,12,1990,35,27.5
144,12,1990,35,27.5
145,13,1990,38,27.5
146,13,1990,38,27.5
147,13,1990,38,27.5
148,13,1990,38,27.5
149,13,1990,38,27.5
150,13,1990,38,27.5
151,13,1990,38,27.5
152,13,1990,38,27.5
153,13,1990,38,27.5
154,13,1990,38,27.5
155,13,1990,38,27.5
156,13,1990,38,27.5
157,14,1990,41,27.4
158,14,1990,41,27.4
