threeday_yrmo,threeday_yr,year,dayofyear,varsalt2_PSU_0-4m
1,1,1990,2,28.2
2,1,1990,2,28.2
3,1,1990,2,28.2
4,1,1990,2,28.2
5,1,1990,2,28.2
6,1,1990,2,28.2
7,1,1990,2,28.2
8,1,1990,2,28.2
9,1,1990,2,28.2
10,1,1990,2,28.2
11,1,1990,2,28.2
12,1,1990,2,28.2
13,2,1990,5,28.1
14,2,1990,5,28.1
15,2,1990,5,28.1
16,2,1990,5,28.1
17,2,1990,5,28.1
18,2,1990,5,28.1
19,2,1990,5,28.1
20,2,1990,5,28.1
21,2,1990,5,28.1
22,2,1990,5,28.1
23,2,1990,5,28.1
24,2,1990,5,28.1
25,3,1990,8,28.2
26,3,1990,8,28.2
27,3,1990,8,28.2
28,3,1990,8,28.2
29,3,1990,8,28.2
30,3,1990,8,28.2
31,3,1990,8,28.2
32,3,1990,8,28.2
33,3,1990,8,28.2
34,3,1990,8,28.2
35,3,1990,8,28.2
36,3,1990,8,28.2
37,4,1990,11,28.2
38,4,1990,11,28.2
39,4,1990,11,28.2
40,4,1990,11,28.2
41,4,1990,11,28.2
42,4,1990,11,28.2
43,4,1990,11,28.2
44,4,1990,11,28.2
45,4,1990,11,28.2
46,4,1990,11,28.2
47,4,1990,11,28.2
48,4,1990,11,28.2
49,5,1990,14,28.3
50,5,1990,14,28.3
51,5,1990,14,28.3
52,5,1990,14,28.3
53,5,1990,14,28.3
54,5,1990,14,28.3
55,5,1990,14,28.3
56,5,1990,14,28.3
57,5,1990,14,28.3
58,5,1990,14,28.3
59,5,1990,14,28.3
60,5,1990,14,28.3
61,6,1990,17,28.2
62,6,1990,17,28.2
63,6,1990,17,28.2
64,6,1990,17,28.2
65,6,1990,17,28.2
66,6,1990,17,28.2
67,6,1990,17,28.2
68,6,1990,17,28.2
69,6,1990,17,28.2
70,6,1990,17,28.2
71,6,1990,17,28.2
72,6,1990,17,28.2
73,7,1990,20,28.2
74,7,1990,20,28.2
75,7,1990,20,28.2
76,7,1990,20,28.2
77,7,1990,20,28.2
78,7,1990,20,28.2
79,7,1990,20,28.2
80,7,1990,20,28.2
81,7,1990,20,28.2
82,7,1990,20,28.2
83,7,1990,20,28.2
84,7,1990,20,28.2
85,8,1990,23,28.0
86,8,1990,23,28.0
87,8,1990,23,28.0
88,8,1990,23,28.0
89,8,1990,23,28.0
90,8,1990,23,28.0
91,8,1990,23,28.0
92,8,1990,23,28.0
93,8,1990,23,28.0
94,8,1990,23,28.0
95,8,1990,23,28.0
96,8,1990,23,28.0
97,9,1990,26,28.3
98,9,1990,26,28.3
99,9,1990,26,28.3
100,9,1990,26,28.3
101,9,1990,26,28.3
102,9,1990,26,28.3
103,9,1990,26,28.3
104,9,1990,26,28.3
105,9,1990,26,28.3
106,9,1990,26,28.3
107,9,1990,26,28.3
108,9,1990,26,28.3
109,10,1990,29,28.5
110,10,1990,29,28.5
111,10,1990,29,28.5
112,10,1990,29,28.5
113,10,1990,29,28.5
114,10,1990,29,28.5
115,10,1990,29,28.5
116,10,1990,29,28.5
117,10,1990,29,28.5
118,10,1990,29,28.5
119,10,1990,29,28.5
120,10,1990,29,28.5
121,11,1990,32,28.5
122,11,1990,32,28.5
123,11,1990,32,28.5
124,11,1990,32,28.5
125,11,1990,32,28.5
126,11,1990,32,28.5
127,11,1990,32,28.5
128,11,1990,32,28.5
129,11,1990,32,28.5
130,11,1990,32,28.5
131,11,1990,32,28.5
132,11,1990,32,28.5
133,12,1990,35,28.5
134,12,1990,35,28.5
135,12,1990,35,28.5
136,12,1990,35,28.5
137,12,1990,35,28.5
138,12,1990,35,28.5
139,12,1990,35,28.5
140,12,1990,35,28.5
141,12,1990,35,28.5
142,12,1990,35,28.5
143,12,1990,35,28.5
144,12,1990,35,28.5
145,13,1990,38,28.5
146,13,1990,38,28.5
147,13,1990,38,28.5
148,13,1990,38,28.5
149,13,1990,38,28.5
150,13,1990,38,28.5
151,13,1990,38,28.5
152,13,1990,38,28.5
153,13,1990,38,28.5
154,13,1990,38,28.5
155,13,1990,38,28.5
156,13,1990,38,28.5
157,14,1990,41,28.4
158,14,1990,41,28.4
159,14,1990,41,28.4
160,14,1990,41,28.4
161,14,1990,41,28.4
162,14,1990,41,28.4
163,14,1990,41,28.4
164,14,1990,41,28.4
165,14,1990,41,28.4
166,14,1990,41,28.4
167,14,1990,41,28.4
168,14,1990,41,28.4
169,15,1990,44,28.4
170,15,1990,44,28.4
171,15,1990,44,28.4
172,15,1990,44,28.4
173,15,1990,44,28.4
174,15,1990,44,28.4
175,15,1990,44,28.4
176,15,1990,44,28.4
177,15,1990,44,28.4
178,15,1990,44,28.4
179,15,1990,44,28.4
180,15,1990,44,28.4
181,16,1990,47,28.3
182,16,1990,47,28.3
183,16,1990,47,28.3
184,16,1990,47,28.3
185,16,1990,47,28.3
186,16,1990,47,28.3
187,16,1990,47,28.3
188,16,1990,47,28.3
189,16,1990,47,28.3
190,16,1990,47,28.3
191,16,1990,47,28.3
192,16,1990,47,28.3
193,17,1990,50,28.3
194,17,1990,50,28.3
195,17,1990,50,28.3
196,17,1990,50,28.3
197,17,1990,50,28.3
198,17,1990,50,28.3
199,17,1990,50,28.3
200,17,1990,50,28.3
201,17,1990,50,28.3
202,17,1990,50,28.3
203,17,1990,50,28.3
204,17,1990,50,28.3
205,18,1990,53,28.3
206,18,1990,53,28.3
207,18,1990,53,28.3
208,18,1990,53,28.3
209,18,1990,53,28.3
210,18,1990,53,28.3
211,18,1990,53,28.3
212,18,1990,53,28.3
213,18,1990,53,28.3
214,18,1990,53,28.3
215,18,1990,53,28.3
216,18,1990,53,28.3
217,19,1990,56,28.4
218,19,1990,56,28.4
219,19,1990,56,28.4
220,19,1990,56,28.4
221,19,1990,56,28.4
222,19,1990,56,28.4
