threeday_yrmo,threeday_yr,year,dayofyear,vartemp2_C_0-4m
1,1,2003,2,7.7
2,1,2003,2,7.7
3,1,2003,2,7.7
4,1,2003,2,7.7
5,1,2003,2,7.7
6,1,2003,2,7.7
7,1,2003,2,7.7
8,1,2003,2,7.7
9,1,2003,2,7.7
10,1,2003,2,7.7
11,1,2003,2,7.7
12,1,2003,2,7.7
13,2,2003,5,7.8
14,2,2003,5,7.8
15,2,2003,5,7.8
16,2,2003,5,7.8
17,2,2003,5,7.8
18,2,2003,5,7.8
19,2,2003,5,7.8
20,2,2003,5,7.8
21,2,2003,5,7.8
22,2,2003,5,7.8
23,2,2003,5,7.8
24,2,2003,5,7.8
25,3,2003,8,7.7
26,3,2003,8,7.7
27,3,2003,8,7.7
28,3,2003,8,7.7
29,3,2003,8,7.7
30,3,2003,8,7.7
31,3,2003,8,7.7
32,3,2003,8,7.7
33,3,2003,8,7.7
34,3,2003,8,7.7
35,3,2003,8,7.7
36,3,2003,8,7.7
37,4,2003,11,7.6
38,4,2003,11,7.6
39,4,2003,11,7.6
40,4,2003,11,7.6
41,4,2003,11,7.6
42,4,2003,11,7.6
43,4,2003,11,7.6
44,4,2003,11,7.6
45,4,2003,11,7.6
46,4,2003,11,7.6
47,4,2003,11,7.6
48,4,2003,11,7.6
49,5,2003,14,7.5
50,5,2003,14,7.5
51,5,2003,14,7.5
52,5,2003,14,7.5
53,5,2003,14,7.5
54,5,2003,14,7.5
55,5,2003,14,7.5
56,5,2003,14,7.5
57,5,2003,14,7.5
58,5,2003,14,7.5
59,5,2003,14,7.5
60,5,2003,14,7.5
61,6,2003,17,7.5
62,6,2003,17,7.5
63,6,2003,17,7.5
64,6,2003,17,7.5
65,6,2003,17,7.5
66,6,2003,17,7.5
67,6,2003,17,7.5
68,6,2003,17,7.5
69,6,2003,17,7.5
70,6,2003,17,7.5
71,6,2003,17,7.5
72,6,2003,17,7.5
73,7,2003,20,7.6
74,7,2003,20,7.6
75,7,2003,20,7.6
76,7,2003,20,7.6
77,7,2003,20,7.6
78,7,2003,20,7.6
79,7,2003,20,7.6
80,7,2003,20,7.6
81,7,2003,20,7.6
82,7,2003,20,7.6
83,7,2003,20,7.6
84,7,2003,20,7.6
85,8,2003,23,7.6
86,8,2003,23,7.6
87,8,2003,23,7.6
88,8,2003,23,7.6
89,8,2003,23,7.6
90,8,2003,23,7.6
91,8,2003,23,7.6
92,8,2003,23,7.6
93,8,2003,23,7.6
94,8,2003,23,7.6
95,8,2003,23,7.6
96,8,2003,23,7.6
97,9,2003,26,7.7
98,9,2003,26,7.7
99,9,2003,26,7.7
100,9,2003,26,7.7
101,9,2003,26,7.7
102,9,2003,26,7.7
103,9,2003,26,7.7
104,9,2003,26,7.7
105,9,2003,26,7.7
106,9,2003,26,7.7
107,9,2003,26,7.7
108,9,2003,26,7.7
109,10,2003,29,7.7
110,10,2003,29,7.7
111,10,2003,29,7.7
112,10,2003,29,7.7
113,10,2003,29,7.7
114,10,2003,29,7.7
115,10,2003,29,7.7
116,10,2003,29,7.7
117,10,2003,29,7.7
118,10,2003,29,7.7
119,10,2003,29,7.7
120,10,2003,29,7.7
121,11,2003,32,7.8
122,11,2003,32,7.8
123,11,2003,32,7.8
124,11,2003,32,7.8
125,11,2003,32,7.8
126,11,2003,32,7.8
127,11,2003,32,7.8
128,11,2003,32,7.8
129,11,2003,32,7.8
130,11,2003,32,7.8
131,11,2003,32,7.8
132,11,2003,32,7.8
133,12,2003,35,7.7
134,12,2003,35,7.7
135,12,2003,35,7.7
136,12,2003,35,7.7
137,12,2003,35,7.7
138,12,2003,35,7.7
139,12,2003,35,7.7
140,12,2003,35,7.7
141,12,2003,35,7.7
142,12,2003,35,7.7
143,12,2003,35,7.7
144,12,2003,35,7.7
145,13,2003,38,7.7
146,13,2003,38,7.7
147,13,2003,38,7.7
148,13,2003,38,7.7
149,13,2003,38,7.7
150,13,2003,38,7.7
151,13,2003,38,7.7
152,13,2003,38,7.7
153,13,2003,38,7.7
154,13,2003,38,7.7
155,13,2003,38,7.7
156,13,2003,38,7.7
157,14,2003,41,7.6
158,14,2003,41,7.6
159,14,2003,41,7.6
160,14,2003,41,7.6
161,14,2003,41,7.6
162,14,2003,41,7.6
163,14,2003,41,7.6
164,14,2003,41,7.6
165,14,2003,41,7.6
166,14,2003,41,7.6
167,14,2003,41,7.6
168,14,2003,41,7.6
169,15,2003,44,7.6
170,15,2003,44,7.6
171,15,2003,44,7.6
172,15,2003,44,7.6
173,15,2003,44,7.6
174,15,2003,44,7.6
175,15,2003,44,7.6
176,15,2003,44,7.6
177,15,2003,44,7.6
178,15,2003,44,7.6
179,15,2003,44,7.6
180,15,2003,44,7.6
181,16,2003,47,7.6
182,16,2003,47,7.6
183,16,2003,47,7.6
184,16,2003,47,7.6
185,16,2003,47,7.6
186,16,2003,47,7.6
187,16,2003,47,7.6
188,16,2003,47,7.6
189,16,2003,47,7.6
190,16,2003,47,7.6
191,16,2003,47,7.6
192,16,2003,47,7.6
193,17,2003,50,7.7
194,17,2003,50,7.7
195,17,2003,50,7.7
196,17,2003,50,7.7
197,17,2003,50,7.7
198,17,2003,50,7.7
199,17,2003,50,7.7
200,17,2003,50,7.7
201,17,2003,50,7.7
202,17,2003,50,7.7
203,17,2003,50,7.7
204,17,2003,50,7.7
205,18,2003,53,7.8
206,18,2003,53,7.8
207,18,2003,53,7.8
208,18,2003,53,7.8
209,18,2003,53,7.8
210,18,2003,53,7.8
211,18,2003,53,7.8
212,18,2003,53,7.8
213,18,2003,53,7.8
214,18,2003,53,7.8
215,18,2003,53,7.8
216,18,2003,53,7.8
217,19,2003,56,7.6
218,19,2003,56,7.6
219,19,2003,56,7.6
220,19,2003,56,7.6
221,19,2003,56,7.6
222,19,2003,56,7.6
223,19,2003,56,7.6
224,19,2003,56,7.6
225,19,2003,56,7.6
226,19,2003,56,7.6
227,19,2003,56,7.6
228,19,2003,56,7.6
229,20,2003,59,7.7
230,20,2003,59,7.7
231,20,2003,59,7.7
232,20,2003,59,7.7
233,20,2003,59,7.7
234,20,2003,59,7.7
235,20,2003,59,7.7
236,20,2003,59,7.7
237,20,2003,59,7.7
238,20,2003,59,7.7
239,20,2003,59,7.7
240,20,2003,59,7.7
241,21,2003,62,7.8
242,21,2003,62,7.8
243,21,2003,62,7.8
244,21,2003,62,7.8
245,21,2003,62,7.8
246,21,2003,62,7.8
247,21,2003,62,7.8
248,21,2003,62,7.8
249,21,2003,62,7.8
250,21,2003,62,7.8
251,21,2003,62,7.8
252,21,2003,62,7.8
253,22,2003,65,7.8
254,22,2003,65,7.8
255,22,2003,65,7.8
256,22,2003,65,7.8
257,22,2003,65,7.8
258,22,2003,65,7.8
259,22,2003,65,7.8
260,22,2003,65,7.8
261,22,2003,65,7.8
262,22,2003,65,7.8
263,22,2003,65,7.8
264,22,2003,65,7.8
265,23,2003,68,7.7
266,23,2003,68,7.7
267,23,2003,68,7.7
268,23,2003,68,7.7
269,23,2003,68,7.7
270,23,2003,68,7.7
271,23,2003,68,7.7
272,23,2003,68,7.7
273,23,2003,68,7.7
274,23,2003,68,7.7
275,23,2003,68,7.7
276,23,2003,68,7.7
277,24,2003,71,7.8
278,24,2003,71,7.8
279,24,2003,71,7.8
280,24,2003,71,7.8
281,24,2003,71,7.8
282,24,2003,71,7.8
283,24,2003,71,7.8
284,24,2003,71,7.8
285,24,2003,71,7.8
286,24,2003,71,7.8
287,24,2003,71,7.8
288,24,2003,71,7.8
289,25,2003,74,8.0
290,25,2003,74,8.0
291,25,2003,74,8.0
292,25,2003,74,8.0
293,25,2003,74,8.0
294,25,2003,74,8.0
295,25,2003,74,8.0
296,25,2003,74,8.0
297,25,2003,74,8.0
298,25,2003,74,8.0
299,25,2003,74,8.0
300,25,2003,74,8.0
301,26,2003,77,8.1
302,26,2003,77,8.1
303,26,2003,77,8.1
304,26,2003,77,8.1
305,26,2003,77,8.1
306,26,2003,77,8.1
307,26,2003,77,8.1
308,26,2003,77,8.1
309,26,2003,77,8.1
310,26,2003,77,8.1
311,26,2003,77,8.1
312,26,2003,77,8.1
313,27,2003,80,8.1
314,27,2003,80,8.1
315,27,2003,80,8.1
316,27,2003,80,8.1
317,27,2003,80,8.1
318,27,2003,80,8.1
319,27,2003,80,8.1
320,27,2003,80,8.1
321,27,2003,80,8.1
322,27,2003,80,8.1
323,27,2003,80,8.1
324,27,2003,80,8.1
325,28,2003,83,8.2
326,28,2003,83,8.2
327,28,2003,83,8.2
328,28,2003,83,8.2
329,28,2003,83,8.2
330,28,2003,83,8.2
331,28,2003,83,8.2
332,28,2003,83,8.2
333,28,2003,83,8.2
334,28,2003,83,8.2
335,28,2003,83,8.2
336,28,2003,83,8.2
337,29,2003,86,8.3
338,29,2003,86,8.3
339,29,2003,86,8.3
340,29,2003,86,8.3
341,29,2003,86,8.3
342,29,2003,86,8.3
343,29,2003,86,8.3
344,29,2003,86,8.3
345,29,2003,86,8.3
346,29,2003,86,8.3
347,29,2003,86,8.3
348,29,2003,86,8.3
349,30,2003,89,8.4
350,30,2003,89,8.4
351,30,2003,89,8.4
352,30,2003,89,8.4
353,30,2003,89,8.4
354,30,2003,89,8.4
355,30,2003,89,8.4
356,30,2003,89,8.4
357,30,2003,89,8.4
358,30,2003,89,8.4
359,30,2003,89,8.4
360,30,2003,89,8.4
361,31,2003,92,8.5
362,31,2003,92,8.5
363,31,2003,92,8.5
364,31,2003,92,8.5
365,31,2003,92,8.5
366,31,2003,92,8.5
367,31,2003,92,8.5
368,31,2003,92,8.5
369,31,2003,92,8.5
370,31,2003,92,8.5
371,31,2003,92,8.5
372,31,2003,92,8.5
373,32,2003,95,8.6
374,32,2003,95,8.6
375,32,2003,95,8.6
376,32,2003,95,8.6
377,32,2003,95,8.6
378,32,2003,95,8.6
379,32,2003,95,8.6
380,32,2003,95,8.6
381,32,2003,95,8.6
382,32,2003,95,8.6
383,32,2003,95,8.6
384,32,2003,95,8.6
385,33,2003,98,8.6
386,33,2003,98,8.6
387,33,2003,98,8.6
388,33,2003,98,8.6
389,33,2003,98,8.6
390,33,2003,98,8.6
391,33,2003,98,8.6
392,33,2003,98,8.6
393,33,2003,98,8.6
394,33,2003,98,8.6
395,33,2003,98,8.6
396,33,2003,98,8.6
397,34,2003,101,8.7
398,34,2003,101,8.7
399,34,2003,101,8.7
400,34,2003,101,8.7
401,34,2003,101,8.7
402,34,2003,101,8.7
403,34,2003,101,8.7
404,34,2003,101,8.7
405,34,2003,101,8.7
406,34,2003,101,8.7
407,34,2003,101,8.7
408,34,2003,101,8.7
409,35,2003,104,8.8
410,35,2003,104,8.8
411,35,2003,104,8.8
412,35,2003,104,8.8
413,35,2003,104,8.8
414,35,2003,104,8.8
415,35,2003,104,8.8
416,35,2003,104,8.8
417,35,2003,104,8.8
418,35,2003,104,8.8
419,35,2003,104,8.8
420,35,2003,104,8.8
421,36,2003,107,9.0
422,36,2003,107,9.0
423,36,2003,107,9.0
424,36,2003,107,9.0
425,36,2003,107,9.0
426,36,2003,107,9.0
427,36,2003,107,9.0
428,36,2003,107,9.0
429,36,2003,107,9.0
430,36,2003,107,9.0
431,36,2003,107,9.0
432,36,2003,107,9.0
433,37,2003,110,9.0
434,37,2003,110,9.0
435,37,2003,110,9.0
436,37,2003,110,9.0
437,37,2003,110,9.0
438,37,2003,110,9.0
439,37,2003,110,9.0
440,37,2003,110,9.0
441,37,2003,110,9.0
442,37,2003,110,9.0
443,37,2003,110,9.0
444,37,2003,110,9.0
445,38,2003,113,9.2
446,38,2003,113,9.2
447,38,2003,113,9.2
448,38,2003,113,9.2
449,38,2003,113,9.2
450,38,2003,113,9.2
451,38,2003,113,9.2
452,38,2003,113,9.2
453,38,2003,113,9.2
454,38,2003,113,9.2
455,38,2003,113,9.2
456,38,2003,113,9.2
457,39,2003,116,9.3
458,39,2003,116,9.3
459,39,2003,116,9.3
460,39,2003,116,9.3
461,39,2003,116,9.3
462,39,2003,116,9.3
463,39,2003,116,9.3
464,39,2003,116,9.3
465,39,2003,116,9.3
466,39,2003,116,9.3
467,39,2003,116,9.3
468,39,2003,116,9.3
469,40,2003,119,9.7
470,40,2003,119,9.7
471,40,2003,119,9.7
472,40,2003,119,9.7
473,40,2003,119,9.7
474,40,2003,119,9.7
475,40,2003,119,9.7
476,40,2003,119,9.7
477,40,2003,119,9.7
478,40,2003,119,9.7
479,40,2003,119,9.7
480,40,2003,119,9.7
481,41,2003,122,10.1
482,41,2003,122,10.1
483,41,2003,122,10.1
484,41,2003,122,10.1
485,41,2003,122,10.1
486,41,2003,122,10.1
487,41,2003,122,10.1
488,41,2003,122,10.1
489,41,2003,122,10.1
490,41,2003,122,10.1
491,41,2003,122,10.1
492,41,2003,122,10.1
493,42,2003,125,10.3
494,42,2003,125,10.3
495,42,2003,125,10.3
496,42,2003,125,10.3
497,42,2003,125,10.3
498,42,2003,125,10.3
499,42,2003,125,10.3
500,42,2003,125,10.3
501,42,2003,125,10.3
502,42,2003,125,10.3
503,42,2003,125,10.3
504,42,2003,125,10.3
505,43,2003,128,10.4
506,43,2003,128,10.4
507,43,2003,128,10.4
508,43,2003,128,10.4
509,43,2003,128,10.4
510,43,2003,128,10.4
511,43,2003,128,10.4
512,43,2003,128,10.4
513,43,2003,128,10.4
514,43,2003,128,10.4
515,43,2003,128,10.4
516,43,2003,128,10.4
517,44,2003,131,10.6
518,44,2003,131,10.6
519,44,2003,131,10.6
520,44,2003,131,10.6
521,44,2003,131,10.6
522,44,2003,131,10.6
523,44,2003,131,10.6
524,44,2003,131,10.6
525,44,2003,131,10.6
526,44,2003,131,10.6
527,44,2003,131,10.6
528,44,2003,131,10.6
529,45,2003,134,11.0
530,45,2003,134,11.0
531,45,2003,134,11.0
532,45,2003,134,11.0
533,45,2003,134,11.0
534,45,2003,134,11.0
535,45,2003,134,11.0
536,45,2003,134,11.0
537,45,2003,134,11.0
538,45,2003,134,11.0
539,45,2003,134,11.0
540,45,2003,134,11.0
541,46,2003,137,10.9
542,46,2003,137,10.9
543,46,2003,137,10.9
544,46,2003,137,10.9
545,46,2003,137,10.9
546,46,2003,137,10.9
547,46,2003,137,10.9
548,46,2003,137,10.9
549,46,2003,137,10.9
550,46,2003,137,10.9
551,46,2003,137,10.9
552,46,2003,137,10.9
553,47,2003,140,10.9
554,47,2003,140,10.9
555,47,2003,140,10.9
556,47,2003,140,10.9
557,47,2003,140,10.9
558,47,2003,140,10.9
559,47,2003,140,10.9
560,47,2003,140,10.9
561,47,2003,140,10.9
562,47,2003,140,10.9
563,47,2003,140,10.9
564,47,2003,140,10.9
565,48,2003,143,11.0
566,48,2003,143,11.0
567,48,2003,143,11.0
568,48,2003,143,11.0
569,48,2003,143,11.0
570,48,2003,143,11.0
571,48,2003,143,11.0
572,48,2003,143,11.0
573,48,2003,143,11.0
574,48,2003,143,11.0
575,48,2003,143,11.0
576,48,2003,143,11.0
577,49,2003,146,11.1
578,49,2003,146,11.1
579,49,2003,146,11.1
580,49,2003,146,11.1
581,49,2003,146,11.1
582,49,2003,146,11.1
583,49,2003,146,11.1
584,49,2003,146,11.1
585,49,2003,146,11.1
586,49,2003,146,11.1
587,49,2003,146,11.1
588,49,2003,146,11.1
589,50,2003,149,11.4
590,50,2003,149,11.4
591,50,2003,149,11.4
592,50,2003,149,11.4
593,50,2003,149,11.4
594,50,2003,149,11.4
595,50,2003,149,11.4
596,50,2003,149,11.4
597,50,2003,149,11.4
598,50,2003,149,11.4
599,50,2003,149,11.4
600,50,2003,149,11.4
601,51,2003,152,11.6
602,51,2003,152,11.6
603,51,2003,152,11.6
604,51,2003,152,11.6
605,51,2003,152,11.6
606,51,2003,152,11.6
607,51,2003,152,11.6
608,51,2003,152,11.6
609,51,2003,152,11.6
610,51,2003,152,11.6
611,51,2003,152,11.6
612,51,2003,152,11.6
613,52,2003,155,11.8
614,52,2003,155,11.8
615,52,2003,155,11.8
616,52,2003,155,11.8
617,52,2003,155,11.8
618,52,2003,155,11.8
619,52,2003,155,11.8
620,52,2003,155,11.8
621,52,2003,155,11.8
622,52,2003,155,11.8
623,52,2003,155,11.8
624,52,2003,155,11.8
625,53,2003,158,12.2
626,53,2003,158,12.2
627,53,2003,158,12.2
628,53,2003,158,12.2
629,53,2003,158,12.2
630,53,2003,158,12.2
631,53,2003,158,12.2
632,53,2003,158,12.2
633,53,2003,158,12.2
634,53,2003,158,12.2
635,53,2003,158,12.2
636,53,2003,158,12.2
637,54,2003,161,12.6
638,54,2003,161,12.6
639,54,2003,161,12.6
640,54,2003,161,12.6
641,54,2003,161,12.6
642,54,2003,161,12.6
643,54,2003,161,12.6
644,54,2003,161,12.6
645,54,2003,161,12.6
646,54,2003,161,12.6
647,54,2003,161,12.6
648,54,2003,161,12.6
649,55,2003,164,12.9
650,55,2003,164,12.9
651,55,2003,164,12.9
652,55,2003,164,12.9
653,55,2003,164,12.9
654,55,2003,164,12.9
655,55,2003,164,12.9
656,55,2003,164,12.9
657,55,2003,164,12.9
658,55,2003,164,12.9
659,55,2003,164,12.9
660,55,2003,164,12.9
661,56,2003,167,12.5
662,56,2003,167,12.5
663,56,2003,167,12.5
664,56,2003,167,12.5
665,56,2003,167,12.5
666,56,2003,167,12.5
667,56,2003,167,12.5
668,56,2003,167,12.5
669,56,2003,167,12.5
670,56,2003,167,12.5
671,56,2003,167,12.5
672,56,2003,167,12.5
673,57,2003,170,12.7
674,57,2003,170,12.7
675,57,2003,170,12.7
676,57,2003,170,12.7
677,57,2003,170,12.7
678,57,2003,170,12.7
679,57,2003,170,12.7
680,57,2003,170,12.7
681,57,2003,170,12.7
