threeday_yrmo,threeday_yr,year,dayofyear,vartemp3_C_30-40mAvg
1,1,2003,2,3.5
2,1,2003,2,3.5
3,1,2003,2,3.5
4,1,2003,2,3.5
5,1,2003,2,3.5
6,1,2003,2,3.5
7,1,2003,2,3.5
8,1,2003,2,3.5
9,1,2003,2,3.5
10,1,2003,2,3.5
11,1,2003,2,3.5
12,1,2003,2,3.5
13,2,2003,5,3.5
14,2,2003,5,3.5
15,2,2003,5,3.5
16,2,2003,5,3.5
17,2,2003,5,3.5
18,2,2003,5,3.5
19,2,2003,5,3.5
20,2,2003,5,3.5
21,2,2003,5,3.5
22,2,2003,5,3.5
23,2,2003,5,3.5
24,2,2003,5,3.5
25,3,2003,8,3.5
26,3,2003,8,3.5
27,3,2003,8,3.5
28,3,2003,8,3.5
29,3,2003,8,3.5
30,3,2003,8,3.5
31,3,2003,8,3.5
32,3,2003,8,3.5
33,3,2003,8,3.5
34,3,2003,8,3.5
35,3,2003,8,3.5
36,3,2003,8,3.5
37,4,2003,11,3.5
38,4,2003,11,3.5
39,4,2003,11,3.5
40,4,2003,11,3.5
41,4,2003,11,3.5
42,4,2003,11,3.5
43,4,2003,11,3.5
44,4,2003,11,3.5
45,4,2003,11,3.5
46,4,2003,11,3.5
47,4,2003,11,3.5
48,4,2003,11,3.5
49,5,2003,14,3.5
50,5,2003,14,3.5
51,5,2003,14,3.5
52,5,2003,14,3.5
53,5,2003,14,3.5
54,5,2003,14,3.5
55,5,2003,14,3.5
56,5,2003,14,3.5
57,5,2003,14,3.5
58,5,2003,14,3.5
59,5,2003,14,3.5
60,5,2003,14,3.5
61,6,2003,17,3.5
62,6,2003,17,3.5
63,6,2003,17,3.5
64,6,2003,17,3.5
65,6,2003,17,3.5
66,6,2003,17,3.5
67,6,2003,17,3.5
68,6,2003,17,3.5
69,6,2003,17,3.5
70,6,2003,17,3.5
71,6,2003,17,3.5
72,6,2003,17,3.5
73,7,2003,20,3.5
74,7,2003,20,3.5
75,7,2003,20,3.5
76,7,2003,20,3.5
77,7,2003,20,3.5
78,7,2003,20,3.5
79,7,2003,20,3.5
80,7,2003,20,3.5
81,7,2003,20,3.5
82,7,2003,20,3.5
83,7,2003,20,3.5
84,7,2003,20,3.5
85,8,2003,23,3.5
86,8,2003,23,3.5
87,8,2003,23,3.5
88,8,2003,23,3.5
89,8,2003,23,3.5
90,8,2003,23,3.5
91,8,2003,23,3.5
92,8,2003,23,3.5
93,8,2003,23,3.5
94,8,2003,23,3.5
95,8,2003,23,3.5
96,8,2003,23,3.5
97,9,2003,26,3.5
98,9,2003,26,3.5
99,9,2003,26,3.5
100,9,2003,26,3.5
101,9,2003,26,3.5
102,9,2003,26,3.5
103,9,2003,26,3.5
104,9,2003,26,3.5
105,9,2003,26,3.5
106,9,2003,26,3.5
107,9,2003,26,3.5
108,9,2003,26,3.5
109,10,2003,29,3.5
110,10,2003,29,3.5
111,10,2003,29,3.5
112,10,2003,29,3.5
113,10,2003,29,3.5
114,10,2003,29,3.5
115,10,2003,29,3.5
116,10,2003,29,3.5
117,10,2003,29,3.5
118,10,2003,29,3.5
119,10,2003,29,3.5
120,10,2003,29,3.5
121,11,2003,32,3.5
122,11,2003,32,3.5
123,11,2003,32,3.5
124,11,2003,32,3.5
125,11,2003,32,3.5
126,11,2003,32,3.5
127,11,2003,32,3.5
128,11,2003,32,3.5
129,11,2003,32,3.5
130,11,2003,32,3.5
131,11,2003,32,3.5
132,11,2003,32,3.5
133,12,2003,35,3.5
134,12,2003,35,3.5
135,12,2003,35,3.5
136,12,2003,35,3.5
137,12,2003,35,3.5
138,12,2003,35,3.5
139,12,2003,35,3.5
140,12,2003,35,3.5
141,12,2003,35,3.5
142,12,2003,35,3.5
143,12,2003,35,3.5
144,12,2003,35,3.5
145,13,2003,38,3.5
146,13,2003,38,3.5
147,13,2003,38,3.5
148,13,2003,38,3.5
149,13,2003,38,3.5
150,13,2003,38,3.5
151,13,2003,38,3.5
152,13,2003,38,3.5
153,13,2003,38,3.5
154,13,2003,38,3.5
155,13,2003,38,3.5
156,13,2003,38,3.5
157,14,2003,41,3.5
158,14,2003,41,3.5
159,14,2003,41,3.5
160,14,2003,41,3.5
161,14,2003,41,3.5
162,14,2003,41,3.5
163,14,2003,41,3.5
164,14,2003,41,3.5
165,14,2003,41,3.5
166,14,2003,41,3.5
167,14,2003,41,3.5
168,14,2003,41,3.5
169,15,2003,44,3.5
170,15,2003,44,3.5
171,15,2003,44,3.5
172,15,2003,44,3.5
173,15,2003,44,3.5
174,15,2003,44,3.5
175,15,2003,44,3.5
176,15,2003,44,3.5
177,15,2003,44,3.5
178,15,2003,44,3.5
179,15,2003,44,3.5
180,15,2003,44,3.5
181,16,2003,47,3.5
182,16,2003,47,3.5
183,16,2003,47,3.5
184,16,2003,47,3.5
185,16,2003,47,3.5
186,16,2003,47,3.5
187,16,2003,47,3.5
188,16,2003,47,3.5
189,16,2003,47,3.5
190,16,2003,47,3.5
191,16,2003,47,3.5
192,16,2003,47,3.5
193,17,2003,50,3.5
194,17,2003,50,3.5
195,17,2003,50,3.5
196,17,2003,50,3.5
197,17,2003,50,3.5
198,17,2003,50,3.5
199,17,2003,50,3.5
200,17,2003,50,3.5
201,17,2003,50,3.5
202,17,2003,50,3.5
203,17,2003,50,3.5
204,17,2003,50,3.5
205,18,2003,53,3.5
206,18,2003,53,3.5
207,18,2003,53,3.5
208,18,2003,53,3.5
209,18,2003,53,3.5
210,18,2003,53,3.5
211,18,2003,53,3.5
212,18,2003,53,3.5
213,18,2003,53,3.5
214,18,2003,53,3.5
215,18,2003,53,3.5
216,18,2003,53,3.5
217,19,2003,56,3.5
218,19,2003,56,3.5
219,19,2003,56,3.5
220,19,2003,56,3.5
221,19,2003,56,3.5
222,19,2003,56,3.5
223,19,2003,56,3.5
224,19,2003,56,3.5
225,19,2003,56,3.5
226,19,2003,56,3.5
227,19,2003,56,3.5
228,19,2003,56,3.5
229,20,2003,59,3.5
230,20,2003,59,3.5
231,20,2003,59,3.5
232,20,2003,59,3.5
233,20,2003,59,3.5
234,20,2003,59,3.5
235,20,2003,59,3.5
236,20,2003,59,3.5
237,20,2003,59,3.5
238,20,2003,59,3.5
239,20,2003,59,3.5
240,20,2003,59,3.5
241,21,2003,62,3.5
242,21,2003,62,3.5
243,21,2003,62,3.5
244,21,2003,62,3.5
245,21,2003,62,3.5
246,21,2003,62,3.5
247,21,2003,62,3.5
248,21,2003,62,3.5
249,21,2003,62,3.5
250,21,2003,62,3.5
251,21,2003,62,3.5
252,21,2003,62,3.5
253,22,2003,65,3.5
254,22,2003,65,3.5
255,22,2003,65,3.5
256,22,2003,65,3.5
257,22,2003,65,3.5
258,22,2003,65,3.5
259,22,2003,65,3.5
260,22,2003,65,3.5
261,22,2003,65,3.5
262,22,2003,65,3.5
263,22,2003,65,3.5
264,22,2003,65,3.5
265,23,2003,68,3.5
266,23,2003,68,3.5
267,23,2003,68,3.5
268,23,2003,68,3.5
269,23,2003,68,3.5
270,23,2003,68,3.5
271,23,2003,68,3.5
272,23,2003,68,3.5
273,23,2003,68,3.5
274,23,2003,68,3.5
275,23,2003,68,3.5
276,23,2003,68,3.5
277,24,2003,71,3.5
278,24,2003,71,3.5
279,24,2003,71,3.5
280,24,2003,71,3.5
281,24,2003,71,3.5
282,24,2003,71,3.5
283,24,2003,71,3.5
284,24,2003,71,3.5
285,24,2003,71,3.5
286,24,2003,71,3.5
287,24,2003,71,3.5
288,24,2003,71,3.5
289,25,2003,74,3.5
290,25,2003,74,3.5
291,25,2003,74,3.5
292,25,2003,74,3.5
293,25,2003,74,3.5
294,25,2003,74,3.5
295,25,2003,74,3.5
296,25,2003,74,3.5
297,25,2003,74,3.5
298,25,2003,74,3.5
299,25,2003,74,3.5
300,25,2003,74,3.5
301,26,2003,77,3.5
302,26,2003,77,3.5
303,26,2003,77,3.5
304,26,2003,77,3.5
305,26,2003,77,3.5
306,26,2003,77,3.5
307,26,2003,77,3.5
308,26,2003,77,3.5
309,26,2003,77,3.5
310,26,2003,77,3.5
311,26,2003,77,3.5
312,26,2003,77,3.5
313,27,2003,80,3.5
314,27,2003,80,3.5
315,27,2003,80,3.5
316,27,2003,80,3.5
317,27,2003,80,3.5
318,27,2003,80,3.5
319,27,2003,80,3.5
320,27,2003,80,3.5
321,27,2003,80,3.5
322,27,2003,80,3.5
323,27,2003,80,3.5
324,27,2003,80,3.5
325,28,2003,83,3.5
326,28,2003,83,3.5
327,28,2003,83,3.5
328,28,2003,83,3.5
329,28,2003,83,3.5
330,28,2003,83,3.5
331,28,2003,83,3.5
332,28,2003,83,3.5
333,28,2003,83,3.5
334,28,2003,83,3.5
335,28,2003,83,3.5
336,28,2003,83,3.5
337,29,2003,86,3.5
338,29,2003,86,3.5
339,29,2003,86,3.5
340,29,2003,86,3.5
341,29,2003,86,3.5
342,29,2003,86,3.5
343,29,2003,86,3.5
344,29,2003,86,3.5
345,29,2003,86,3.5
346,29,2003,86,3.5
347,29,2003,86,3.5
348,29,2003,86,3.5
349,30,2003,89,3.5
350,30,2003,89,3.5
351,30,2003,89,3.5
352,30,2003,89,3.5
353,30,2003,89,3.5
354,30,2003,89,3.5
355,30,2003,89,3.5
356,30,2003,89,3.5
357,30,2003,89,3.5
358,30,2003,89,3.5
359,30,2003,89,3.5
360,30,2003,89,3.5
361,31,2003,92,3.5
362,31,2003,92,3.5
363,31,2003,92,3.5
364,31,2003,92,3.5
365,31,2003,92,3.5
366,31,2003,92,3.5
367,31,2003,92,3.5
368,31,2003,92,3.5
369,31,2003,92,3.5
370,31,2003,92,3.5
371,31,2003,92,3.5
372,31,2003,92,3.5
373,32,2003,95,3.5
374,32,2003,95,3.5
375,32,2003,95,3.5
376,32,2003,95,3.5
377,32,2003,95,3.5
378,32,2003,95,3.5
379,32,2003,95,3.5
380,32,2003,95,3.5
381,32,2003,95,3.5
382,32,2003,95,3.5
383,32,2003,95,3.5
384,32,2003,95,3.5
385,33,2003,98,3.5
386,33,2003,98,3.5
387,33,2003,98,3.5
388,33,2003,98,3.5
389,33,2003,98,3.5
390,33,2003,98,3.5
391,33,2003,98,3.5
392,33,2003,98,3.5
393,33,2003,98,3.5
394,33,2003,98,3.5
395,33,2003,98,3.5
396,33,2003,98,3.5
397,34,2003,101,3.5
398,34,2003,101,3.5
399,34,2003,101,3.5
400,34,2003,101,3.5
401,34,2003,101,3.5
402,34,2003,101,3.5
403,34,2003,101,3.5
404,34,2003,101,3.5
405,34,2003,101,3.5
406,34,2003,101,3.5
407,34,2003,101,3.5
408,34,2003,101,3.5
409,35,2003,104,3.5
410,35,2003,104,3.5
411,35,2003,104,3.5
412,35,2003,104,3.5
413,35,2003,104,3.5
414,35,2003,104,3.5
415,35,2003,104,3.5
416,35,2003,104,3.5
417,35,2003,104,3.5
418,35,2003,104,3.5
419,35,2003,104,3.5
420,35,2003,104,3.5
421,36,2003,107,3.5
422,36,2003,107,3.5
423,36,2003,107,3.5
424,36,2003,107,3.5
425,36,2003,107,3.5
426,36,2003,107,3.5
427,36,2003,107,3.5
428,36,2003,107,3.5
429,36,2003,107,3.5
430,36,2003,107,3.5
431,36,2003,107,3.5
432,36,2003,107,3.5
433,37,2003,110,3.5
434,37,2003,110,3.5
435,37,2003,110,3.5
436,37,2003,110,3.5
437,37,2003,110,3.5
438,37,2003,110,3.5
439,37,2003,110,3.5
440,37,2003,110,3.5
441,37,2003,110,3.5
442,37,2003,110,3.5
443,37,2003,110,3.5
444,37,2003,110,3.5
445,38,2003,113,3.5
446,38,2003,113,3.5
447,38,2003,113,3.5
448,38,2003,113,3.5
449,38,2003,113,3.5
450,38,2003,113,3.5
451,38,2003,113,3.5
452,38,2003,113,3.5
453,38,2003,113,3.5
454,38,2003,113,3.5
455,38,2003,113,3.5
456,38,2003,113,3.5
457,39,2003,116,3.5
458,39,2003,116,3.5
459,39,2003,116,3.5
460,39,2003,116,3.5
461,39,2003,116,3.5
462,39,2003,116,3.5
463,39,2003,116,3.5
464,39,2003,116,3.5
465,39,2003,116,3.5
466,39,2003,116,3.5
467,39,2003,116,3.5
468,39,2003,116,3.5
469,40,2003,119,3.5
470,40,2003,119,3.5
471,40,2003,119,3.5
472,40,2003,119,3.5
473,40,2003,119,3.5
474,40,2003,119,3.5
475,40,2003,119,3.5
476,40,2003,119,3.5
477,40,2003,119,3.5
478,40,2003,119,3.5
479,40,2003,119,3.5
480,40,2003,119,3.5
481,41,2003,122,3.5
482,41,2003,122,3.5
483,41,2003,122,3.5
