threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
1,1,2015,2,-0.0
2,1,2015,2,-0.0
3,1,2015,2,-0.0
4,1,2015,2,-0.0
5,1,2015,2,-0.0
6,1,2015,2,-0.0
7,1,2015,2,-0.0
8,1,2015,2,-0.0
9,1,2015,2,-0.0
10,1,2015,2,-0.0
11,1,2015,2,-0.0
12,1,2015,2,-0.0
13,2,2015,5,-0.002
14,2,2015,5,-0.002
15,2,2015,5,-0.002
16,2,2015,5,-0.002
17,2,2015,5,-0.002
18,2,2015,5,-0.002
19,2,2015,5,-0.002
20,2,2015,5,-0.002
21,2,2015,5,-0.002
22,2,2015,5,-0.002
23,2,2015,5,-0.002
24,2,2015,5,-0.002
25,3,2015,8,-0.005
26,3,2015,8,-0.005
27,3,2015,8,-0.005
28,3,2015,8,-0.005
29,3,2015,8,-0.005
30,3,2015,8,-0.005
31,3,2015,8,-0.005
32,3,2015,8,-0.005
33,3,2015,8,-0.005
34,3,2015,8,-0.005
35,3,2015,8,-0.005
36,3,2015,8,-0.005
37,4,2015,11,-0.005
38,4,2015,11,-0.005
39,4,2015,11,-0.005
40,4,2015,11,-0.005
41,4,2015,11,-0.005
42,4,2015,11,-0.005
43,4,2015,11,-0.005
44,4,2015,11,-0.005
45,4,2015,11,-0.005
46,4,2015,11,-0.005
47,4,2015,11,-0.005
48,4,2015,11,-0.005
49,5,2015,14,-0.005
50,5,2015,14,-0.005
51,5,2015,14,-0.005
52,5,2015,14,-0.005
53,5,2015,14,-0.005
54,5,2015,14,-0.005
55,5,2015,14,-0.005
56,5,2015,14,-0.005
57,5,2015,14,-0.005
58,5,2015,14,-0.005
59,5,2015,14,-0.005
60,5,2015,14,-0.005
61,6,2015,17,-0.002
62,6,2015,17,-0.002
63,6,2015,17,-0.002
64,6,2015,17,-0.002
65,6,2015,17,-0.002
66,6,2015,17,-0.002
67,6,2015,17,-0.002
68,6,2015,17,-0.002
69,6,2015,17,-0.002
70,6,2015,17,-0.002
71,6,2015,17,-0.002
72,6,2015,17,-0.002
73,7,2015,20,-0.004
74,7,2015,20,-0.004
75,7,2015,20,-0.004
76,7,2015,20,-0.004
77,7,2015,20,-0.004
78,7,2015,20,-0.004
79,7,2015,20,-0.004
80,7,2015,20,-0.004
81,7,2015,20,-0.004
82,7,2015,20,-0.004
83,7,2015,20,-0.004
84,7,2015,20,-0.004
85,8,2015,23,-0.004
86,8,2015,23,-0.004
87,8,2015,23,-0.004
88,8,2015,23,-0.004
89,8,2015,23,-0.004
90,8,2015,23,-0.004
91,8,2015,23,-0.004
92,8,2015,23,-0.004
93,8,2015,23,-0.004
94,8,2015,23,-0.004
95,8,2015,23,-0.004
96,8,2015,23,-0.004
97,9,2015,26,-0.004
98,9,2015,26,-0.004
99,9,2015,26,-0.004
100,9,2015,26,-0.004
101,9,2015,26,-0.004
102,9,2015,26,-0.004
103,9,2015,26,-0.004
104,9,2015,26,-0.004
105,9,2015,26,-0.004
106,9,2015,26,-0.004
107,9,2015,26,-0.004
108,9,2015,26,-0.004
109,10,2015,29,-0.003
110,10,2015,29,-0.003
111,10,2015,29,-0.003
112,10,2015,29,-0.003
113,10,2015,29,-0.003
114,10,2015,29,-0.003
115,10,2015,29,-0.003
116,10,2015,29,-0.003
117,10,2015,29,-0.003
118,10,2015,29,-0.003
119,10,2015,29,-0.003
120,10,2015,29,-0.003
121,11,2015,32,-0.001
122,11,2015,32,-0.001
123,11,2015,32,-0.001
124,11,2015,32,-0.001
125,11,2015,32,-0.001
126,11,2015,32,-0.001
127,11,2015,32,-0.001
128,11,2015,32,-0.001
129,11,2015,32,-0.001
130,11,2015,32,-0.001
131,11,2015,32,-0.001
132,11,2015,32,-0.001
133,12,2015,35,-0.003
134,12,2015,35,-0.003
135,12,2015,35,-0.003
136,12,2015,35,-0.003
137,12,2015,35,-0.003
138,12,2015,35,-0.003
139,12,2015,35,-0.003
140,12,2015,35,-0.003
141,12,2015,35,-0.003
142,12,2015,35,-0.003
143,12,2015,35,-0.003
144,12,2015,35,-0.003
145,13,2015,38,-0.002
146,13,2015,38,-0.002
147,13,2015,38,-0.002
148,13,2015,38,-0.002
149,13,2015,38,-0.002
150,13,2015,38,-0.002
151,13,2015,38,-0.002
152,13,2015,38,-0.002
153,13,2015,38,-0.002
154,13,2015,38,-0.002
155,13,2015,38,-0.002
156,13,2015,38,-0.002
157,14,2015,41,-0.008
158,14,2015,41,-0.008
159,14,2015,41,-0.008
160,14,2015,41,-0.008
161,14,2015,41,-0.008
162,14,2015,41,-0.008
163,14,2015,41,-0.008
164,14,2015,41,-0.008
165,14,2015,41,-0.008
166,14,2015,41,-0.008
167,14,2015,41,-0.008
168,14,2015,41,-0.008
169,15,2015,44,-0.004
170,15,2015,44,-0.004
171,15,2015,44,-0.004
172,15,2015,44,-0.004
173,15,2015,44,-0.004
174,15,2015,44,-0.004
175,15,2015,44,-0.004
176,15,2015,44,-0.004
177,15,2015,44,-0.004
178,15,2015,44,-0.004
179,15,2015,44,-0.004
180,15,2015,44,-0.004
181,16,2015,47,-0.001
182,16,2015,47,-0.001
183,16,2015,47,-0.001
184,16,2015,47,-0.001
185,16,2015,47,-0.001
186,16,2015,47,-0.001
187,16,2015,47,-0.001
188,16,2015,47,-0.001
189,16,2015,47,-0.001
190,16,2015,47,-0.001
191,16,2015,47,-0.001
192,16,2015,47,-0.001
193,17,2015,50,-0.002
194,17,2015,50,-0.002
195,17,2015,50,-0.002
196,17,2015,50,-0.002
197,17,2015,50,-0.002
198,17,2015,50,-0.002
199,17,2015,50,-0.002
200,17,2015,50,-0.002
201,17,2015,50,-0.002
