threeday_yrmo,threeday_yr,year,dayofyear,varadvecY1_cmsec_0-10mAvg
1,1,2015,2,-0.014
2,1,2015,2,-0.014
3,1,2015,2,-0.014
4,1,2015,2,-0.014
5,1,2015,2,-0.014
6,1,2015,2,-0.014
7,1,2015,2,-0.014
8,1,2015,2,-0.014
9,1,2015,2,-0.014
10,1,2015,2,-0.014
11,1,2015,2,-0.014
12,1,2015,2,-0.014
13,2,2015,5,0.013
14,2,2015,5,0.013
15,2,2015,5,0.013
16,2,2015,5,0.013
17,2,2015,5,0.013
18,2,2015,5,0.013
19,2,2015,5,0.013
20,2,2015,5,0.013
21,2,2015,5,0.013
22,2,2015,5,0.013
23,2,2015,5,0.013
24,2,2015,5,0.013
25,3,2015,8,-0.003
26,3,2015,8,-0.003
27,3,2015,8,-0.003
28,3,2015,8,-0.003
29,3,2015,8,-0.003
30,3,2015,8,-0.003
31,3,2015,8,-0.003
32,3,2015,8,-0.003
33,3,2015,8,-0.003
34,3,2015,8,-0.003
35,3,2015,8,-0.003
36,3,2015,8,-0.003
37,4,2015,11,0.0
38,4,2015,11,0.0
39,4,2015,11,0.0
40,4,2015,11,0.0
41,4,2015,11,0.0
42,4,2015,11,0.0
43,4,2015,11,0.0
44,4,2015,11,0.0
45,4,2015,11,0.0
46,4,2015,11,0.0
47,4,2015,11,0.0
48,4,2015,11,0.0
49,5,2015,14,-0.002
50,5,2015,14,-0.002
51,5,2015,14,-0.002
52,5,2015,14,-0.002
53,5,2015,14,-0.002
54,5,2015,14,-0.002
55,5,2015,14,-0.002
56,5,2015,14,-0.002
57,5,2015,14,-0.002
58,5,2015,14,-0.002
59,5,2015,14,-0.002
60,5,2015,14,-0.002
61,6,2015,17,0.015
62,6,2015,17,0.015
63,6,2015,17,0.015
64,6,2015,17,0.015
65,6,2015,17,0.015
66,6,2015,17,0.015
67,6,2015,17,0.015
68,6,2015,17,0.015
69,6,2015,17,0.015
70,6,2015,17,0.015
71,6,2015,17,0.015
72,6,2015,17,0.015
73,7,2015,20,0.001
74,7,2015,20,0.001
75,7,2015,20,0.001
76,7,2015,20,0.001
77,7,2015,20,0.001
78,7,2015,20,0.001
79,7,2015,20,0.001
80,7,2015,20,0.001
81,7,2015,20,0.001
82,7,2015,20,0.001
83,7,2015,20,0.001
84,7,2015,20,0.001
85,8,2015,23,0.002
86,8,2015,23,0.002
87,8,2015,23,0.002
88,8,2015,23,0.002
89,8,2015,23,0.002
90,8,2015,23,0.002
91,8,2015,23,0.002
92,8,2015,23,0.002
93,8,2015,23,0.002
94,8,2015,23,0.002
95,8,2015,23,0.002
96,8,2015,23,0.002
97,9,2015,26,-0.0
98,9,2015,26,-0.0
99,9,2015,26,-0.0
100,9,2015,26,-0.0
101,9,2015,26,-0.0
102,9,2015,26,-0.0
103,9,2015,26,-0.0
104,9,2015,26,-0.0
105,9,2015,26,-0.0
106,9,2015,26,-0.0
107,9,2015,26,-0.0
108,9,2015,26,-0.0
109,10,2015,29,-0.009
110,10,2015,29,-0.009
111,10,2015,29,-0.009
112,10,2015,29,-0.009
113,10,2015,29,-0.009
114,10,2015,29,-0.009
115,10,2015,29,-0.009
116,10,2015,29,-0.009
117,10,2015,29,-0.009
118,10,2015,29,-0.009
119,10,2015,29,-0.009
120,10,2015,29,-0.009
121,11,2015,32,-0.015
122,11,2015,32,-0.015
123,11,2015,32,-0.015
124,11,2015,32,-0.015
125,11,2015,32,-0.015
126,11,2015,32,-0.015
127,11,2015,32,-0.015
128,11,2015,32,-0.015
129,11,2015,32,-0.015
130,11,2015,32,-0.015
131,11,2015,32,-0.015
132,11,2015,32,-0.015
133,12,2015,35,-0.008
134,12,2015,35,-0.008
135,12,2015,35,-0.008
136,12,2015,35,-0.008
137,12,2015,35,-0.008
138,12,2015,35,-0.008
139,12,2015,35,-0.008
140,12,2015,35,-0.008
141,12,2015,35,-0.008
142,12,2015,35,-0.008
143,12,2015,35,-0.008
144,12,2015,35,-0.008
145,13,2015,38,0.019
146,13,2015,38,0.019
147,13,2015,38,0.019
148,13,2015,38,0.019
149,13,2015,38,0.019
150,13,2015,38,0.019
151,13,2015,38,0.019
152,13,2015,38,0.019
153,13,2015,38,0.019
154,13,2015,38,0.019
155,13,2015,38,0.019
156,13,2015,38,0.019
157,14,2015,41,0.012
158,14,2015,41,0.012
159,14,2015,41,0.012
160,14,2015,41,0.012
161,14,2015,41,0.012
162,14,2015,41,0.012
163,14,2015,41,0.012
164,14,2015,41,0.012
165,14,2015,41,0.012
166,14,2015,41,0.012
167,14,2015,41,0.012
168,14,2015,41,0.012
169,15,2015,44,0.006
