threeday_yrmo,threeday_yr,year,dayofyear,vartemp3_C_30-40mAvg
1,1,2015,2,3.7
2,1,2015,2,3.7
3,1,2015,2,3.7
4,1,2015,2,3.7
5,1,2015,2,3.7
6,1,2015,2,3.7
7,1,2015,2,3.7
8,1,2015,2,3.7
9,1,2015,2,3.7
10,1,2015,2,3.7
11,1,2015,2,3.7
12,1,2015,2,3.7
13,2,2015,5,3.7
14,2,2015,5,3.7
15,2,2015,5,3.7
16,2,2015,5,3.7
17,2,2015,5,3.7
18,2,2015,5,3.7
19,2,2015,5,3.7
20,2,2015,5,3.7
21,2,2015,5,3.7
22,2,2015,5,3.7
23,2,2015,5,3.7
24,2,2015,5,3.7
25,3,2015,8,3.7
26,3,2015,8,3.7
27,3,2015,8,3.7
28,3,2015,8,3.7
29,3,2015,8,3.7
30,3,2015,8,3.7
31,3,2015,8,3.7
32,3,2015,8,3.7
33,3,2015,8,3.7
34,3,2015,8,3.7
35,3,2015,8,3.7
36,3,2015,8,3.7
37,4,2015,11,3.7
38,4,2015,11,3.7
39,4,2015,11,3.7
40,4,2015,11,3.7
41,4,2015,11,3.7
42,4,2015,11,3.7
43,4,2015,11,3.7
44,4,2015,11,3.7
45,4,2015,11,3.7
46,4,2015,11,3.7
47,4,2015,11,3.7
48,4,2015,11,3.7
49,5,2015,14,3.7
50,5,2015,14,3.7
51,5,2015,14,3.7
52,5,2015,14,3.7
53,5,2015,14,3.7
54,5,2015,14,3.7
55,5,2015,14,3.7
56,5,2015,14,3.7
57,5,2015,14,3.7
58,5,2015,14,3.7
59,5,2015,14,3.7
60,5,2015,14,3.7
61,6,2015,17,3.7
62,6,2015,17,3.7
63,6,2015,17,3.7
64,6,2015,17,3.7
65,6,2015,17,3.7
66,6,2015,17,3.7
67,6,2015,17,3.7
68,6,2015,17,3.7
69,6,2015,17,3.7
70,6,2015,17,3.7
71,6,2015,17,3.7
72,6,2015,17,3.7
73,7,2015,20,3.7
74,7,2015,20,3.7
75,7,2015,20,3.7
76,7,2015,20,3.7
77,7,2015,20,3.7
78,7,2015,20,3.7
79,7,2015,20,3.7
80,7,2015,20,3.7
81,7,2015,20,3.7
82,7,2015,20,3.7
83,7,2015,20,3.7
84,7,2015,20,3.7
85,8,2015,23,3.7
86,8,2015,23,3.7
87,8,2015,23,3.7
88,8,2015,23,3.7
89,8,2015,23,3.7
90,8,2015,23,3.7
91,8,2015,23,3.7
92,8,2015,23,3.7
93,8,2015,23,3.7
94,8,2015,23,3.7
95,8,2015,23,3.7
96,8,2015,23,3.7
97,9,2015,26,3.7
98,9,2015,26,3.7
99,9,2015,26,3.7
100,9,2015,26,3.7
101,9,2015,26,3.7
102,9,2015,26,3.7
103,9,2015,26,3.7
104,9,2015,26,3.7
105,9,2015,26,3.7
106,9,2015,26,3.7
107,9,2015,26,3.7
108,9,2015,26,3.7
109,10,2015,29,3.7
110,10,2015,29,3.7
111,10,2015,29,3.7
112,10,2015,29,3.7
113,10,2015,29,3.7
114,10,2015,29,3.7
115,10,2015,29,3.7
116,10,2015,29,3.7
117,10,2015,29,3.7
118,10,2015,29,3.7
119,10,2015,29,3.7
120,10,2015,29,3.7
121,11,2015,32,3.7
122,11,2015,32,3.7
123,11,2015,32,3.7
124,11,2015,32,3.7
125,11,2015,32,3.7
126,11,2015,32,3.7
127,11,2015,32,3.7
128,11,2015,32,3.7
129,11,2015,32,3.7
130,11,2015,32,3.7
131,11,2015,32,3.7
132,11,2015,32,3.7
133,12,2015,35,3.7
134,12,2015,35,3.7
135,12,2015,35,3.7
136,12,2015,35,3.7
137,12,2015,35,3.7
138,12,2015,35,3.7
139,12,2015,35,3.7
140,12,2015,35,3.7
141,12,2015,35,3.7
142,12,2015,35,3.7
143,12,2015,35,3.7
144,12,2015,35,3.7
145,13,2015,38,3.7
146,13,2015,38,3.7
147,13,2015,38,3.7
148,13,2015,38,3.7
149,13,2015,38,3.7
150,13,2015,38,3.7
151,13,2015,38,3.7
152,13,2015,38,3.7
153,13,2015,38,3.7
154,13,2015,38,3.7
155,13,2015,38,3.7
156,13,2015,38,3.7
157,14,2015,41,3.7
158,14,2015,41,3.7
159,14,2015,41,3.7
160,14,2015,41,3.7
161,14,2015,41,3.7
162,14,2015,41,3.7
163,14,2015,41,3.7
164,14,2015,41,3.7
165,14,2015,41,3.7
166,14,2015,41,3.7
167,14,2015,41,3.7
168,14,2015,41,3.7
169,15,2015,44,3.7
170,15,2015,44,3.7
171,15,2015,44,3.7
172,15,2015,44,3.7
173,15,2015,44,3.7
174,15,2015,44,3.7
175,15,2015,44,3.7
176,15,2015,44,3.7
177,15,2015,44,3.7
178,15,2015,44,3.7
179,15,2015,44,3.7
180,15,2015,44,3.7
181,16,2015,47,3.7
182,16,2015,47,3.7
183,16,2015,47,3.7
184,16,2015,47,3.7
185,16,2015,47,3.7
186,16,2015,47,3.7
187,16,2015,47,3.7
188,16,2015,47,3.7
189,16,2015,47,3.7
190,16,2015,47,3.7
191,16,2015,47,3.7
192,16,2015,47,3.7
193,17,2015,50,3.7
194,17,2015,50,3.7
195,17,2015,50,3.7
196,17,2015,50,3.7
197,17,2015,50,3.7
198,17,2015,50,3.7
199,17,2015,50,3.7
200,17,2015,50,3.7
201,17,2015,50,3.7
202,17,2015,50,3.7
203,17,2015,50,3.7
204,17,2015,50,3.7
205,18,2015,53,3.7
206,18,2015,53,3.7
207,18,2015,53,3.7
208,18,2015,53,3.7
209,18,2015,53,3.7
210,18,2015,53,3.7
211,18,2015,53,3.7
212,18,2015,53,3.7
213,18,2015,53,3.7
214,18,2015,53,3.7
215,18,2015,53,3.7
216,18,2015,53,3.7
217,19,2015,56,3.7
218,19,2015,56,3.7
219,19,2015,56,3.7
220,19,2015,56,3.7
221,19,2015,56,3.7
222,19,2015,56,3.7
223,19,2015,56,3.7
