Date,xvelocMean4m
1979-01-15,-1.5746209098164408
1979-02-15,-1.1380087789305668
1979-03-15,-1.3046488427773344
1979-04-15,-1.4718276137270552
1979-05-15,-1.9966679968076615
1979-06-15,-1.9807661612130882
1979-07-15,-1.9474261771747805
1979-08-15,-1.185335195530726
1979-09-15,-1.356803671189146
1979-10-15,-1.5991620111731844
1979-11-15,-0.7725259377494013
1979-12-15,-1.274780526735834
1980-01-15,-1.4608140462889068
1980-02-15,-1.0585195530726257
1980-03-15,-1.312150837988827
1980-04-15,-1.5233040702314447
1980-05-15,-1.9577414205905828
1980-06-15,-1.7344972067039104
1980-07-15,-1.533080606544294
1980-08-15,-1.4092577813248206
1980-09-15,-1.3665403032721468
1980-10-15,-1.6060654429369512
1980-11-15,-1.0328212290502796
1980-12-15,-1.4657222665602552
1981-01-15,-1.5199122106943337
1981-02-15,-1.061053471667997
1981-03-15,-1.1991420590582602
1981-04-15,-1.1439944134078213
1981-05-15,-1.7683559457302473
1981-06-15,-1.683100558659218
1981-07-15,-1.8474261771747806
1981-08-15,-1.5387869114126096
1981-09-15,-1.1619114126097367
1981-10-15,-1.3650837988826816
1981-11-15,-1.363268156424581
1981-12-15,-1.305606544293695
1982-01-15,-1.0062849162011174
1982-02-15,-0.8229050279329608
1982-03-15,-0.9332402234636871
1982-04-15,-1.258559457302474
1982-05-15,-2.1894253790901836
1982-06-15,-2.4839385474860336
1982-07-15,-1.8927573822825219
1982-08-15,-1.8496408619313647
1982-09-15,-1.774341580207502
1982-10-15,-1.3092378292098963
1982-11-15,-1.4900438946528332
1982-12-15,-1.5300079808459697
1983-01-15,-0.8167398244213886
1983-02-15,-0.9963487629688749
1983-03-15,-1.1792897047086992
1983-04-15,-1.789445331205108
1983-05-15,-1.8109936153232244
1983-06-15,-1.9464884277733439
1983-07-15,-1.8448922585794094
1983-08-15,-1.5494213886671986
1983-09-15,-1.4726256983240222
1983-10-15,-1.338288108539505
1983-11-15,-1.230367118914605
1983-12-15,-1.5228451715881883
1984-01-15,-1.2066440542697527
1984-02-15,-0.8163008778930568
1984-03-15,-1.257781324820431
1984-04-15,-1.0115921787709499
1984-05-15,-1.8095969672785317
1984-06-15,-1.8250399042298484
1984-07-15,-2.0335395051875502
1984-08-15,-1.4647246608140465
1984-09-15,-1.5603950518754988
1984-10-15,-1.443994413407821
1984-11-15,-1.3432162809257784
1984-12-15,-1.527952913008779
1985-01-15,-1.1602952913008777
1985-02-15,-0.487609736632083
1985-03-15,-1.027314445331205
1985-04-15,-1.3135075818036712
1985-05-15,-2.0411612130885874
1985-06-15,-2.2829608938547485
1985-07-15,-1.800778132482043
1985-08-15,-1.4044094173982442
1985-09-15,-1.5842777334397447
1985-10-15,-0.9809457302474061
1985-11-15,-1.9140263367917
1985-12-15,-1.1709098164405427
1986-01-15,-0.888487629688747
1986-02-15,-1.2372505985634477
1986-03-15,-1.0652833200319234
1986-04-15,-1.442438148443735
1986-05-15,-1.8735035913806863
1986-06-15,-2.080067837190742
1986-07-15,-1.9096967278531523
1986-08-15,-1.5268754988028732
1986-09-15,-1.303212290502793
1986-10-15,-1.1539106145251397
1986-11-15,-1.3846967278531523
