,Title,YEAR_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_,CHIN_H_N_,COHO_H_N_,CHUM_H_N_,SOCKEYE_H_N_,PINK_H_N_,COHO_H_N_adj,COHO_H_MT_KM2_adj,CHIN_H_N_adj,CHIN_H_MT_KM2_adj,PINK_H_N_adj,PINK_H_MT_KM2_adj,SOCKEYE_H_N_adj,SOCKEYE_H_MT_KM2_adj,CHUM_H_N_adj,CHUM_H_MT_KM2_adj
0,0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
1,1,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
2,2,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
3,3,1953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
4,4,1954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
5,5,1955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
6,6,1956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
7,7,1957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
8,8,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
9,9,1959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
