threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
1,1,2003,2,0.003
2,1,2003,2,0.003
3,1,2003,2,0.003
4,1,2003,2,0.003
5,1,2003,2,0.003
6,1,2003,2,0.003
7,1,2003,2,0.003
8,1,2003,2,0.003
9,1,2003,2,0.003
10,1,2003,2,0.003
11,1,2003,2,0.003
12,1,2003,2,0.003
13,2,2003,5,-0.005
14,2,2003,5,-0.005
15,2,2003,5,-0.005
16,2,2003,5,-0.005
17,2,2003,5,-0.005
18,2,2003,5,-0.005
19,2,2003,5,-0.005
20,2,2003,5,-0.005
21,2,2003,5,-0.005
22,2,2003,5,-0.005
23,2,2003,5,-0.005
24,2,2003,5,-0.005
25,3,2003,8,-0.005
26,3,2003,8,-0.005
27,3,2003,8,-0.005
28,3,2003,8,-0.005
29,3,2003,8,-0.005
30,3,2003,8,-0.005
31,3,2003,8,-0.005
32,3,2003,8,-0.005
33,3,2003,8,-0.005
34,3,2003,8,-0.005
35,3,2003,8,-0.005
36,3,2003,8,-0.005
37,4,2003,11,-0.002
38,4,2003,11,-0.002
39,4,2003,11,-0.002
40,4,2003,11,-0.002
41,4,2003,11,-0.002
42,4,2003,11,-0.002
43,4,2003,11,-0.002
44,4,2003,11,-0.002
45,4,2003,11,-0.002
46,4,2003,11,-0.002
47,4,2003,11,-0.002
48,4,2003,11,-0.002
49,5,2003,14,-0.002
50,5,2003,14,-0.002
51,5,2003,14,-0.002
52,5,2003,14,-0.002
53,5,2003,14,-0.002
54,5,2003,14,-0.002
55,5,2003,14,-0.002
56,5,2003,14,-0.002
57,5,2003,14,-0.002
58,5,2003,14,-0.002
59,5,2003,14,-0.002
60,5,2003,14,-0.002
61,6,2003,17,-0.002
62,6,2003,17,-0.002
63,6,2003,17,-0.002
64,6,2003,17,-0.002
65,6,2003,17,-0.002
66,6,2003,17,-0.002
67,6,2003,17,-0.002
68,6,2003,17,-0.002
69,6,2003,17,-0.002
70,6,2003,17,-0.002
71,6,2003,17,-0.002
72,6,2003,17,-0.002
73,7,2003,20,-0.003
74,7,2003,20,-0.003
75,7,2003,20,-0.003
76,7,2003,20,-0.003
77,7,2003,20,-0.003
78,7,2003,20,-0.003
79,7,2003,20,-0.003
80,7,2003,20,-0.003
81,7,2003,20,-0.003
82,7,2003,20,-0.003
83,7,2003,20,-0.003
84,7,2003,20,-0.003
85,8,2003,23,-0.004
86,8,2003,23,-0.004
87,8,2003,23,-0.004
88,8,2003,23,-0.004
89,8,2003,23,-0.004
90,8,2003,23,-0.004
91,8,2003,23,-0.004
92,8,2003,23,-0.004
93,8,2003,23,-0.004
94,8,2003,23,-0.004
95,8,2003,23,-0.004
96,8,2003,23,-0.004
97,9,2003,26,-0.004
98,9,2003,26,-0.004
99,9,2003,26,-0.004
100,9,2003,26,-0.004
101,9,2003,26,-0.004
102,9,2003,26,-0.004
103,9,2003,26,-0.004
104,9,2003,26,-0.004
105,9,2003,26,-0.004
106,9,2003,26,-0.004
107,9,2003,26,-0.004
108,9,2003,26,-0.004
109,10,2003,29,-0.002
110,10,2003,29,-0.002
111,10,2003,29,-0.002
112,10,2003,29,-0.002
113,10,2003,29,-0.002
114,10,2003,29,-0.002
115,10,2003,29,-0.002
116,10,2003,29,-0.002
117,10,2003,29,-0.002
118,10,2003,29,-0.002
119,10,2003,29,-0.002
120,10,2003,29,-0.002
121,11,2003,32,-0.003
122,11,2003,32,-0.003
123,11,2003,32,-0.003
124,11,2003,32,-0.003
125,11,2003,32,-0.003
126,11,2003,32,-0.003
127,11,2003,32,-0.003
128,11,2003,32,-0.003
129,11,2003,32,-0.003
130,11,2003,32,-0.003
131,11,2003,32,-0.003
132,11,2003,32,-0.003
133,12,2003,35,-0.006
134,12,2003,35,-0.006
135,12,2003,35,-0.006
136,12,2003,35,-0.006
137,12,2003,35,-0.006
138,12,2003,35,-0.006
139,12,2003,35,-0.006
140,12,2003,35,-0.006
141,12,2003,35,-0.006
142,12,2003,35,-0.006
143,12,2003,35,-0.006
144,12,2003,35,-0.006
145,13,2003,38,-0.004
146,13,2003,38,-0.004
147,13,2003,38,-0.004
148,13,2003,38,-0.004
149,13,2003,38,-0.004
150,13,2003,38,-0.004
151,13,2003,38,-0.004
152,13,2003,38,-0.004
153,13,2003,38,-0.004
154,13,2003,38,-0.004
155,13,2003,38,-0.004
156,13,2003,38,-0.004
157,14,2003,41,-0.004
158,14,2003,41,-0.004
159,14,2003,41,-0.004
