threeday_yrmo,threeday_yr,year,dayofyear,varsalt1_PSU_0-10mAvg
1,1,2003,2,27.7
2,1,2003,2,27.7
3,1,2003,2,27.7
4,1,2003,2,27.7
5,1,2003,2,27.7
6,1,2003,2,27.7
7,1,2003,2,27.7
8,1,2003,2,27.7
9,1,2003,2,27.7
10,1,2003,2,27.7
11,1,2003,2,27.7
12,1,2003,2,27.7
13,2,2003,5,27.7
14,2,2003,5,27.7
15,2,2003,5,27.7
16,2,2003,5,27.7
17,2,2003,5,27.7
18,2,2003,5,27.7
19,2,2003,5,27.7
20,2,2003,5,27.7
21,2,2003,5,27.7
22,2,2003,5,27.7
23,2,2003,5,27.7
24,2,2003,5,27.7
25,3,2003,8,27.6
26,3,2003,8,27.6
27,3,2003,8,27.6
28,3,2003,8,27.6
29,3,2003,8,27.6
30,3,2003,8,27.6
31,3,2003,8,27.6
32,3,2003,8,27.6
33,3,2003,8,27.6
34,3,2003,8,27.6
35,3,2003,8,27.6
36,3,2003,8,27.6
37,4,2003,11,27.4
38,4,2003,11,27.4
39,4,2003,11,27.4
40,4,2003,11,27.4
41,4,2003,11,27.4
42,4,2003,11,27.4
43,4,2003,11,27.4
44,4,2003,11,27.4
45,4,2003,11,27.4
46,4,2003,11,27.4
47,4,2003,11,27.4
48,4,2003,11,27.4
49,5,2003,14,27.3
50,5,2003,14,27.3
51,5,2003,14,27.3
52,5,2003,14,27.3
53,5,2003,14,27.3
54,5,2003,14,27.3
55,5,2003,14,27.3
56,5,2003,14,27.3
57,5,2003,14,27.3
58,5,2003,14,27.3
59,5,2003,14,27.3
60,5,2003,14,27.3
61,6,2003,17,27.4
62,6,2003,17,27.4
63,6,2003,17,27.4
64,6,2003,17,27.4
65,6,2003,17,27.4
66,6,2003,17,27.4
67,6,2003,17,27.4
68,6,2003,17,27.4
69,6,2003,17,27.4
70,6,2003,17,27.4
71,6,2003,17,27.4
72,6,2003,17,27.4
73,7,2003,20,27.5
74,7,2003,20,27.5
75,7,2003,20,27.5
76,7,2003,20,27.5
77,7,2003,20,27.5
78,7,2003,20,27.5
79,7,2003,20,27.5
80,7,2003,20,27.5
81,7,2003,20,27.5
82,7,2003,20,27.5
83,7,2003,20,27.5
84,7,2003,20,27.5
85,8,2003,23,27.6
86,8,2003,23,27.6
87,8,2003,23,27.6
88,8,2003,23,27.6
89,8,2003,23,27.6
90,8,2003,23,27.6
91,8,2003,23,27.6
92,8,2003,23,27.6
93,8,2003,23,27.6
94,8,2003,23,27.6
95,8,2003,23,27.6
96,8,2003,23,27.6
97,9,2003,26,27.5
98,9,2003,26,27.5
99,9,2003,26,27.5
100,9,2003,26,27.5
101,9,2003,26,27.5
102,9,2003,26,27.5
103,9,2003,26,27.5
104,9,2003,26,27.5
105,9,2003,26,27.5
106,9,2003,26,27.5
107,9,2003,26,27.5
108,9,2003,26,27.5
109,10,2003,29,27.4
110,10,2003,29,27.4
111,10,2003,29,27.4
112,10,2003,29,27.4
113,10,2003,29,27.4
114,10,2003,29,27.4
115,10,2003,29,27.4
116,10,2003,29,27.4
117,10,2003,29,27.4
118,10,2003,29,27.4
119,10,2003,29,27.4
120,10,2003,29,27.4
121,11,2003,32,27.5
122,11,2003,32,27.5
123,11,2003,32,27.5
124,11,2003,32,27.5
125,11,2003,32,27.5
126,11,2003,32,27.5
127,11,2003,32,27.5
128,11,2003,32,27.5
129,11,2003,32,27.5
130,11,2003,32,27.5
131,11,2003,32,27.5
132,11,2003,32,27.5
133,12,2003,35,27.4
134,12,2003,35,27.4
135,12,2003,35,27.4
136,12,2003,35,27.4
137,12,2003,35,27.4
138,12,2003,35,27.4
139,12,2003,35,27.4
140,12,2003,35,27.4
141,12,2003,35,27.4
142,12,2003,35,27.4
143,12,2003,35,27.4
144,12,2003,35,27.4
145,13,2003,38,27.3
146,13,2003,38,27.3
147,13,2003,38,27.3
148,13,2003,38,27.3
149,13,2003,38,27.3
150,13,2003,38,27.3
151,13,2003,38,27.3
152,13,2003,38,27.3
153,13,2003,38,27.3
154,13,2003,38,27.3
155,13,2003,38,27.3
156,13,2003,38,27.3
157,14,2003,41,27.2
158,14,2003,41,27.2
159,14,2003,41,27.2
160,14,2003,41,27.2
161,14,2003,41,27.2
162,14,2003,41,27.2
163,14,2003,41,27.2
164,14,2003,41,27.2
165,14,2003,41,27.2
166,14,2003,41,27.2
167,14,2003,41,27.2
168,14,2003,41,27.2
169,15,2003,44,27.2
170,15,2003,44,27.2
171,15,2003,44,27.2
172,15,2003,44,27.2
173,15,2003,44,27.2
174,15,2003,44,27.2
175,15,2003,44,27.2
176,15,2003,44,27.2
177,15,2003,44,27.2
178,15,2003,44,27.2
179,15,2003,44,27.2
180,15,2003,44,27.2
181,16,2003,47,27.4
182,16,2003,47,27.4
183,16,2003,47,27.4
184,16,2003,47,27.4
185,16,2003,47,27.4
186,16,2003,47,27.4
187,16,2003,47,27.4
188,16,2003,47,27.4
189,16,2003,47,27.4
190,16,2003,47,27.4
191,16,2003,47,27.4
192,16,2003,47,27.4
193,17,2003,50,27.4
194,17,2003,50,27.4
195,17,2003,50,27.4
196,17,2003,50,27.4
197,17,2003,50,27.4
198,17,2003,50,27.4
199,17,2003,50,27.4
200,17,2003,50,27.4
201,17,2003,50,27.4
202,17,2003,50,27.4
203,17,2003,50,27.4
204,17,2003,50,27.4
205,18,2003,53,27.5
206,18,2003,53,27.5
207,18,2003,53,27.5
208,18,2003,53,27.5
209,18,2003,53,27.5
210,18,2003,53,27.5
211,18,2003,53,27.5
212,18,2003,53,27.5
213,18,2003,53,27.5
214,18,2003,53,27.5
215,18,2003,53,27.5
216,18,2003,53,27.5
217,19,2003,56,27.4
218,19,2003,56,27.4
219,19,2003,56,27.4
220,19,2003,56,27.4
221,19,2003,56,27.4
222,19,2003,56,27.4
223,19,2003,56,27.4
224,19,2003,56,27.4
225,19,2003,56,27.4
226,19,2003,56,27.4
227,19,2003,56,27.4
228,19,2003,56,27.4
229,20,2003,59,27.4
230,20,2003,59,27.4
231,20,2003,59,27.4
232,20,2003,59,27.4
233,20,2003,59,27.4
234,20,2003,59,27.4
235,20,2003,59,27.4
236,20,2003,59,27.4
237,20,2003,59,27.4
238,20,2003,59,27.4
239,20,2003,59,27.4
240,20,2003,59,27.4
241,21,2003,62,27.5
242,21,2003,62,27.5
243,21,2003,62,27.5
244,21,2003,62,27.5
245,21,2003,62,27.5
246,21,2003,62,27.5
247,21,2003,62,27.5
248,21,2003,62,27.5
249,21,2003,62,27.5
250,21,2003,62,27.5
251,21,2003,62,27.5
252,21,2003,62,27.5
253,22,2003,65,27.6
254,22,2003,65,27.6
255,22,2003,65,27.6
256,22,2003,65,27.6
257,22,2003,65,27.6
258,22,2003,65,27.6
259,22,2003,65,27.6
260,22,2003,65,27.6
261,22,2003,65,27.6
262,22,2003,65,27.6
263,22,2003,65,27.6
264,22,2003,65,27.6
265,23,2003,68,27.6
266,23,2003,68,27.6
267,23,2003,68,27.6
268,23,2003,68,27.6
269,23,2003,68,27.6
270,23,2003,68,27.6
271,23,2003,68,27.6
272,23,2003,68,27.6
273,23,2003,68,27.6
274,23,2003,68,27.6
275,23,2003,68,27.6
276,23,2003,68,27.6
277,24,2003,71,27.4
278,24,2003,71,27.4
279,24,2003,71,27.4
280,24,2003,71,27.4
281,24,2003,71,27.4
282,24,2003,71,27.4
283,24,2003,71,27.4
284,24,2003,71,27.4
285,24,2003,71,27.4
286,24,2003,71,27.4
287,24,2003,71,27.4
288,24,2003,71,27.4
289,25,2003,74,27.6
290,25,2003,74,27.6
291,25,2003,74,27.6
292,25,2003,74,27.6
293,25,2003,74,27.6
294,25,2003,74,27.6
295,25,2003,74,27.6
296,25,2003,74,27.6
297,25,2003,74,27.6
298,25,2003,74,27.6
299,25,2003,74,27.6
300,25,2003,74,27.6
301,26,2003,77,27.6
302,26,2003,77,27.6
303,26,2003,77,27.6
304,26,2003,77,27.6
305,26,2003,77,27.6
306,26,2003,77,27.6
307,26,2003,77,27.6
308,26,2003,77,27.6
309,26,2003,77,27.6
310,26,2003,77,27.6
311,26,2003,77,27.6
312,26,2003,77,27.6
313,27,2003,80,27.7
314,27,2003,80,27.7
315,27,2003,80,27.7
316,27,2003,80,27.7
317,27,2003,80,27.7
318,27,2003,80,27.7
319,27,2003,80,27.7
320,27,2003,80,27.7
321,27,2003,80,27.7
322,27,2003,80,27.7
323,27,2003,80,27.7
324,27,2003,80,27.7
325,28,2003,83,27.6
326,28,2003,83,27.6
327,28,2003,83,27.6
328,28,2003,83,27.6
329,28,2003,83,27.6
330,28,2003,83,27.6
331,28,2003,83,27.6
332,28,2003,83,27.6
333,28,2003,83,27.6
334,28,2003,83,27.6
335,28,2003,83,27.6
336,28,2003,83,27.6
337,29,2003,86,27.5
338,29,2003,86,27.5
339,29,2003,86,27.5
340,29,2003,86,27.5
341,29,2003,86,27.5
342,29,2003,86,27.5
343,29,2003,86,27.5
344,29,2003,86,27.5
345,29,2003,86,27.5
346,29,2003,86,27.5
347,29,2003,86,27.5
348,29,2003,86,27.5
349,30,2003,89,27.3
350,30,2003,89,27.3
351,30,2003,89,27.3
352,30,2003,89,27.3
353,30,2003,89,27.3
354,30,2003,89,27.3
355,30,2003,89,27.3
356,30,2003,89,27.3
357,30,2003,89,27.3
358,30,2003,89,27.3
359,30,2003,89,27.3
360,30,2003,89,27.3
361,31,2003,92,27.4
362,31,2003,92,27.4
363,31,2003,92,27.4
364,31,2003,92,27.4
365,31,2003,92,27.4
366,31,2003,92,27.4
367,31,2003,92,27.4
368,31,2003,92,27.4
369,31,2003,92,27.4
370,31,2003,92,27.4
371,31,2003,92,27.4
372,31,2003,92,27.4
373,32,2003,95,27.3
374,32,2003,95,27.3
375,32,2003,95,27.3
376,32,2003,95,27.3
377,32,2003,95,27.3
378,32,2003,95,27.3
379,32,2003,95,27.3
380,32,2003,95,27.3
381,32,2003,95,27.3
382,32,2003,95,27.3
383,32,2003,95,27.3
384,32,2003,95,27.3
385,33,2003,98,27.3
386,33,2003,98,27.3
387,33,2003,98,27.3
388,33,2003,98,27.3
389,33,2003,98,27.3
390,33,2003,98,27.3
391,33,2003,98,27.3
392,33,2003,98,27.3
393,33,2003,98,27.3
394,33,2003,98,27.3
395,33,2003,98,27.3
396,33,2003,98,27.3
397,34,2003,101,27.2
398,34,2003,101,27.2
399,34,2003,101,27.2
400,34,2003,101,27.2
401,34,2003,101,27.2
402,34,2003,101,27.2
403,34,2003,101,27.2
404,34,2003,101,27.2
405,34,2003,101,27.2
406,34,2003,101,27.2
407,34,2003,101,27.2
408,34,2003,101,27.2
409,35,2003,104,27.1
410,35,2003,104,27.1
411,35,2003,104,27.1
412,35,2003,104,27.1
413,35,2003,104,27.1
414,35,2003,104,27.1
415,35,2003,104,27.1
416,35,2003,104,27.1
417,35,2003,104,27.1
418,35,2003,104,27.1
419,35,2003,104,27.1
420,35,2003,104,27.1
421,36,2003,107,27.1
422,36,2003,107,27.1
423,36,2003,107,27.1
424,36,2003,107,27.1
425,36,2003,107,27.1
426,36,2003,107,27.1
427,36,2003,107,27.1
428,36,2003,107,27.1
429,36,2003,107,27.1
430,36,2003,107,27.1
431,36,2003,107,27.1
432,36,2003,107,27.1
433,37,2003,110,27.1
434,37,2003,110,27.1
435,37,2003,110,27.1
436,37,2003,110,27.1
437,37,2003,110,27.1
438,37,2003,110,27.1
439,37,2003,110,27.1
440,37,2003,110,27.1
441,37,2003,110,27.1
442,37,2003,110,27.1
443,37,2003,110,27.1
444,37,2003,110,27.1
445,38,2003,113,27.0
446,38,2003,113,27.0
447,38,2003,113,27.0
448,38,2003,113,27.0
449,38,2003,113,27.0
450,38,2003,113,27.0
451,38,2003,113,27.0
452,38,2003,113,27.0
453,38,2003,113,27.0
454,38,2003,113,27.0
455,38,2003,113,27.0
456,38,2003,113,27.0
457,39,2003,116,26.9
458,39,2003,116,26.9
459,39,2003,116,26.9
460,39,2003,116,26.9
461,39,2003,116,26.9
462,39,2003,116,26.9
463,39,2003,116,26.9
464,39,2003,116,26.9
465,39,2003,116,26.9
466,39,2003,116,26.9
467,39,2003,116,26.9
468,39,2003,116,26.9
469,40,2003,119,26.8
470,40,2003,119,26.8
471,40,2003,119,26.8
472,40,2003,119,26.8
473,40,2003,119,26.8
474,40,2003,119,26.8
475,40,2003,119,26.8
476,40,2003,119,26.8
477,40,2003,119,26.8
478,40,2003,119,26.8
479,40,2003,119,26.8
480,40,2003,119,26.8
481,41,2003,122,26.7
482,41,2003,122,26.7
483,41,2003,122,26.7
484,41,2003,122,26.7
485,41,2003,122,26.7
486,41,2003,122,26.7
487,41,2003,122,26.7
488,41,2003,122,26.7
489,41,2003,122,26.7
490,41,2003,122,26.7
491,41,2003,122,26.7
492,41,2003,122,26.7
493,42,2003,125,26.7
494,42,2003,125,26.7
495,42,2003,125,26.7
496,42,2003,125,26.7
497,42,2003,125,26.7
498,42,2003,125,26.7
499,42,2003,125,26.7
500,42,2003,125,26.7
501,42,2003,125,26.7
502,42,2003,125,26.7
503,42,2003,125,26.7
504,42,2003,125,26.7
505,43,2003,128,26.5
506,43,2003,128,26.5
507,43,2003,128,26.5
508,43,2003,128,26.5
509,43,2003,128,26.5
510,43,2003,128,26.5
511,43,2003,128,26.5
512,43,2003,128,26.5
513,43,2003,128,26.5
514,43,2003,128,26.5
515,43,2003,128,26.5
516,43,2003,128,26.5
517,44,2003,131,26.4
518,44,2003,131,26.4
519,44,2003,131,26.4
520,44,2003,131,26.4
521,44,2003,131,26.4
522,44,2003,131,26.4
523,44,2003,131,26.4
524,44,2003,131,26.4
525,44,2003,131,26.4
526,44,2003,131,26.4
527,44,2003,131,26.4
528,44,2003,131,26.4
529,45,2003,134,26.3
530,45,2003,134,26.3
531,45,2003,134,26.3
532,45,2003,134,26.3
533,45,2003,134,26.3
534,45,2003,134,26.3
535,45,2003,134,26.3
536,45,2003,134,26.3
537,45,2003,134,26.3
538,45,2003,134,26.3
539,45,2003,134,26.3
540,45,2003,134,26.3
541,46,2003,137,26.4
542,46,2003,137,26.4
543,46,2003,137,26.4
544,46,2003,137,26.4
545,46,2003,137,26.4
546,46,2003,137,26.4
547,46,2003,137,26.4
548,46,2003,137,26.4
549,46,2003,137,26.4
550,46,2003,137,26.4
551,46,2003,137,26.4
552,46,2003,137,26.4
553,47,2003,140,26.3
554,47,2003,140,26.3
555,47,2003,140,26.3
556,47,2003,140,26.3
557,47,2003,140,26.3
558,47,2003,140,26.3
559,47,2003,140,26.3
560,47,2003,140,26.3
561,47,2003,140,26.3
562,47,2003,140,26.3
563,47,2003,140,26.3
564,47,2003,140,26.3
565,48,2003,143,26.2
566,48,2003,143,26.2
567,48,2003,143,26.2
568,48,2003,143,26.2
569,48,2003,143,26.2
570,48,2003,143,26.2
571,48,2003,143,26.2
572,48,2003,143,26.2
573,48,2003,143,26.2
574,48,2003,143,26.2
575,48,2003,143,26.2
576,48,2003,143,26.2
577,49,2003,146,26.0
578,49,2003,146,26.0
579,49,2003,146,26.0
580,49,2003,146,26.0
581,49,2003,146,26.0
582,49,2003,146,26.0
583,49,2003,146,26.0
584,49,2003,146,26.0
585,49,2003,146,26.0
586,49,2003,146,26.0
587,49,2003,146,26.0
588,49,2003,146,26.0
589,50,2003,149,25.8
590,50,2003,149,25.8
591,50,2003,149,25.8
592,50,2003,149,25.8
593,50,2003,149,25.8
594,50,2003,149,25.8
595,50,2003,149,25.8
596,50,2003,149,25.8
597,50,2003,149,25.8
598,50,2003,149,25.8
599,50,2003,149,25.8
600,50,2003,149,25.8
601,51,2003,152,25.8
602,51,2003,152,25.8
603,51,2003,152,25.8
604,51,2003,152,25.8
605,51,2003,152,25.8
606,51,2003,152,25.8
607,51,2003,152,25.8
608,51,2003,152,25.8
609,51,2003,152,25.8
610,51,2003,152,25.8
611,51,2003,152,25.8
612,51,2003,152,25.8
613,52,2003,155,25.7
614,52,2003,155,25.7
615,52,2003,155,25.7
616,52,2003,155,25.7
617,52,2003,155,25.7
618,52,2003,155,25.7
619,52,2003,155,25.7
620,52,2003,155,25.7
621,52,2003,155,25.7
622,52,2003,155,25.7
623,52,2003,155,25.7
624,52,2003,155,25.7
625,53,2003,158,25.8
626,53,2003,158,25.8
627,53,2003,158,25.8
628,53,2003,158,25.8
629,53,2003,158,25.8
630,53,2003,158,25.8
631,53,2003,158,25.8
632,53,2003,158,25.8
633,53,2003,158,25.8
634,53,2003,158,25.8
635,53,2003,158,25.8
636,53,2003,158,25.8
637,54,2003,161,25.8
638,54,2003,161,25.8
639,54,2003,161,25.8
640,54,2003,161,25.8
641,54,2003,161,25.8
642,54,2003,161,25.8
643,54,2003,161,25.8
644,54,2003,161,25.8
645,54,2003,161,25.8
646,54,2003,161,25.8
647,54,2003,161,25.8
648,54,2003,161,25.8
649,55,2003,164,25.8
650,55,2003,164,25.8
651,55,2003,164,25.8
652,55,2003,164,25.8
653,55,2003,164,25.8
654,55,2003,164,25.8
655,55,2003,164,25.8
656,55,2003,164,25.8
657,55,2003,164,25.8
658,55,2003,164,25.8
659,55,2003,164,25.8
660,55,2003,164,25.8
661,56,2003,167,25.8
662,56,2003,167,25.8
663,56,2003,167,25.8
664,56,2003,167,25.8
665,56,2003,167,25.8
666,56,2003,167,25.8
667,56,2003,167,25.8
668,56,2003,167,25.8
669,56,2003,167,25.8
670,56,2003,167,25.8
671,56,2003,167,25.8
672,56,2003,167,25.8
673,57,2003,170,25.6
674,57,2003,170,25.6
675,57,2003,170,25.6
676,57,2003,170,25.6
677,57,2003,170,25.6
678,57,2003,170,25.6
679,57,2003,170,25.6
680,57,2003,170,25.6
681,57,2003,170,25.6
682,57,2003,170,25.6
683,57,2003,170,25.6
684,57,2003,170,25.6
685,58,2003,173,25.3
686,58,2003,173,25.3
687,58,2003,173,25.3
688,58,2003,173,25.3
689,58,2003,173,25.3
690,58,2003,173,25.3
691,58,2003,173,25.3
692,58,2003,173,25.3
693,58,2003,173,25.3
694,58,2003,173,25.3
695,58,2003,173,25.3
696,58,2003,173,25.3
697,59,2003,176,24.9
698,59,2003,176,24.9
699,59,2003,176,24.9
700,59,2003,176,24.9
701,59,2003,176,24.9
702,59,2003,176,24.9
703,59,2003,176,24.9
704,59,2003,176,24.9
705,59,2003,176,24.9
706,59,2003,176,24.9
707,59,2003,176,24.9
708,59,2003,176,24.9
709,60,2003,179,24.9
710,60,2003,179,24.9
711,60,2003,179,24.9
712,60,2003,179,24.9
713,60,2003,179,24.9
714,60,2003,179,24.9
715,60,2003,179,24.9
716,60,2003,179,24.9
717,60,2003,179,24.9
718,60,2003,179,24.9
719,60,2003,179,24.9
720,60,2003,179,24.9
721,61,2003,182,25.2
722,61,2003,182,25.2
723,61,2003,182,25.2
724,61,2003,182,25.2
725,61,2003,182,25.2
726,61,2003,182,25.2
727,61,2003,182,25.2
728,61,2003,182,25.2
729,61,2003,182,25.2
730,61,2003,182,25.2
731,61,2003,182,25.2
732,61,2003,182,25.2
733,62,2003,185,25.4
734,62,2003,185,25.4
735,62,2003,185,25.4
736,62,2003,185,25.4
737,62,2003,185,25.4
738,62,2003,185,25.4
739,62,2003,185,25.4
740,62,2003,185,25.4
741,62,2003,185,25.4
742,62,2003,185,25.4
743,62,2003,185,25.4
744,62,2003,185,25.4
745,63,2003,188,25.3
746,63,2003,188,25.3
747,63,2003,188,25.3
748,63,2003,188,25.3
749,63,2003,188,25.3
750,63,2003,188,25.3
751,63,2003,188,25.3
752,63,2003,188,25.3
753,63,2003,188,25.3
754,63,2003,188,25.3
755,63,2003,188,25.3
756,63,2003,188,25.3
757,64,2003,191,25.2
758,64,2003,191,25.2
759,64,2003,191,25.2
760,64,2003,191,25.2
761,64,2003,191,25.2
762,64,2003,191,25.2
763,64,2003,191,25.2
764,64,2003,191,25.2
765,64,2003,191,25.2
766,64,2003,191,25.2
767,64,2003,191,25.2
768,64,2003,191,25.2
769,65,2003,194,25.3
770,65,2003,194,25.3
771,65,2003,194,25.3
772,65,2003,194,25.3
773,65,2003,194,25.3
774,65,2003,194,25.3
775,65,2003,194,25.3
776,65,2003,194,25.3
777,65,2003,194,25.3
778,65,2003,194,25.3
779,65,2003,194,25.3
780,65,2003,194,25.3
781,66,2003,197,25.3
782,66,2003,197,25.3
783,66,2003,197,25.3
784,66,2003,197,25.3
785,66,2003,197,25.3
786,66,2003,197,25.3
787,66,2003,197,25.3
788,66,2003,197,25.3
789,66,2003,197,25.3
790,66,2003,197,25.3
791,66,2003,197,25.3
792,66,2003,197,25.3
793,67,2003,200,25.2
794,67,2003,200,25.2
795,67,2003,200,25.2
796,67,2003,200,25.2
797,67,2003,200,25.2
798,67,2003,200,25.2
799,67,2003,200,25.2
800,67,2003,200,25.2
801,67,2003,200,25.2
802,67,2003,200,25.2
803,67,2003,200,25.2
804,67,2003,200,25.2
805,68,2003,203,25.0
806,68,2003,203,25.0
807,68,2003,203,25.0
808,68,2003,203,25.0
809,68,2003,203,25.0
810,68,2003,203,25.0
811,68,2003,203,25.0
812,68,2003,203,25.0
813,68,2003,203,25.0
814,68,2003,203,25.0
815,68,2003,203,25.0
816,68,2003,203,25.0
817,69,2003,206,25.0
818,69,2003,206,25.0
819,69,2003,206,25.0
820,69,2003,206,25.0
821,69,2003,206,25.0
822,69,2003,206,25.0
823,69,2003,206,25.0
824,69,2003,206,25.0
825,69,2003,206,25.0
826,69,2003,206,25.0
827,69,2003,206,25.0
