threeday_yrmo,threeday_yr,year,dayofyear,varsalt2_PSU_0-4m
1,1,2003,2,28.7
2,1,2003,2,28.7
3,1,2003,2,28.7
4,1,2003,2,28.7
5,1,2003,2,28.7
6,1,2003,2,28.7
7,1,2003,2,28.7
8,1,2003,2,28.7
9,1,2003,2,28.7
10,1,2003,2,28.7
11,1,2003,2,28.7
12,1,2003,2,28.7
13,2,2003,5,28.8
14,2,2003,5,28.8
15,2,2003,5,28.8
16,2,2003,5,28.8
17,2,2003,5,28.8
18,2,2003,5,28.8
19,2,2003,5,28.8
20,2,2003,5,28.8
21,2,2003,5,28.8
22,2,2003,5,28.8
23,2,2003,5,28.8
24,2,2003,5,28.8
25,3,2003,8,28.7
26,3,2003,8,28.7
27,3,2003,8,28.7
28,3,2003,8,28.7
29,3,2003,8,28.7
30,3,2003,8,28.7
31,3,2003,8,28.7
32,3,2003,8,28.7
33,3,2003,8,28.7
34,3,2003,8,28.7
35,3,2003,8,28.7
36,3,2003,8,28.7
37,4,2003,11,28.6
38,4,2003,11,28.6
39,4,2003,11,28.6
40,4,2003,11,28.6
41,4,2003,11,28.6
42,4,2003,11,28.6
43,4,2003,11,28.6
44,4,2003,11,28.6
45,4,2003,11,28.6
46,4,2003,11,28.6
47,4,2003,11,28.6
48,4,2003,11,28.6
49,5,2003,14,28.4
50,5,2003,14,28.4
51,5,2003,14,28.4
52,5,2003,14,28.4
53,5,2003,14,28.4
54,5,2003,14,28.4
55,5,2003,14,28.4
56,5,2003,14,28.4
57,5,2003,14,28.4
58,5,2003,14,28.4
59,5,2003,14,28.4
60,5,2003,14,28.4
61,6,2003,17,28.5
62,6,2003,17,28.5
63,6,2003,17,28.5
64,6,2003,17,28.5
65,6,2003,17,28.5
66,6,2003,17,28.5
67,6,2003,17,28.5
68,6,2003,17,28.5
69,6,2003,17,28.5
70,6,2003,17,28.5
71,6,2003,17,28.5
72,6,2003,17,28.5
73,7,2003,20,28.6
74,7,2003,20,28.6
75,7,2003,20,28.6
76,7,2003,20,28.6
77,7,2003,20,28.6
78,7,2003,20,28.6
79,7,2003,20,28.6
80,7,2003,20,28.6
81,7,2003,20,28.6
82,7,2003,20,28.6
83,7,2003,20,28.6
84,7,2003,20,28.6
85,8,2003,23,28.6
86,8,2003,23,28.6
87,8,2003,23,28.6
88,8,2003,23,28.6
89,8,2003,23,28.6
90,8,2003,23,28.6
91,8,2003,23,28.6
92,8,2003,23,28.6
93,8,2003,23,28.6
94,8,2003,23,28.6
95,8,2003,23,28.6
96,8,2003,23,28.6
97,9,2003,26,28.5
98,9,2003,26,28.5
99,9,2003,26,28.5
100,9,2003,26,28.5
101,9,2003,26,28.5
102,9,2003,26,28.5
103,9,2003,26,28.5
104,9,2003,26,28.5
105,9,2003,26,28.5
106,9,2003,26,28.5
107,9,2003,26,28.5
108,9,2003,26,28.5
109,10,2003,29,28.5
110,10,2003,29,28.5
111,10,2003,29,28.5
112,10,2003,29,28.5
113,10,2003,29,28.5
114,10,2003,29,28.5
115,10,2003,29,28.5
116,10,2003,29,28.5
117,10,2003,29,28.5
118,10,2003,29,28.5
119,10,2003,29,28.5
120,10,2003,29,28.5
121,11,2003,32,28.5
122,11,2003,32,28.5
123,11,2003,32,28.5
124,11,2003,32,28.5
125,11,2003,32,28.5
126,11,2003,32,28.5
127,11,2003,32,28.5
128,11,2003,32,28.5
129,11,2003,32,28.5
130,11,2003,32,28.5
131,11,2003,32,28.5
132,11,2003,32,28.5
133,12,2003,35,28.5
134,12,2003,35,28.5
135,12,2003,35,28.5
136,12,2003,35,28.5
137,12,2003,35,28.5
138,12,2003,35,28.5
139,12,2003,35,28.5
140,12,2003,35,28.5
141,12,2003,35,28.5
142,12,2003,35,28.5
143,12,2003,35,28.5
144,12,2003,35,28.5
145,13,2003,38,28.5
146,13,2003,38,28.5
147,13,2003,38,28.5
148,13,2003,38,28.5
149,13,2003,38,28.5
150,13,2003,38,28.5
151,13,2003,38,28.5
