threeday_yrmo,threeday_yr,year,dayofyear,varadvecX1_cmsec_0-10mAvg
1,1,2015,2,-0.003
2,1,2015,2,-0.003
3,1,2015,2,-0.003
4,1,2015,2,-0.003
5,1,2015,2,-0.003
6,1,2015,2,-0.003
7,1,2015,2,-0.003
8,1,2015,2,-0.003
9,1,2015,2,-0.003
10,1,2015,2,-0.003
11,1,2015,2,-0.003
12,1,2015,2,-0.003
13,2,2015,5,-0.003
14,2,2015,5,-0.003
15,2,2015,5,-0.003
16,2,2015,5,-0.003
17,2,2015,5,-0.003
18,2,2015,5,-0.003
19,2,2015,5,-0.003
20,2,2015,5,-0.003
21,2,2015,5,-0.003
22,2,2015,5,-0.003
23,2,2015,5,-0.003
24,2,2015,5,-0.003
25,3,2015,8,-0.013
26,3,2015,8,-0.013
27,3,2015,8,-0.013
28,3,2015,8,-0.013
29,3,2015,8,-0.013
30,3,2015,8,-0.013
31,3,2015,8,-0.013
32,3,2015,8,-0.013
33,3,2015,8,-0.013
34,3,2015,8,-0.013
35,3,2015,8,-0.013
36,3,2015,8,-0.013
37,4,2015,11,-0.011
38,4,2015,11,-0.011
39,4,2015,11,-0.011
40,4,2015,11,-0.011
41,4,2015,11,-0.011
42,4,2015,11,-0.011
43,4,2015,11,-0.011
44,4,2015,11,-0.011
45,4,2015,11,-0.011
46,4,2015,11,-0.011
47,4,2015,11,-0.011
48,4,2015,11,-0.011
49,5,2015,14,-0.013
50,5,2015,14,-0.013
51,5,2015,14,-0.013
52,5,2015,14,-0.013
53,5,2015,14,-0.013
54,5,2015,14,-0.013
55,5,2015,14,-0.013
56,5,2015,14,-0.013
57,5,2015,14,-0.013
58,5,2015,14,-0.013
59,5,2015,14,-0.013
60,5,2015,14,-0.013
61,6,2015,17,-0.003
62,6,2015,17,-0.003
63,6,2015,17,-0.003
64,6,2015,17,-0.003
65,6,2015,17,-0.003
66,6,2015,17,-0.003
67,6,2015,17,-0.003
68,6,2015,17,-0.003
69,6,2015,17,-0.003
70,6,2015,17,-0.003
71,6,2015,17,-0.003
72,6,2015,17,-0.003
73,7,2015,20,-0.009
74,7,2015,20,-0.009
75,7,2015,20,-0.009
76,7,2015,20,-0.009
77,7,2015,20,-0.009
78,7,2015,20,-0.009
