threeday_yrmo,threeday_yr,year,dayofyear,varmixing_m
1,1,2015,2,16.6
2,1,2015,2,16.6
3,1,2015,2,16.6
4,1,2015,2,16.6
5,1,2015,2,16.6
6,1,2015,2,16.6
7,1,2015,2,16.6
8,1,2015,2,16.6
9,1,2015,2,16.6
10,1,2015,2,16.6
11,1,2015,2,16.6
12,1,2015,2,16.6
13,2,2015,5,19.2
14,2,2015,5,19.2
15,2,2015,5,19.2
16,2,2015,5,19.2
17,2,2015,5,19.2
18,2,2015,5,19.2
19,2,2015,5,19.2
20,2,2015,5,19.2
21,2,2015,5,19.2
22,2,2015,5,19.2
23,2,2015,5,19.2
24,2,2015,5,19.2
25,3,2015,8,18.0
26,3,2015,8,18.0
27,3,2015,8,18.0
28,3,2015,8,18.0
29,3,2015,8,18.0
30,3,2015,8,18.0
31,3,2015,8,18.0
32,3,2015,8,18.0
33,3,2015,8,18.0
34,3,2015,8,18.0
35,3,2015,8,18.0
36,3,2015,8,18.0
37,4,2015,11,14.6
38,4,2015,11,14.6
39,4,2015,11,14.6
40,4,2015,11,14.6
41,4,2015,11,14.6
42,4,2015,11,14.6
43,4,2015,11,14.6
44,4,2015,11,14.6
45,4,2015,11,14.6
46,4,2015,11,14.6
47,4,2015,11,14.6
48,4,2015,11,14.6
49,5,2015,14,12.7
50,5,2015,14,12.7
51,5,2015,14,12.7
52,5,2015,14,12.7
53,5,2015,14,12.7
54,5,2015,14,12.7
55,5,2015,14,12.7
56,5,2015,14,12.7
57,5,2015,14,12.7
58,5,2015,14,12.7
59,5,2015,14,12.7
60,5,2015,14,12.7
61,6,2015,17,15.0
62,6,2015,17,15.0
63,6,2015,17,15.0
64,6,2015,17,15.0
65,6,2015,17,15.0
66,6,2015,17,15.0
67,6,2015,17,15.0
68,6,2015,17,15.0
69,6,2015,17,15.0
70,6,2015,17,15.0
71,6,2015,17,15.0
72,6,2015,17,15.0
73,7,2015,20,18.4
74,7,2015,20,18.4
75,7,2015,20,18.4
76,7,2015,20,18.4
77,7,2015,20,18.4
78,7,2015,20,18.4
79,7,2015,20,18.4
80,7,2015,20,18.4
81,7,2015,20,18.4
82,7,2015,20,18.4
83,7,2015,20,18.4
84,7,2015,20,18.4
85,8,2015,23,20.0
86,8,2015,23,20.0
87,8,2015,23,20.0
88,8,2015,23,20.0
89,8,2015,23,20.0
90,8,2015,23,20.0
91,8,2015,23,20.0
92,8,2015,23,20.0
93,8,2015,23,20.0
94,8,2015,23,20.0
95,8,2015,23,20.0
96,8,2015,23,20.0
97,9,2015,26,17.9
98,9,2015,26,17.9
99,9,2015,26,17.9
100,9,2015,26,17.9
101,9,2015,26,17.9
102,9,2015,26,17.9
103,9,2015,26,17.9
104,9,2015,26,17.9
105,9,2015,26,17.9
106,9,2015,26,17.9
107,9,2015,26,17.9
108,9,2015,26,17.9
109,10,2015,29,15.4
110,10,2015,29,15.4
111,10,2015,29,15.4
112,10,2015,29,15.4
113,10,2015,29,15.4
114,10,2015,29,15.4
115,10,2015,29,15.4
116,10,2015,29,15.4
117,10,2015,29,15.4
118,10,2015,29,15.4
119,10,2015,29,15.4
120,10,2015,29,15.4
121,11,2015,32,15.7
122,11,2015,32,15.7
123,11,2015,32,15.7
124,11,2015,32,15.7
125,11,2015,32,15.7
126,11,2015,32,15.7
127,11,2015,32,15.7
128,11,2015,32,15.7
129,11,2015,32,15.7
130,11,2015,32,15.7
131,11,2015,32,15.7
132,11,2015,32,15.7
133,12,2015,35,16.8
134,12,2015,35,16.8
135,12,2015,35,16.8
136,12,2015,35,16.8
137,12,2015,35,16.8
138,12,2015,35,16.8
139,12,2015,35,16.8
140,12,2015,35,16.8
141,12,2015,35,16.8
142,12,2015,35,16.8
143,12,2015,35,16.8
144,12,2015,35,16.8
145,13,2015,38,17.3
146,13,2015,38,17.3
147,13,2015,38,17.3
148,13,2015,38,17.3
149,13,2015,38,17.3
150,13,2015,38,17.3
151,13,2015,38,17.3
152,13,2015,38,17.3
153,13,2015,38,17.3
