threeday_yrmo,threeday_yr,year,dayofyear,varsalt1_PSU_0-10mAvg
1,1,2015,2,26.7
2,1,2015,2,26.7
3,1,2015,2,26.7
4,1,2015,2,26.7
5,1,2015,2,26.7
6,1,2015,2,26.7
7,1,2015,2,26.7
8,1,2015,2,26.7
9,1,2015,2,26.7
10,1,2015,2,26.7
11,1,2015,2,26.7
12,1,2015,2,26.7
13,2,2015,5,26.7
14,2,2015,5,26.7
15,2,2015,5,26.7
16,2,2015,5,26.7
17,2,2015,5,26.7
18,2,2015,5,26.7
19,2,2015,5,26.7
20,2,2015,5,26.7
21,2,2015,5,26.7
22,2,2015,5,26.7
23,2,2015,5,26.7
24,2,2015,5,26.7
25,3,2015,8,26.7
26,3,2015,8,26.7
27,3,2015,8,26.7
28,3,2015,8,26.7
29,3,2015,8,26.7
30,3,2015,8,26.7
31,3,2015,8,26.7
32,3,2015,8,26.7
33,3,2015,8,26.7
34,3,2015,8,26.7
35,3,2015,8,26.7
36,3,2015,8,26.7
37,4,2015,11,26.6
38,4,2015,11,26.6
39,4,2015,11,26.6
40,4,2015,11,26.6
41,4,2015,11,26.6
42,4,2015,11,26.6
43,4,2015,11,26.6
44,4,2015,11,26.6
45,4,2015,11,26.6
46,4,2015,11,26.6
47,4,2015,11,26.6
48,4,2015,11,26.6
49,5,2015,14,26.5
50,5,2015,14,26.5
51,5,2015,14,26.5
52,5,2015,14,26.5
53,5,2015,14,26.5
54,5,2015,14,26.5
55,5,2015,14,26.5
56,5,2015,14,26.5
57,5,2015,14,26.5
58,5,2015,14,26.5
59,5,2015,14,26.5
60,5,2015,14,26.5
61,6,2015,17,26.6
62,6,2015,17,26.6
63,6,2015,17,26.6
64,6,2015,17,26.6
65,6,2015,17,26.6
66,6,2015,17,26.6
67,6,2015,17,26.6
68,6,2015,17,26.6
69,6,2015,17,26.6
70,6,2015,17,26.6
71,6,2015,17,26.6
72,6,2015,17,26.6
73,7,2015,20,26.7
74,7,2015,20,26.7
75,7,2015,20,26.7
76,7,2015,20,26.7
77,7,2015,20,26.7
78,7,2015,20,26.7
79,7,2015,20,26.7
80,7,2015,20,26.7
81,7,2015,20,26.7
82,7,2015,20,26.7
83,7,2015,20,26.7
84,7,2015,20,26.7
85,8,2015,23,26.7
86,8,2015,23,26.7
87,8,2015,23,26.7
88,8,2015,23,26.7
89,8,2015,23,26.7
90,8,2015,23,26.7
91,8,2015,23,26.7
92,8,2015,23,26.7
93,8,2015,23,26.7
94,8,2015,23,26.7
95,8,2015,23,26.7
96,8,2015,23,26.7
97,9,2015,26,26.7
98,9,2015,26,26.7
99,9,2015,26,26.7
100,9,2015,26,26.7
101,9,2015,26,26.7
102,9,2015,26,26.7
103,9,2015,26,26.7
104,9,2015,26,26.7
105,9,2015,26,26.7
106,9,2015,26,26.7
107,9,2015,26,26.7
108,9,2015,26,26.7
109,10,2015,29,26.6
110,10,2015,29,26.6
111,10,2015,29,26.6
112,10,2015,29,26.6
113,10,2015,29,26.6
114,10,2015,29,26.6
115,10,2015,29,26.6
116,10,2015,29,26.6
117,10,2015,29,26.6
118,10,2015,29,26.6
119,10,2015,29,26.6
120,10,2015,29,26.6
121,11,2015,32,26.6
122,11,2015,32,26.6
123,11,2015,32,26.6
124,11,2015,32,26.6
125,11,2015,32,26.6
126,11,2015,32,26.6
127,11,2015,32,26.6
128,11,2015,32,26.6
129,11,2015,32,26.6
130,11,2015,32,26.6
131,11,2015,32,26.6
132,11,2015,32,26.6
133,12,2015,35,26.7
134,12,2015,35,26.7
135,12,2015,35,26.7
136,12,2015,35,26.7
137,12,2015,35,26.7
138,12,2015,35,26.7
139,12,2015,35,26.7
140,12,2015,35,26.7
141,12,2015,35,26.7
142,12,2015,35,26.7
143,12,2015,35,26.7
144,12,2015,35,26.7
145,13,2015,38,26.7
146,13,2015,38,26.7
147,13,2015,38,26.7
148,13,2015,38,26.7
149,13,2015,38,26.7
150,13,2015,38,26.7
