threeday_yrmo,threeday_yr,year,dayofyear,varsalt2_PSU_0-4m
1,1,2015,2,27.8
2,1,2015,2,27.8
3,1,2015,2,27.8
4,1,2015,2,27.8
5,1,2015,2,27.8
6,1,2015,2,27.8
7,1,2015,2,27.8
8,1,2015,2,27.8
9,1,2015,2,27.8
10,1,2015,2,27.8
11,1,2015,2,27.8
12,1,2015,2,27.8
13,2,2015,5,27.7
14,2,2015,5,27.7
15,2,2015,5,27.7
16,2,2015,5,27.7
17,2,2015,5,27.7
18,2,2015,5,27.7
19,2,2015,5,27.7
20,2,2015,5,27.7
21,2,2015,5,27.7
22,2,2015,5,27.7
23,2,2015,5,27.7
24,2,2015,5,27.7
25,3,2015,8,27.8
26,3,2015,8,27.8
27,3,2015,8,27.8
28,3,2015,8,27.8
29,3,2015,8,27.8
30,3,2015,8,27.8
31,3,2015,8,27.8
32,3,2015,8,27.8
33,3,2015,8,27.8
34,3,2015,8,27.8
35,3,2015,8,27.8
36,3,2015,8,27.8
37,4,2015,11,27.8
38,4,2015,11,27.8
39,4,2015,11,27.8
40,4,2015,11,27.8
41,4,2015,11,27.8
42,4,2015,11,27.8
43,4,2015,11,27.8
44,4,2015,11,27.8
45,4,2015,11,27.8
46,4,2015,11,27.8
47,4,2015,11,27.8
48,4,2015,11,27.8
49,5,2015,14,27.8
50,5,2015,14,27.8
51,5,2015,14,27.8
52,5,2015,14,27.8
53,5,2015,14,27.8
54,5,2015,14,27.8
55,5,2015,14,27.8
56,5,2015,14,27.8
57,5,2015,14,27.8
58,5,2015,14,27.8
59,5,2015,14,27.8
60,5,2015,14,27.8
61,6,2015,17,27.6
62,6,2015,17,27.6
63,6,2015,17,27.6
64,6,2015,17,27.6
65,6,2015,17,27.6
66,6,2015,17,27.6
67,6,2015,17,27.6
68,6,2015,17,27.6
69,6,2015,17,27.6
70,6,2015,17,27.6
71,6,2015,17,27.6
72,6,2015,17,27.6
73,7,2015,20,27.7
74,7,2015,20,27.7
