threeday_yrmo,threeday_yr,year,dayofyear,vartemp1_C_0-10mAvg
1,1,2015,2,7.4
2,1,2015,2,7.4
3,1,2015,2,7.4
4,1,2015,2,7.4
5,1,2015,2,7.4
6,1,2015,2,7.4
7,1,2015,2,7.4
8,1,2015,2,7.4
9,1,2015,2,7.4
10,1,2015,2,7.4
11,1,2015,2,7.4
12,1,2015,2,7.4
13,2,2015,5,7.4
14,2,2015,5,7.4
15,2,2015,5,7.4
16,2,2015,5,7.4
17,2,2015,5,7.4
18,2,2015,5,7.4
19,2,2015,5,7.4
20,2,2015,5,7.4
21,2,2015,5,7.4
22,2,2015,5,7.4
23,2,2015,5,7.4
24,2,2015,5,7.4
25,3,2015,8,7.5
26,3,2015,8,7.5
27,3,2015,8,7.5
28,3,2015,8,7.5
29,3,2015,8,7.5
30,3,2015,8,7.5
31,3,2015,8,7.5
32,3,2015,8,7.5
33,3,2015,8,7.5
34,3,2015,8,7.5
35,3,2015,8,7.5
36,3,2015,8,7.5
37,4,2015,11,7.5
38,4,2015,11,7.5
39,4,2015,11,7.5
40,4,2015,11,7.5
41,4,2015,11,7.5
42,4,2015,11,7.5
43,4,2015,11,7.5
44,4,2015,11,7.5
45,4,2015,11,7.5
46,4,2015,11,7.5
47,4,2015,11,7.5
48,4,2015,11,7.5
49,5,2015,14,7.5
50,5,2015,14,7.5
51,5,2015,14,7.5
52,5,2015,14,7.5
53,5,2015,14,7.5
54,5,2015,14,7.5
55,5,2015,14,7.5
56,5,2015,14,7.5
57,5,2015,14,7.5
58,5,2015,14,7.5
59,5,2015,14,7.5
60,5,2015,14,7.5
61,6,2015,17,7.5
62,6,2015,17,7.5
63,6,2015,17,7.5
64,6,2015,17,7.5
65,6,2015,17,7.5
66,6,2015,17,7.5
67,6,2015,17,7.5
68,6,2015,17,7.5
69,6,2015,17,7.5
70,6,2015,17,7.5
71,6,2015,17,7.5
72,6,2015,17,7.5
73,7,2015,20,7.5
74,7,2015,20,7.5
75,7,2015,20,7.5
76,7,2015,20,7.5
77,7,2015,20,7.5
78,7,2015,20,7.5
79,7,2015,20,7.5
80,7,2015,20,7.5
81,7,2015,20,7.5
82,7,2015,20,7.5
83,7,2015,20,7.5
84,7,2015,20,7.5
85,8,2015,23,7.6
86,8,2015,23,7.6
87,8,2015,23,7.6
88,8,2015,23,7.6
89,8,2015,23,7.6
90,8,2015,23,7.6
91,8,2015,23,7.6
92,8,2015,23,7.6
93,8,2015,23,7.6
94,8,2015,23,7.6
95,8,2015,23,7.6
96,8,2015,23,7.6
97,9,2015,26,7.7
98,9,2015,26,7.7
99,9,2015,26,7.7
100,9,2015,26,7.7
101,9,2015,26,7.7
102,9,2015,26,7.7
103,9,2015,26,7.7
104,9,2015,26,7.7
105,9,2015,26,7.7
106,9,2015,26,7.7
107,9,2015,26,7.7
108,9,2015,26,7.7
109,10,2015,29,7.8
110,10,2015,29,7.8
111,10,2015,29,7.8
112,10,2015,29,7.8
113,10,2015,29,7.8
114,10,2015,29,7.8
115,10,2015,29,7.8
116,10,2015,29,7.8
117,10,2015,29,7.8
118,10,2015,29,7.8
119,10,2015,29,7.8
120,10,2015,29,7.8
121,11,2015,32,7.7
122,11,2015,32,7.7
123,11,2015,32,7.7
124,11,2015,32,7.7
125,11,2015,32,7.7
126,11,2015,32,7.7
127,11,2015,32,7.7
128,11,2015,32,7.7
129,11,2015,32,7.7
130,11,2015,32,7.7
131,11,2015,32,7.7
132,11,2015,32,7.7
133,12,2015,35,7.8
134,12,2015,35,7.8
135,12,2015,35,7.8
136,12,2015,35,7.8
137,12,2015,35,7.8
138,12,2015,35,7.8
139,12,2015,35,7.8
140,12,2015,35,7.8
141,12,2015,35,7.8
142,12,2015,35,7.8
143,12,2015,35,7.8
144,12,2015,35,7.8
145,13,2015,38,8.0
146,13,2015,38,8.0
147,13,2015,38,8.0
148,13,2015,38,8.0
149,13,2015,38,8.0
150,13,2015,38,8.0
151,13,2015,38,8.0
152,13,2015,38,8.0
153,13,2015,38,8.0
154,13,2015,38,8.0
155,13,2015,38,8.0
156,13,2015,38,8.0
157,14,2015,41,8.0
158,14,2015,41,8.0
159,14,2015,41,8.0
160,14,2015,41,8.0
161,14,2015,41,8.0
162,14,2015,41,8.0
163,14,2015,41,8.0
164,14,2015,41,8.0
165,14,2015,41,8.0
166,14,2015,41,8.0
167,14,2015,41,8.0
168,14,2015,41,8.0
169,15,2015,44,8.1
170,15,2015,44,8.1
171,15,2015,44,8.1
172,15,2015,44,8.1
173,15,2015,44,8.1
174,15,2015,44,8.1
175,15,2015,44,8.1
176,15,2015,44,8.1
177,15,2015,44,8.1
178,15,2015,44,8.1
179,15,2015,44,8.1
180,15,2015,44,8.1
181,16,2015,47,8.1
182,16,2015,47,8.1
183,16,2015,47,8.1
184,16,2015,47,8.1
185,16,2015,47,8.1
186,16,2015,47,8.1
187,16,2015,47,8.1
188,16,2015,47,8.1
189,16,2015,47,8.1
190,16,2015,47,8.1
191,16,2015,47,8.1
192,16,2015,47,8.1
193,17,2015,50,8.1
194,17,2015,50,8.1
195,17,2015,50,8.1
196,17,2015,50,8.1
197,17,2015,50,8.1
198,17,2015,50,8.1
199,17,2015,50,8.1
200,17,2015,50,8.1
201,17,2015,50,8.1
202,17,2015,50,8.1
203,17,2015,50,8.1
204,17,2015,50,8.1
205,18,2015,53,8.2
206,18,2015,53,8.2
207,18,2015,53,8.2
208,18,2015,53,8.2
209,18,2015,53,8.2
210,18,2015,53,8.2
211,18,2015,53,8.2
212,18,2015,53,8.2
213,18,2015,53,8.2
214,18,2015,53,8.2
215,18,2015,53,8.2
216,18,2015,53,8.2
217,19,2015,56,8.2
218,19,2015,56,8.2
219,19,2015,56,8.2
220,19,2015,56,8.2
221,19,2015,56,8.2
222,19,2015,56,8.2
223,19,2015,56,8.2
224,19,2015,56,8.2
225,19,2015,56,8.2
226,19,2015,56,8.2
227,19,2015,56,8.2
228,19,2015,56,8.2
229,20,2015,59,8.2
230,20,2015,59,8.2
231,20,2015,59,8.2
232,20,2015,59,8.2
233,20,2015,59,8.2
234,20,2015,59,8.2
235,20,2015,59,8.2
236,20,2015,59,8.2
237,20,2015,59,8.2
238,20,2015,59,8.2
239,20,2015,59,8.2
240,20,2015,59,8.2
241,21,2015,62,8.1
242,21,2015,62,8.1
243,21,2015,62,8.1
244,21,2015,62,8.1
245,21,2015,62,8.1
246,21,2015,62,8.1
247,21,2015,62,8.1
248,21,2015,62,8.1
249,21,2015,62,8.1
250,21,2015,62,8.1
251,21,2015,62,8.1
252,21,2015,62,8.1
253,22,2015,65,8.2
254,22,2015,65,8.2
255,22,2015,65,8.2
256,22,2015,65,8.2
257,22,2015,65,8.2
258,22,2015,65,8.2
259,22,2015,65,8.2
260,22,2015,65,8.2
261,22,2015,65,8.2
262,22,2015,65,8.2
263,22,2015,65,8.2
264,22,2015,65,8.2
265,23,2015,68,8.4
266,23,2015,68,8.4
267,23,2015,68,8.4
268,23,2015,68,8.4
269,23,2015,68,8.4
270,23,2015,68,8.4
271,23,2015,68,8.4
272,23,2015,68,8.4
273,23,2015,68,8.4
274,23,2015,68,8.4
275,23,2015,68,8.4
276,23,2015,68,8.4
277,24,2015,71,8.6
278,24,2015,71,8.6
279,24,2015,71,8.6
280,24,2015,71,8.6
281,24,2015,71,8.6
282,24,2015,71,8.6
283,24,2015,71,8.6
284,24,2015,71,8.6
285,24,2015,71,8.6
286,24,2015,71,8.6
287,24,2015,71,8.6
288,24,2015,71,8.6
289,25,2015,74,8.7
