threeday_yrmo,threeday_yr,year,dayofyear,vartemp2_C_0-4m
1,1,2015,2,7.9
2,1,2015,2,7.9
3,1,2015,2,7.9
4,1,2015,2,7.9
5,1,2015,2,7.9
6,1,2015,2,7.9
7,1,2015,2,7.9
8,1,2015,2,7.9
9,1,2015,2,7.9
10,1,2015,2,7.9
11,1,2015,2,7.9
12,1,2015,2,7.9
13,2,2015,5,7.7
14,2,2015,5,7.7
15,2,2015,5,7.7
16,2,2015,5,7.7
17,2,2015,5,7.7
18,2,2015,5,7.7
19,2,2015,5,7.7
20,2,2015,5,7.7
21,2,2015,5,7.7
22,2,2015,5,7.7
23,2,2015,5,7.7
24,2,2015,5,7.7
25,3,2015,8,7.8
26,3,2015,8,7.8
27,3,2015,8,7.8
28,3,2015,8,7.8
29,3,2015,8,7.8
30,3,2015,8,7.8
31,3,2015,8,7.8
32,3,2015,8,7.8
33,3,2015,8,7.8
34,3,2015,8,7.8
35,3,2015,8,7.8
36,3,2015,8,7.8
37,4,2015,11,7.9
38,4,2015,11,7.9
39,4,2015,11,7.9
40,4,2015,11,7.9
41,4,2015,11,7.9
42,4,2015,11,7.9
43,4,2015,11,7.9
44,4,2015,11,7.9
45,4,2015,11,7.9
46,4,2015,11,7.9
47,4,2015,11,7.9
48,4,2015,11,7.9
49,5,2015,14,7.9
50,5,2015,14,7.9
51,5,2015,14,7.9
52,5,2015,14,7.9
53,5,2015,14,7.9
54,5,2015,14,7.9
55,5,2015,14,7.9
56,5,2015,14,7.9
57,5,2015,14,7.9
58,5,2015,14,7.9
59,5,2015,14,7.9
60,5,2015,14,7.9
61,6,2015,17,7.8
62,6,2015,17,7.8
63,6,2015,17,7.8
64,6,2015,17,7.8
65,6,2015,17,7.8
66,6,2015,17,7.8
67,6,2015,17,7.8
68,6,2015,17,7.8
69,6,2015,17,7.8
70,6,2015,17,7.8
71,6,2015,17,7.8
72,6,2015,17,7.8
73,7,2015,20,7.8
74,7,2015,20,7.8
75,7,2015,20,7.8
76,7,2015,20,7.8
77,7,2015,20,7.8
78,7,2015,20,7.8
79,7,2015,20,7.8
80,7,2015,20,7.8
81,7,2015,20,7.8
82,7,2015,20,7.8
83,7,2015,20,7.8
84,7,2015,20,7.8
85,8,2015,23,7.9
86,8,2015,23,7.9
87,8,2015,23,7.9
88,8,2015,23,7.9
89,8,2015,23,7.9
90,8,2015,23,7.9
91,8,2015,23,7.9
92,8,2015,23,7.9
93,8,2015,23,7.9
94,8,2015,23,7.9
95,8,2015,23,7.9
96,8,2015,23,7.9
97,9,2015,26,8.0
98,9,2015,26,8.0
99,9,2015,26,8.0
100,9,2015,26,8.0
101,9,2015,26,8.0
102,9,2015,26,8.0
103,9,2015,26,8.0
104,9,2015,26,8.0
105,9,2015,26,8.0
106,9,2015,26,8.0
107,9,2015,26,8.0
108,9,2015,26,8.0
109,10,2015,29,8.1
110,10,2015,29,8.1
111,10,2015,29,8.1
112,10,2015,29,8.1
113,10,2015,29,8.1
