threeday_yrmo,threeday_yr,year,dayofyear,varupwelZ1_mmsec_4-12mAvg
1,1,2015,2,8e-05
2,1,2015,2,8e-05
3,1,2015,2,8e-05
4,1,2015,2,8e-05
5,1,2015,2,8e-05
6,1,2015,2,8e-05
7,1,2015,2,8e-05
8,1,2015,2,8e-05
9,1,2015,2,8e-05
10,1,2015,2,8e-05
11,1,2015,2,8e-05
12,1,2015,2,8e-05
13,2,2015,5,2e-05
14,2,2015,5,2e-05
15,2,2015,5,2e-05
16,2,2015,5,2e-05
17,2,2015,5,2e-05
18,2,2015,5,2e-05
19,2,2015,5,2e-05
20,2,2015,5,2e-05
21,2,2015,5,2e-05
22,2,2015,5,2e-05
23,2,2015,5,2e-05
24,2,2015,5,2e-05
25,3,2015,8,3e-05
26,3,2015,8,3e-05
27,3,2015,8,3e-05
28,3,2015,8,3e-05
29,3,2015,8,3e-05
30,3,2015,8,3e-05
31,3,2015,8,3e-05
32,3,2015,8,3e-05
33,3,2015,8,3e-05
34,3,2015,8,3e-05
35,3,2015,8,3e-05
36,3,2015,8,3e-05
37,4,2015,11,3e-05
38,4,2015,11,3e-05
39,4,2015,11,3e-05
40,4,2015,11,3e-05
41,4,2015,11,3e-05
42,4,2015,11,3e-05
43,4,2015,11,3e-05
44,4,2015,11,3e-05
45,4,2015,11,3e-05
46,4,2015,11,3e-05
47,4,2015,11,3e-05
48,4,2015,11,3e-05
49,5,2015,14,6e-05
50,5,2015,14,6e-05
51,5,2015,14,6e-05
52,5,2015,14,6e-05
53,5,2015,14,6e-05
54,5,2015,14,6e-05
55,5,2015,14,6e-05
56,5,2015,14,6e-05
57,5,2015,14,6e-05
58,5,2015,14,6e-05
59,5,2015,14,6e-05
60,5,2015,14,6e-05
61,6,2015,17,8e-05
62,6,2015,17,8e-05
63,6,2015,17,8e-05
64,6,2015,17,8e-05
65,6,2015,17,8e-05
66,6,2015,17,8e-05
67,6,2015,17,8e-05
68,6,2015,17,8e-05
69,6,2015,17,8e-05
70,6,2015,17,8e-05
71,6,2015,17,8e-05
72,6,2015,17,8e-05
73,7,2015,20,6e-05
74,7,2015,20,6e-05
75,7,2015,20,6e-05
76,7,2015,20,6e-05
77,7,2015,20,6e-05
78,7,2015,20,6e-05
79,7,2015,20,6e-05
80,7,2015,20,6e-05
81,7,2015,20,6e-05
82,7,2015,20,6e-05
83,7,2015,20,6e-05
84,7,2015,20,6e-05
85,8,2015,23,0.0
86,8,2015,23,0.0
87,8,2015,23,0.0
88,8,2015,23,0.0
89,8,2015,23,0.0
90,8,2015,23,0.0
91,8,2015,23,0.0
92,8,2015,23,0.0
93,8,2015,23,0.0
94,8,2015,23,0.0
95,8,2015,23,0.0
96,8,2015,23,0.0
97,9,2015,26,2e-05
98,9,2015,26,2e-05
99,9,2015,26,2e-05
100,9,2015,26,2e-05
101,9,2015,26,2e-05
102,9,2015,26,2e-05
103,9,2015,26,2e-05
104,9,2015,26,2e-05
105,9,2015,26,2e-05
106,9,2015,26,2e-05
107,9,2015,26,2e-05
108,9,2015,26,2e-05
109,10,2015,29,6e-05
110,10,2015,29,6e-05
111,10,2015,29,6e-05
112,10,2015,29,6e-05
113,10,2015,29,6e-05
114,10,2015,29,6e-05
115,10,2015,29,6e-05
116,10,2015,29,6e-05
117,10,2015,29,6e-05
118,10,2015,29,6e-05
119,10,2015,29,6e-05
120,10,2015,29,6e-05
121,11,2015,32,8e-05
122,11,2015,32,8e-05
123,11,2015,32,8e-05
124,11,2015,32,8e-05
125,11,2015,32,8e-05
126,11,2015,32,8e-05
127,11,2015,32,8e-05
128,11,2015,32,8e-05
129,11,2015,32,8e-05
130,11,2015,32,8e-05
131,11,2015,32,8e-05
132,11,2015,32,8e-05
133,12,2015,35,3e-05
134,12,2015,35,3e-05
135,12,2015,35,3e-05
136,12,2015,35,3e-05
137,12,2015,35,3e-05
138,12,2015,35,3e-05
139,12,2015,35,3e-05
140,12,2015,35,3e-05
141,12,2015,35,3e-05
142,12,2015,35,3e-05
143,12,2015,35,3e-05
144,12,2015,35,3e-05
145,13,2015,38,-1e-05
146,13,2015,38,-1e-05
147,13,2015,38,-1e-05
148,13,2015,38,-1e-05
149,13,2015,38,-1e-05
150,13,2015,38,-1e-05
151,13,2015,38,-1e-05
152,13,2015,38,-1e-05
153,13,2015,38,-1e-05
154,13,2015,38,-1e-05
155,13,2015,38,-1e-05
156,13,2015,38,-1e-05
157,14,2015,41,-0.0
158,14,2015,41,-0.0
159,14,2015,41,-0.0
160,14,2015,41,-0.0
161,14,2015,41,-0.0
162,14,2015,41,-0.0
163,14,2015,41,-0.0
164,14,2015,41,-0.0
165,14,2015,41,-0.0
166,14,2015,41,-0.0
167,14,2015,41,-0.0
168,14,2015,41,-0.0
169,15,2015,44,4e-05
170,15,2015,44,4e-05
171,15,2015,44,4e-05
172,15,2015,44,4e-05
173,15,2015,44,4e-05
174,15,2015,44,4e-05
175,15,2015,44,4e-05
176,15,2015,44,4e-05
177,15,2015,44,4e-05
178,15,2015,44,4e-05
179,15,2015,44,4e-05
180,15,2015,44,4e-05
181,16,2015,47,8e-05
182,16,2015,47,8e-05
183,16,2015,47,8e-05
184,16,2015,47,8e-05
185,16,2015,47,8e-05
186,16,2015,47,8e-05
187,16,2015,47,8e-05
188,16,2015,47,8e-05
189,16,2015,47,8e-05
190,16,2015,47,8e-05
191,16,2015,47,8e-05
192,16,2015,47,8e-05
193,17,2015,50,3e-05
194,17,2015,50,3e-05
195,17,2015,50,3e-05
196,17,2015,50,3e-05
197,17,2015,50,3e-05
198,17,2015,50,3e-05
199,17,2015,50,3e-05
200,17,2015,50,3e-05
201,17,2015,50,3e-05
202,17,2015,50,3e-05
203,17,2015,50,3e-05
204,17,2015,50,3e-05
205,18,2015,53,-3e-05
206,18,2015,53,-3e-05
207,18,2015,53,-3e-05
208,18,2015,53,-3e-05
209,18,2015,53,-3e-05
210,18,2015,53,-3e-05
211,18,2015,53,-3e-05
212,18,2015,53,-3e-05
213,18,2015,53,-3e-05
214,18,2015,53,-3e-05
215,18,2015,53,-3e-05
216,18,2015,53,-3e-05
217,19,2015,56,1e-05
218,19,2015,56,1e-05
219,19,2015,56,1e-05
220,19,2015,56,1e-05
221,19,2015,56,1e-05
222,19,2015,56,1e-05
223,19,2015,56,1e-05
224,19,2015,56,1e-05
225,19,2015,56,1e-05
226,19,2015,56,1e-05
227,19,2015,56,1e-05
228,19,2015,56,1e-05
229,20,2015,59,5e-05
230,20,2015,59,5e-05
231,20,2015,59,5e-05
232,20,2015,59,5e-05
233,20,2015,59,5e-05
234,20,2015,59,5e-05
235,20,2015,59,5e-05
236,20,2015,59,5e-05
237,20,2015,59,5e-05
238,20,2015,59,5e-05
239,20,2015,59,5e-05
240,20,2015,59,5e-05
241,21,2015,62,4e-05
242,21,2015,62,4e-05
243,21,2015,62,4e-05
244,21,2015,62,4e-05
245,21,2015,62,4e-05
246,21,2015,62,4e-05
247,21,2015,62,4e-05
248,21,2015,62,4e-05
249,21,2015,62,4e-05
250,21,2015,62,4e-05
251,21,2015,62,4e-05
252,21,2015,62,4e-05
253,22,2015,65,0.0
