,Stock,Year,season,2,3,4,5,Name,Cons Units,area,runtype,juve_behav
0,FCF,1979,fall,5892.6,3458.6,994.6,73.6,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
1,FCF,1979,spring,3857.9,1130.4,151.3,-0.9,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
2,FCF,1979,summer,4493.7,2059.0,503.5,31.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
3,FCF,1979,winter,4409.0,1291.8,172.9,-1.0,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
4,FCF,1980,fall,5899.4,3481.2,984.0,73.3,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
5,FCF,1980,spring,3782.2,1070.5,128.5,-2.2,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
6,FCF,1980,summer,4458.0,2038.1,487.3,30.3,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
7,FCF,1980,winter,4322.5,1223.4,146.8,-2.5,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
8,FCF,1981,fall,8955.1,3311.7,943.2,69.3,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
9,FCF,1981,spring,5933.1,1247.8,175.3,0.7,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
10,FCF,1981,summer,6865.0,2056.0,493.7,30.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
11,FCF,1981,winter,6780.7,1426.0,200.3,0.8,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
12,FCF,1982,fall,5103.8,4952.9,912.5,67.8,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
13,FCF,1982,spring,3452.8,2088.6,206.1,2.6,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
14,FCF,1982,summer,3949.0,3188.3,496.2,30.4,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
15,FCF,1982,winter,3946.0,2386.9,235.6,2.9,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
16,FCF,1983,fall,19391.3,2870.5,1414.6,67.0,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
17,FCF,1983,spring,12982.7,1173.8,300.6,2.7,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
18,FCF,1983,summer,14934.4,1829.1,759.6,30.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
19,FCF,1983,winter,14837.3,1341.5,343.5,3.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
20,FCF,1984,fall,26168.8,10254.1,555.9,32.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
21,FCF,1984,spring,18143.8,4804.6,125.6,1.8,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
22,FCF,1984,summer,20472.2,6845.9,302.4,14.6,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
23,FCF,1984,winter,20735.8,5491.0,143.5,2.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
24,FCF,1985,fall,79221.9,14302.5,2317.6,12.3,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
25,FCF,1985,spring,58647.2,8173.1,673.1,0.4,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
26,FCF,1985,summer,63874.3,10299.6,1336.7,5.4,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
27,FCF,1985,winter,67025.4,9340.7,769.3,0.5,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
28,FCF,1986,fall,87797.6,43989.6,6657.3,499.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
29,FCF,1986,spring,64839.0,25368.8,1594.6,7.3,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
30,FCF,1986,summer,70708.7,31795.9,3666.7,217.6,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
31,FCF,1986,winter,74101.7,28992.9,1822.4,8.4,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
32,FCF,1987,fall,2423.5,48707.9,21757.2,1084.5,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
33,FCF,1987,spring,1710.7,27847.7,3983.2,16.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
34,FCF,1987,summer,1911.4,35082.8,11356.8,473.0,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
35,FCF,1987,winter,1955.1,31826.0,4552.2,18.4,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
36,FCF,1988,fall,12411.9,1250.5,24760.5,1745.7,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
37,FCF,1988,spring,9168.4,723.1,5089.3,36.0,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
38,FCF,1988,summer,9997.1,904.9,13208.2,766.6,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
39,FCF,1988,winter,10478.2,826.4,5816.3,41.1,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
40,FCF,1989,fall,28151.9,7214.8,623.4,1186.3,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
41,FCF,1989,spring,19965.1,3511.0,112.2,30.4,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
42,FCF,1989,summer,22251.4,4883.4,324.4,524.0,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
43,FCF,1989,winter,22817.3,4012.6,128.2,34.7,Chilliwack Fall Hatchery,CK-9008/ CK-03,fraser,fall,ocean
