threeday_yrmo,threeday_yr,year,dayofyear,ewe_nutr_loading
1,1,1978,2,1.29
2,2,1978,5,1.22
3,3,1978,8,1.26
4,4,1978,11,1.25
5,5,1978,14,1.19
6,6,1978,17,1.22
7,7,1978,20,1.12
8,8,1978,23,1.19
9,9,1978,26,1.14
10,10,1978,29,1.21
11,11,1978,32,1.24
12,12,1978,35,1.19
13,13,1978,38,1.1
14,14,1978,41,1.1
15,15,1978,44,1.27
16,16,1978,47,1.27
17,17,1978,50,1.19
18,18,1978,53,1.11
19,19,1978,56,1.13
20,20,1978,59,1.13
21,21,1978,62,1.12
22,22,1978,65,1.09
23,23,1978,68,1.15
24,24,1978,71,1.2
25,25,1978,74,1.14
26,26,1978,77,1.12
27,27,1978,80,1.16
28,28,1978,83,1.09
29,29,1978,86,1.13
30,30,1978,89,1.12
31,31,1978,92,1.11
32,32,1978,95,1.02
33,33,1978,98,1.08
34,34,1978,101,1.01
35,35,1978,104,1.05
36,36,1978,107,0.98
37,37,1978,110,0.92
38,38,1978,113,1.05
39,39,1978,116,1.02
40,40,1978,119,0.95
41,41,1978,122,1.01
42,42,1978,125,0.94
43,43,1978,128,0.91
44,44,1978,131,0.95
45,45,1978,134,0.87
46,46,1978,137,0.93
47,47,1978,140,0.93
48,48,1978,143,0.92
49,49,1978,146,0.89
50,50,1978,149,0.96
51,51,1978,152,0.94
52,52,1978,155,0.93
53,53,1978,158,0.92
54,54,1978,161,0.9
55,55,1978,164,0.98
56,56,1978,167,0.96
57,57,1978,170,0.94
58,58,1978,173,0.92
59,59,1978,176,0.87
60,60,1978,179,0.88
61,61,1978,182,0.93
62,62,1978,185,0.91
63,63,1978,188,0.92
64,64,1978,191,0.89
65,65,1978,194,0.93
66,66,1978,197,0.91
67,67,1978,200,0.86
68,68,1978,203,0.88
69,69,1978,206,0.87
70,70,1978,209,0.87
71,71,1978,212,0.87
72,72,1978,215,0.84
73,73,1978,218,0.82
74,74,1978,221,0.83
75,75,1978,224,0.8
76,76,1978,227,0.82
77,77,1978,230,0.78
78,78,1978,233,0.84
79,79,1978,236,0.82
80,80,1978,239,0.81
81,81,1978,242,0.86
82,82,1978,245,0.79
83,83,1978,248,0.79
84,84,1978,251,0.82
85,85,1978,254,0.84
86,86,1978,257,0.82
87,87,1978,260,0.77
88,88,1978,263,0.81
89,89,1978,266,0.84
90,90,1978,269,0.89
91,91,1978,272,0.96
92,92,1978,275,0.88
93,93,1978,278,0.91
94,94,1978,281,0.99
95,95,1978,284,0.99
96,96,1978,287,0.96
97,97,1978,290,1.01
98,98,1978,293,1.03
99,99,1978,296,1.08
100,100,1978,299,1.1
101,101,1978,302,1.12
102,102,1978,305,1.12
103,103,1978,308,1.13
104,104,1978,311,1.12
105,105,1978,314,1.27
106,106,1978,317,1.23
107,107,1978,320,1.33
108,108,1978,323,1.35
109,109,1978,326,1.31
110,110,1978,329,1.22
111,111,1978,332,1.24
112,112,1978,335,1.31
113,113,1978,338,1.3
114,114,1978,341,1.21
115,115,1978,344,1.28
116,116,1978,347,1.33
117,117,1978,350,1.36
118,118,1978,353,1.38
119,119,1978,356,1.22
120,120,1978,361,1.18
121,121,1979,2,1.29
122,122,1979,5,1.22
123,123,1979,8,1.26
124,124,1979,11,1.25
125,125,1979,14,1.19
126,126,1979,17,1.22
127,127,1979,20,1.12
128,128,1979,23,1.19
129,129,1979,26,1.14
130,130,1979,29,1.21
131,131,1979,32,1.24
132,132,1979,35,1.19
133,133,1979,38,1.1
134,134,1979,41,1.1
135,135,1979,44,1.27
136,136,1979,47,1.27
137,137,1979,50,1.19
138,138,1979,53,1.11
139,139,1979,56,1.13
140,140,1979,59,1.13
141,141,1979,62,1.12
142,142,1979,65,1.09
143,143,1979,68,1.15
144,144,1979,71,1.2
145,145,1979,74,1.14
146,146,1979,77,1.12
147,147,1979,80,1.16
148,148,1979,83,1.09
149,149,1979,86,1.13
150,150,1979,89,1.12
151,151,1979,92,1.11
152,152,1979,95,1.02
153,153,1979,98,1.08
154,154,1979,101,1.01
155,155,1979,104,1.05
156,156,1979,107,0.98
157,157,1979,110,0.92
158,158,1979,113,1.05
159,159,1979,116,1.02
160,160,1979,119,0.95
161,161,1979,122,1.01
162,162,1979,125,0.94
163,163,1979,128,0.91
164,164,1979,131,0.95
165,165,1979,134,0.87
166,166,1979,137,0.93
167,167,1979,140,0.93
168,168,1979,143,0.92
169,169,1979,146,0.89
170,170,1979,149,0.96
171,171,1979,152,0.94
172,172,1979,155,0.93
173,173,1979,158,0.92
174,174,1979,161,0.9
175,175,1979,164,0.98
176,176,1979,167,0.96
177,177,1979,170,0.94
178,178,1979,173,0.92
179,179,1979,176,0.87
180,180,1979,179,0.88
181,181,1979,182,0.93
182,182,1979,185,0.91
183,183,1979,188,0.92
184,184,1979,191,0.89
185,185,1979,194,0.93
186,186,1979,197,0.91
187,187,1979,200,0.86
188,188,1979,203,0.88
189,189,1979,206,0.87
190,190,1979,209,0.87
191,191,1979,212,0.87
192,192,1979,215,0.84
193,193,1979,218,0.82
194,194,1979,221,0.83
195,195,1979,224,0.8
196,196,1979,227,0.82
197,197,1979,230,0.78
198,198,1979,233,0.84
199,199,1979,236,0.82
200,200,1979,239,0.81
201,201,1979,242,0.86
202,202,1979,245,0.79
203,203,1979,248,0.79
204,204,1979,251,0.82
205,205,1979,254,0.84
206,206,1979,257,0.82
207,207,1979,260,0.77
208,208,1979,263,0.81
209,209,1979,266,0.84
210,210,1979,269,0.89
211,211,1979,272,0.96
212,212,1979,275,0.88
213,213,1979,278,0.91
214,214,1979,281,0.99
215,215,1979,284,0.99
216,216,1979,287,0.96
217,217,1979,290,1.01
218,218,1979,293,1.03
219,219,1979,296,1.08
220,220,1979,299,1.1
221,221,1979,302,1.12
222,222,1979,305,1.12
223,223,1979,308,1.13
224,224,1979,311,1.12
225,225,1979,314,1.27
226,226,1979,317,1.23
227,227,1979,320,1.33
228,228,1979,323,1.35
229,229,1979,326,1.31
230,230,1979,329,1.22
231,231,1979,332,1.24
232,232,1979,335,1.31
233,233,1979,338,1.3
234,234,1979,341,1.21
235,235,1979,344,1.28
236,236,1979,347,1.33
237,237,1979,350,1.36
238,238,1979,353,1.38
239,239,1979,356,1.22
240,240,1979,361,1.18
241,241,1980,2,1.24
242,242,1980,5,1.01
243,243,1980,8,1.11
244,244,1980,11,1.65
245,245,1980,14,1.59
246,246,1980,17,1.54
247,247,1980,20,0.92
248,248,1980,23,0.66
249,249,1980,26,1.63
250,250,1980,29,0.98
251,251,1980,32,1.68
252,252,1980,35,1.15
253,253,1980,38,0.66
254,254,1980,41,0.6
255,255,1980,44,1.44
256,256,1980,47,1.27
257,257,1980,50,1.17
258,258,1980,53,0.6
259,259,1980,56,1.28
260,260,1980,59,1.24
261,261,1980,62,0.71
262,262,1980,65,0.84
263,263,1980,68,0.7
264,264,1980,71,1.41
265,265,1980,74,1.71
266,266,1980,77,1.6
267,267,1980,80,0.78
268,268,1980,83,1.24
269,269,1980,86,0.87
270,270,1980,89,1.21
271,271,1980,92,1.06
272,272,1980,95,0.9
273,273,1980,98,1.59
274,274,1980,101,1.07
275,275,1980,104,0.68
276,276,1980,107,0.93
277,277,1980,110,1.26
278,278,1980,113,1.05
279,279,1980,116,0.84
280,280,1980,119,1.12
281,281,1980,122,0.87
282,282,1980,125,0.92
283,283,1980,128,0.78
284,284,1980,131,0.58
285,285,1980,134,0.98
286,286,1980,137,0.78
287,287,1980,140,1.12
288,288,1980,143,0.84
289,289,1980,146,0.84
290,290,1980,149,0.76
291,291,1980,152,1.14
292,292,1980,155,0.75
293,293,1980,158,0.6
294,294,1980,161,0.55
295,295,1980,164,0.92
296,296,1980,167,0.93
297,297,1980,170,0.84
298,298,1980,173,0.94
299,299,1980,176,0.78
300,300,1980,179,0.92
301,301,1980,182,0.76
302,302,1980,185,1.26
303,303,1980,188,0.64
304,304,1980,191,0.93
305,305,1980,194,0.6
306,306,1980,197,0.81
307,307,1980,200,0.76
308,308,1980,203,0.68
309,309,1980,206,0.94
310,310,1980,209,1.01
311,311,1980,212,0.87
312,312,1980,215,0.9
313,313,1980,218,0.66
314,314,1980,221,0.73
315,315,1980,224,0.75
316,316,1980,227,0.92
317,317,1980,230,1.07
318,318,1980,233,0.7
319,319,1980,236,0.8
320,320,1980,239,0.78
321,321,1980,242,0.62
322,322,1980,245,0.98
323,323,1980,248,0.6
324,324,1980,251,0.86
325,325,1980,254,0.83
326,326,1980,257,0.86
327,327,1980,260,0.55
328,328,1980,263,1.15
329,329,1980,266,0.64
330,330,1980,269,0.71
331,331,1980,272,1.19
332,332,1980,275,0.96
333,333,1980,278,0.62
334,334,1980,281,0.83
335,335,1980,284,0.93
336,336,1980,287,0.92
337,337,1980,290,0.58
338,338,1980,293,0.62
339,339,1980,296,1.13
340,340,1980,299,0.92
341,341,1980,302,0.68
342,342,1980,305,1.7
343,343,1980,308,1.17
344,344,1980,311,1.7
345,345,1980,314,1.2
346,346,1980,317,0.71
347,347,1980,320,1
348,348,1980,323,1.26
349,349,1980,326,1.21
350,350,1980,329,0.94
351,351,1980,332,1.07
352,352,1980,335,1.42
353,353,1980,338,0.89
354,354,1980,341,1.07
355,355,1980,344,1.19
356,356,1980,347,1.41
357,357,1980,350,1.19
358,358,1980,353,0.96
359,359,1980,356,0.9
360,360,1980,361,1.37
361,361,1981,2,0.94
362,362,1981,5,0.71
363,363,1981,8,1.07
364,364,1981,11,0.75
365,365,1981,14,0.78
366,366,1981,17,1.18
367,367,1981,20,1.24
368,368,1981,23,1.14
369,369,1981,26,0.98
370,370,1981,29,0.86
371,371,1981,32,0.55
372,372,1981,35,0.66
373,373,1981,38,0.6
374,374,1981,41,1.15
375,375,1981,44,1.42
376,376,1981,47,1.94
377,377,1981,50,1.65
378,378,1981,53,1.01
379,379,1981,56,0.76
380,380,1981,59,0.93
381,381,1981,62,0.96
382,382,1981,65,0.83
383,383,1981,68,0.83
384,384,1981,71,0.68
385,385,1981,74,1.06
386,386,1981,77,1.24
387,387,1981,80,0.81
388,388,1981,83,1.31
389,389,1981,86,0.97
390,390,1981,89,1.41
391,391,1981,92,1.13
392,392,1981,95,1.53
393,393,1981,98,1.38
394,394,1981,101,1.41
395,395,1981,104,0.75
396,396,1981,107,0.9
397,397,1981,110,0.93
398,398,1981,113,1.3
399,399,1981,116,0.92
400,400,1981,119,1.03
401,401,1981,122,1.29
402,402,1981,125,0.66
403,403,1981,128,0.73
404,404,1981,131,0.93
405,405,1981,134,0.78
406,406,1981,137,0.66
407,407,1981,140,0.93
408,408,1981,143,0.6
409,409,1981,146,0.8
410,410,1981,149,0.7
411,411,1981,152,0.78
412,412,1981,155,1.07
413,413,1981,158,0.83
414,414,1981,161,0.94
415,415,1981,164,0.86
416,416,1981,167,0.94
417,417,1981,170,1.19
418,418,1981,173,1.01
419,419,1981,176,0.86
420,420,1981,179,0.83
421,421,1981,182,0.75
422,422,1981,185,0.84
423,423,1981,188,1.23
424,424,1981,191,0.73
425,425,1981,194,0.84
426,426,1981,197,0.71
427,427,1981,200,0.86
428,428,1981,203,0.62
429,429,1981,206,0.8
430,430,1981,209,1.14
431,431,1981,212,0.71
432,432,1981,215,0.76
433,433,1981,218,0.76
434,434,1981,221,0.89
435,435,1981,224,0.81
436,436,1981,227,0.71
437,437,1981,230,0.55
438,438,1981,233,0.71
439,439,1981,236,0.76
440,440,1981,239,0.62
441,441,1981,242,0.7
442,442,1981,245,0.68
443,443,1981,248,0.62
444,444,1981,251,0.76
445,445,1981,254,0.89
446,446,1981,257,0.83
447,447,1981,260,0.68
448,448,1981,263,1.44
449,449,1981,266,0.98
450,450,1981,269,1.24
451,451,1981,272,1.34
452,452,1981,275,1.26
453,453,1981,278,1.7
454,454,1981,281,1.67
455,455,1981,284,0.81
456,456,1981,287,0.5
457,457,1981,290,0.62
458,458,1981,293,1.11
459,459,1981,296,0.84
460,460,1981,299,1.26
461,461,1981,302,1.49
462,462,1981,305,1.82
463,463,1981,308,1.05
464,464,1981,311,0.62
465,465,1981,314,1.6
466,466,1981,317,1.63
467,467,1981,320,1.11
468,468,1981,323,1.67
469,469,1981,326,1.62
470,470,1981,329,0.93
471,471,1981,332,1.05
472,472,1981,335,1.33
473,473,1981,338,1.83
474,474,1981,341,0.76
475,475,1981,344,1.24
476,476,1981,347,1.29
477,477,1981,350,1.02
478,478,1981,353,1.37
479,479,1981,356,1.06
480,480,1981,360,1.12
481,481,1982,2,0.83
482,482,1982,5,1
483,483,1982,8,1.44
484,484,1982,11,0.58
485,485,1982,14,1.18
486,486,1982,17,1.67
487,487,1982,20,0.9
488,488,1982,23,1.33
489,489,1982,26,1.71
490,490,1982,29,1.12
491,491,1982,32,1.27
492,492,1982,35,0.78
493,493,1982,38,0.89
494,494,1982,41,1.58
495,495,1982,44,1.72
496,496,1982,47,1.35
497,497,1982,50,1.43
498,498,1982,53,1.26
499,499,1982,56,2.07
500,500,1982,59,1.44
501,501,1982,62,1.35
502,502,1982,65,0.55
503,503,1982,68,0.73
504,504,1982,71,1.55
505,505,1982,74,0.66
506,506,1982,77,1
507,507,1982,80,0.62
508,508,1982,83,0.78
509,509,1982,86,1.05
510,510,1982,89,0.92
511,511,1982,92,1.6
512,512,1982,95,0.92
513,513,1982,98,0.68
514,514,1982,101,1.08
515,515,1982,104,1.64
516,516,1982,107,1.44
517,517,1982,110,0.78
518,518,1982,113,1.24
519,519,1982,116,0.78
520,520,1982,119,1
521,521,1982,122,1.05
522,522,1982,125,0.78
523,523,1982,128,1.24
524,524,1982,131,0.78
525,525,1982,134,0.66
526,526,1982,137,0.94
527,527,1982,140,0.71
528,528,1982,143,0.86
529,529,1982,146,1.49
530,530,1982,149,0.68
531,531,1982,152,0.87
532,532,1982,155,0.94
533,533,1982,158,0.76
534,534,1982,161,0.64
535,535,1982,164,0.87
536,536,1982,167,0.81
537,537,1982,170,0.83
538,538,1982,173,0.86
539,539,1982,176,0.62
540,540,1982,179,0.66
541,541,1982,182,0.83
542,542,1982,185,0.78
543,543,1982,188,0.7
544,544,1982,191,0.68
545,545,1982,194,1.05
546,546,1982,197,0.78
547,547,1982,200,0.86
548,548,1982,203,0.93
549,549,1982,206,0.71
550,550,1982,209,0.9
551,551,1982,212,1.14
552,552,1982,215,0.76
553,553,1982,218,0.73
554,554,1982,221,0.9
555,555,1982,224,0.9
556,556,1982,227,0.58
557,557,1982,230,0.78
558,558,1982,233,0.87
559,559,1982,236,0.78
560,560,1982,239,0.8
561,561,1982,242,0.62
562,562,1982,245,0.7
563,563,1982,248,0.71
564,564,1982,251,0.97
565,565,1982,254,0.97
566,566,1982,257,0.81
567,567,1982,260,0.55
568,568,1982,263,0.68
569,569,1982,266,0.58
570,570,1982,269,0.7
571,571,1982,272,1.05
572,572,1982,275,0.73
573,573,1982,278,1.39
574,574,1982,281,1
575,575,1982,284,0.86
576,576,1982,287,0.62
577,577,1982,290,0.98
578,578,1982,293,1.02
579,579,1982,296,2.19
580,580,1982,299,1.87
581,581,1982,302,1.2
582,582,1982,305,1.13
583,583,1982,308,1.42
584,584,1982,311,1.36
585,585,1982,314,0.84
586,586,1982,317,0.71
587,587,1982,320,1.43
588,588,1982,323,0.75
589,589,1982,326,1.14
590,590,1982,329,0.9
591,591,1982,332,1.54
592,592,1982,335,1.33
593,593,1982,338,1.41
594,594,1982,341,0.84
595,595,1982,344,1.11
596,596,1982,347,1.47
597,597,1982,350,2.22
598,598,1982,353,1.86
599,599,1982,356,1.18
600,600,1982,360,1.25
601,601,1983,2,1.16
602,602,1983,5,1.15
603,603,1983,8,1.82
604,604,1983,11,1.56
605,605,1983,14,0.89
606,606,1983,17,1.31
607,607,1983,20,0.87
608,608,1983,23,1.34
609,609,1983,26,1.65
610,610,1983,29,0.87
611,611,1983,32,0.94
612,612,1983,35,0.83
613,613,1983,38,1.17
614,614,1983,41,2.16
615,615,1983,44,1.74
616,616,1983,47,1.74
617,617,1983,50,1.48
618,618,1983,53,1.31
619,619,1983,56,1.08
620,620,1983,59,1.07
621,621,1983,62,1.17
622,622,1983,65,0.97
623,623,1983,68,1.69
624,624,1983,71,1.09
625,625,1983,74,1.52
626,626,1983,77,0.86
627,627,1983,80,0.64
628,628,1983,83,0.83
629,629,1983,86,1.38
630,630,1983,89,1.73
631,631,1983,92,1.48
632,632,1983,95,0.66
633,633,1983,98,1.09
634,634,1983,101,0.83
635,635,1983,104,0.71
636,636,1983,107,0.75
637,637,1983,110,0.75
638,638,1983,113,0.78
639,639,1983,116,0.96
640,640,1983,119,0.7
641,641,1983,122,0.9
642,642,1983,125,0.73
643,643,1983,128,1.16
644,644,1983,131,0.58
645,645,1983,134,0.92
646,646,1983,137,0.81
647,647,1983,140,0.87
648,648,1983,143,0.75
649,649,1983,146,0.87
650,650,1983,149,1.01
651,651,1983,152,1.08
652,652,1983,155,0.96
653,653,1983,158,0.8
654,654,1983,161,1.18
655,655,1983,164,0.62
656,656,1983,167,0.89
657,657,1983,170,0.98
658,658,1983,173,0.66
659,659,1983,176,0.9
660,660,1983,179,0.73
661,661,1983,182,0.98
662,662,1983,185,0.8
663,663,1983,188,0.76
664,664,1983,191,0.96
665,665,1983,194,1.29
666,666,1983,197,0.75
667,667,1983,200,0.86
668,668,1983,203,0.81
669,669,1983,206,0.94
670,670,1983,209,0.83
671,671,1983,212,0.92
672,672,1983,215,0.81
673,673,1983,218,0.8
674,674,1983,221,0.76
675,675,1983,224,0.89
676,676,1983,227,0.93
677,677,1983,230,0.8
678,678,1983,233,0.8
679,679,1983,236,0.75
680,680,1983,239,0.89
681,681,1983,242,0.76
682,682,1983,245,0.76
683,683,1983,248,0.94
684,684,1983,251,0.7
685,685,1983,254,0.98
686,686,1983,257,0.73
687,687,1983,260,1.07
688,688,1983,263,1
689,689,1983,266,0.5
690,690,1983,269,1.03
691,691,1983,272,1.08
692,692,1983,275,0.55
693,693,1983,278,0.64
694,694,1983,281,0.5
695,695,1983,284,0.6
696,696,1983,287,0.53
697,697,1983,290,0.53
698,698,1983,293,1.27
699,699,1983,296,0.94
700,700,1983,299,0.68
701,701,1983,302,0.89
702,702,1983,305,1.31
703,703,1983,308,1.41
704,704,1983,311,1.5
705,705,1983,314,1.87
706,706,1983,317,1.92
707,707,1983,320,2.49
708,708,1983,323,1.35
709,709,1983,326,1.01
710,710,1983,329,1.18
711,711,1983,332,0.86
712,712,1983,335,1.12
713,713,1983,338,0.71
714,714,1983,341,1.15
715,715,1983,344,1.07
716,716,1983,347,1.41
717,717,1983,350,0.96
718,718,1983,353,1.35
719,719,1983,356,1.72
720,720,1983,360,1.52
721,721,1984,2,1.13
722,722,1984,5,1.07
723,723,1984,8,1.03
724,724,1984,11,0.76
725,725,1984,14,1.4
726,726,1984,17,0.87
727,727,1984,20,0.86
728,728,1984,23,1.35
729,729,1984,26,1.45
730,730,1984,29,1.12
731,731,1984,32,0.64
732,732,1984,35,0.9
733,733,1984,38,1.23
734,734,1984,41,1.93
735,735,1984,44,1.35
736,736,1984,47,1.19
737,737,1984,50,1.52
738,738,1984,53,1.03
739,739,1984,56,1.39
740,740,1984,59,1.41
741,741,1984,62,1.06
742,742,1984,65,0.76
743,743,1984,68,0.53
744,744,1984,71,0.92
745,745,1984,74,0.78
746,746,1984,77,1.76
747,747,1984,80,1.06
748,748,1984,83,1.08
749,749,1984,86,0.9
750,750,1984,89,0.75
751,751,1984,92,0.86
752,752,1984,95,0.9
753,753,1984,98,1.48
754,754,1984,101,1.85
755,755,1984,104,1.43
756,756,1984,107,0.75
757,757,1984,110,0.96
758,758,1984,113,1.39
759,759,1984,116,1.41
