Year,Group,Season,Anomaly
1980,NK1-COH,Spring,-0.03284986094776965
1981,NK1-COH,Spring,-0.055754369167623885
1982,NK1-COH,Spring,-0.07128101931445485
1983,NK1-COH,Spring,-0.12869421103384493
1984,NK1-COH,Spring,-0.057008952738840435
1985,NK1-COH,Spring,-0.12529313037614287
1986,NK1-COH,Spring,0.028788744408048572
1987,NK1-COH,Spring,0.03520273048605915
1988,NK1-COH,Spring,0.1790436507653297
1989,NK1-COH,Spring,-0.03110116171311983
1990,NK1-COH,Spring,0.012928231008420887
1991,NK1-COH,Spring,-0.052561271080866945
1992,NK1-COH,Spring,-0.03614528404292372
1993,NK1-COH,Spring,0.17721543234103265
1994,NK1-COH,Spring,0.16614451460179325
1995,NK1-COH,Spring,0.09387831807991809
1996,NK1-COH,Spring,0.039160186883744785
1997,NK1-COH,Spring,-0.08437130037804685
1998,NK1-COH,Spring,-0.293713169774394
1999,NK1-COH,Spring,0.013777804699257601
2000,NK1-COH,Spring,-0.10152352953425403
2001,NK1-COH,Spring,-0.008127817029762063
2002,NK1-COH,Spring,0.011902409850311102
2003,NK1-COH,Spring,0.10657291913331957
2004,NK1-COH,Spring,0.17082058087348617
2005,NK1-COH,Spring,0.14665978909455024
2006,NK1-COH,Spring,0.00367790653758604
2007,NK1-COH,Spring,0.13206468330797794
2008,NK1-COH,Spring,-0.13554131685669102
2009,NK1-COH,Spring,-0.08730284310876346
2010,NK1-COH,Spring,0.05952462878342413
2011,NK1-COH,Spring,0.06835592170613225
2012,NK1-COH,Spring,-0.22663394885831512
2013,NK1-COH,Spring,-0.22581633817896307
2014,NK1-COH,Spring,-0.005093679522491179
2015,NK1-COH,Spring,0.07029954641504332
2016,NK1-COH,Spring,0.18014072234602985
2017,NK1-COH,Spring,0.0626544823358266
2018,NK1-COH,Spring,0.007731005050295003
1980,NK1-COH,Summer,-0.05526234018304965
1981,NK1-COH,Summer,-0.05735304067971558
1982,NK1-COH,Summer,-0.07807282857000075
1983,NK1-COH,Summer,-0.07670215273850012
1984,NK1-COH,Summer,-0.09580628752856768
1985,NK1-COH,Summer,-0.08061833889708137
1986,NK1-COH,Summer,-0.007232495421930274
1987,NK1-COH,Summer,0.04403436743807099
1988,NK1-COH,Summer,0.14279387163490842
1989,NK1-COH,Summer,-0.058077073130132106
1990,NK1-COH,Summer,0.019580992332856262
1991,NK1-COH,Summer,-0.08010984352891004
1992,NK1-COH,Summer,0.0797523110562528
1993,NK1-COH,Summer,0.1434081593462837
1994,NK1-COH,Summer,0.18504664621930988
1995,NK1-COH,Summer,0.11286203670691997
1996,NK1-COH,Summer,-0.022615183402737493
1997,NK1-COH,Summer,-0.12617881628135041
1998,NK1-COH,Summer,-0.22158114985974375
1999,NK1-COH,Summer,-0.05009268647211673
2000,NK1-COH,Summer,-0.06379605051002457
2001,NK1-COH,Summer,0.061412706493953806
2002,NK1-COH,Summer,-0.013434127186366496
2003,NK1-COH,Summer,0.15234922353149383
2004,NK1-COH,Summer,0.21611977235607327
2005,NK1-COH,Summer,0.14489216045144904
