date,ewe_row,ewe_col,n_depths,min_depth,max_depth,cast_nitrogen_int_mmol_m2,cast_nitrogen_int_gN_m2,cast_nitrogen_avg_mmol_L,cast_nitrogen_avg_umol_L
2015-01-26,128,31,2,0.1,20.0,329.942,4.6213986114,0.01658,16.580000000000002
2015-01-27,126,32,2,0.1,20.0,519.1909999999999,7.272152579699999,0.026089999999999995,26.089999999999996
2015-01-27,127,29,2,0.1,20.0,322.579,4.5182672793,0.016210000000000002,16.21
2015-02-15,19,10,2,0.1,20.0,507.251,7.1049125817,0.025490000000000002,25.490000000000002
2015-02-15,20,14,2,0.1,20.0,497.102,6.962758583399999,0.02498,24.98
2015-02-15,21,6,2,0.1,20.0,506.1565,7.08958224855,0.025435000000000003,25.435000000000002
2015-02-16,14,20,2,0.1,20.0,473.7195,6.63524692065,0.023805,23.805
2015-02-16,17,22,2,0.1,20.0,480.6845,6.73280358615,0.024155000000000003,24.155
2015-02-16,18,19,2,0.1,20.0,464.26699999999994,6.502848588899999,0.023329999999999997,23.33
2015-02-18,41,4,2,0.1,20.0,450.4364999999999,6.309128924549999,0.022635,22.634999999999998
2015-02-18,52,3,2,0.1,20.0,494.6144999999999,6.927916917149999,0.024854999999999995,24.854999999999997
2015-02-19,5,4,2,0.1,20.0,519.987,7.2833019129,0.02613,26.13
2015-02-19,12,4,2,0.1,20.0,396.20899999999995,5.5495806003,0.01991,19.91
2015-02-19,55,11,2,0.1,20.0,518.992,7.2693652464,0.02608,26.08
2015-02-19,59,16,2,0.1,20.0,505.5595,7.08122024865,0.025405,25.405
2015-02-19,126,29,2,0.1,20.0,323.87249999999995,4.536384945749999,0.016274999999999998,16.275
2015-02-19,126,32,2,0.1,20.0,517.6985,7.251247579949999,0.026015,26.015
2015-02-19,127,29,2,0.1,20.0,345.663,4.8415979421,0.01737,17.37
2015-02-19,128,31,2,0.1,20.0,334.9169999999999,4.691081943899999,0.016829999999999998,16.83
2015-02-20,57,26,2,0.1,20.0,503.3705,7.05055958235,0.025295,25.295
2015-02-20,68,19,2,0.1,20.0,499.19149999999996,6.992025583049999,0.025085,25.085
2015-02-20,74,39,2,0.1,20.0,492.4254999999999,6.897256250849998,0.024744999999999996,24.744999999999997
2015-03-04,58,43,2,0.1,20.0,290.2415,4.06532561805,0.014584999999999999,14.584999999999999
2015-03-10,19,10,2,0.1,20.0,229.54649999999998,3.21518896155,0.011535,11.535
2015-03-10,20,14,2,0.1,20.0,282.18199999999996,3.9524386193999996,0.01418,14.18
2015-03-10,21,6,2,0.1,20.0,227.5565,3.18731562855,0.011435,11.435
2015-03-10,68,19,2,0.1,20.0,259.9935,3.64165095645,0.013065,13.065
2015-03-10,69,35,2,0.1,20.0,259.9935,3.64165095645,0.013065,13.065
2015-03-10,77,35,2,0.1,20.0,261.38649999999996,3.6611622895499996,0.013134999999999997,13.134999999999998
2015-03-12,14,20,2,0.1,20.0,178.80149999999998,2.5044189700499997,0.008985,8.985
2015-03-12,17,22,2,0.1,20.0,229.24799999999996,3.2110079615999996,0.011519999999999999,11.52
2015-03-12,18,19,2,0.1,20.0,318.997,4.4680952799,0.016030000000000003,16.03
2015-03-12,126,29,2,0.1,20.0,296.6095,4.15452028365,0.014905000000000003,14.905000000000003
2015-03-12,126,32,2,0.1,20.0,191.5375,2.68280830125,0.009625,9.625
2015-03-12,127,29,4,0.1,20.0,241.08849999999995,3.3768542929499996,0.012114999999999999,12.114999999999998
2015-03-12,128,31,2,0.1,20.0,230.243,3.2249446281,0.01157,11.57
2015-03-13,5,4,2,0.1,20.0,401.78099999999995,5.627625932699999,0.020189999999999996,20.189999999999998
2015-03-13,12,4,2,0.1,20.0,469.83899999999994,6.5808939212999995,0.02361,23.61
2015-03-13,19,10,2,0.1,20.0,321.28549999999996,4.50014961285,0.016145,16.145
2015-03-13,20,14,2,0.1,20.0,255.21749999999997,3.5747549572499997,0.012825,12.825
2015-03-13,21,6,2,0.1,20.0,368.34899999999993,5.159353938299999,0.01851,18.509999999999998
2015-03-13,52,34,2,0.1,20.0,380.488,5.3293812696,0.01912,19.12
2015-03-13,60,37,2,0.1,20.0,236.31249999999997,3.30995829375,0.011875,11.875
2015-03-18,12,4,2,0.1,20.0,394.61699999999996,5.5272819338999994,0.019829999999999997,19.83
2015-03-18,19,10,2,0.1,20.0,282.381,3.9552259526999998,0.01419,14.19
2015-03-18,20,14,2,0.1,20.0,242.77999999999997,3.4005466259999997,0.012199999999999999,12.2
2015-03-18,21,6,2,0.1,20.0,94.02749999999999,1.3170149842499999,0.004725,4.725
2015-03-18,68,19,2,0.1,20.0,262.9785,3.6834609559500002,0.013215000000000001,13.215000000000002
2015-03-19,126,29,2,0.1,20.0,293.32599999999996,4.108529284199999,0.014739999999999998,14.739999999999998
2015-03-19,126,30,2,0.1,20.0,283.8735,3.9761309524499997,0.014265,14.265
2015-03-19,126,32,2,0.1,20.0,416.109,5.8283139303,0.02091,20.91
2015-03-19,127,29,2,0.1,20.0,310.241,4.3454526147,0.01559,15.59
2015-03-19,128,31,2,0.1,20.0,285.366,3.9970359522,0.01434,14.34
2015-03-20,52,3,2,0.1,20.0,434.616,6.0875359272,0.02184,21.84
2015-03-20,69,35,2,0.1,20.0,262.9785,3.6834609559500002,0.013215000000000001,13.215000000000002
2015-03-21,14,20,2,0.1,20.0,251.73499999999999,3.5259766244999997,0.01265,12.65
2015-03-21,17,22,2,0.1,20.0,217.60649999999995,3.0479489635499997,0.010934999999999999,10.934999999999999
2015-03-21,18,19,2,0.1,20.0,263.67499999999995,3.6932166224999996,0.013249999999999998,13.249999999999998
2015-03-21,40,17,2,0.1,20.0,369.74199999999996,5.178865271399999,0.01858,18.58
2015-03-21,41,4,2,0.1,20.0,329.14599999999996,4.6102492781999995,0.01654,16.54
2015-03-21,52,3,2,0.1,20.0,386.856,5.4185759352,0.019440000000000002,19.44
2015-03-21,52,34,2,0.1,20.0,292.82849999999996,4.10156095095,0.014715,14.715
2015-03-21,55,11,2,0.1,20.0,291.83349999999996,4.0876242844499995,0.014665,14.665
2015-03-21,58,43,2,0.1,20.0,289.44550000000004,4.0541762848500005,0.014545000000000004,14.545000000000003
2015-03-21,60,37,2,0.1,20.0,156.613,2.1936313071,0.00787,7.87
2015-03-26,126,29,2,0.1,20.0,274.32149999999996,3.8423389540499997,0.013784999999999999,13.784999999999998
2015-03-26,126,30,2,0.1,20.0,270.83899999999994,3.7935606212999993,0.013609999999999997,13.609999999999998
2015-03-26,126,32,2,0.1,20.0,396.20899999999995,5.5495806003,0.01991,19.91
2015-03-26,127,29,2,0.1,20.0,270.64,3.790773288,0.0136,13.6
2015-03-26,128,31,2,0.1,20.0,320.8875,4.49457494625,0.016125,16.125
2015-03-27,12,4,2,0.1,20.0,400.18899999999996,5.6053272663,0.02011,20.11
2015-03-27,17,22,2,0.1,20.0,250.24249999999998,3.50507162475,0.012575,12.575
2015-03-28,19,10,2,0.1,20.0,423.7705,5.9356262623500005,0.021295,21.295
2015-03-28,20,14,2,0.1,20.0,311.037,4.3566019479,0.01563,15.63
2015-03-28,21,6,2,0.1,20.0,368.8465,5.16632227155,0.018535,18.535
2015-04-02,5,4,2,0.1,20.0,377.8015,5.29175227005,0.018985,18.985
2015-04-02,12,4,2,0.1,20.0,348.74749999999995,4.884801608249999,0.017525,17.525
2015-04-02,19,10,2,0.1,20.0,287.754,4.0304839518,0.014460000000000002,14.460000000000003
2015-04-02,20,14,2,0.1,20.0,298.301,4.1782126167,0.01499,14.99
2015-04-02,21,6,2,0.1,20.0,322.977,4.5238419459,0.01623,16.23
2015-04-02,52,34,2,0.1,20.0,250.93899999999996,3.5148272912999996,0.01261,12.61
2015-04-02,58,43,2,0.1,20.0,76.7145,1.07451698715,0.0038550000000000004,3.8550000000000004
2015-04-02,60,37,2,0.1,20.0,259.1975,3.63050162325,0.013025,13.025
2015-04-02,126,29,2,0.1,20.0,255.91399999999996,3.5845106237999995,0.01286,12.86
2015-04-02,126,32,2,0.1,20.0,415.2135,5.81577093045,0.020865,20.865000000000002
