year,biweekly,n_casts,avg_nitrogen_int_mmol_m2,avg_nitrogen_int_gN_m2,avg_nitrogen_umol_L
2015,2,3,329.942,4.6213986114,16.580000000000002
2015,4,19,494.6144999999999,6.927916917149999,24.854999999999997
2015,5,7,259.9935,3.64165095645,13.065
2015,6,36,287.40575,4.025606118525,14.442500000000003
2015,7,28,299.893,4.200511283099999,15.07
2015,8,33,257.705,3.6095966235,12.95
2015,9,1,256.11299999999994,3.587297957099999,12.869999999999997
2015,10,46,177.4085,2.48490763695,8.915000000000001
2015,11,27,187.85599999999997,2.6312426351999996,9.44
2015,12,35,221.18849999999998,3.09812096295,11.115
2015,13,35,186.26399999999998,2.6089439688,9.36
2015,14,26,197.15925,2.761550466975,9.9075
2015,15,4,196.36325,2.750401133775,9.8675
2015,16,23,220.89,3.093939963,11.1
2015,17,18,204.79172916666667,2.86845631291875,10.291041666666668
2015,19,25,250.73999999999998,3.512039958,12.6
2015,20,20,278.74924999999996,3.904357119975,14.0075
2016,4,12,505.90775,7.086098081925001,25.422500000000003
2016,5,10,434.36725,6.084051760575,21.8275
2016,6,32,359.64275,5.037408106425,18.072499999999998
2016,7,27,230.14350000000002,3.2235509614500004,11.565000000000001
2016,8,48,158.9015,2.22568564005,7.984999999999999
2016,9,26,140.79249999999996,1.9720383097499998,7.074999999999999
2016,10,49,118.80299999999998,1.6640379800999998,5.97
2016,11,33,112.23599999999999,1.5720559812,5.64
2016,12,43,144.5735,2.02499764245,7.265000000000001
2016,13,19,209.14899999999997,2.9294872982999998,10.51
2016,14,16,143.52875,2.010364142625,7.2125
2016,15,47,175.0205,2.45145963735,8.795
2016,16,56,186.78637499999996,2.6162607187124998,9.38625
2016,17,17,175.12,2.452853304,8.8
2016,18,15,206.164,2.8876772988,10.36
2016,19,27,215.517,3.0186819639,10.83
2016,20,6,302.703875,4.2398823659625,15.21125
2016,21,5,304.9675,4.27158828225,15.325
2017,5,50,300.912875,4.214796366262499,15.12125
2017,6,30,236.06374999999997,3.306474127125,11.8625
2017,7,14,211.06437499999998,2.9563153813125,10.60625
2017,8,28,159.15024999999997,2.2291698066749994,7.9975
2017,9,55,108.80324999999999,1.5239744817749998,5.4675
2017,10,29,86.36599999999999,1.2097026521999998,4.34
2017,11,21,101.48999999999998,1.4215399829999997,5.1
2017,12,65,102.38549999999998,1.4340829828499997,5.145
2017,13,26,119.10149999999999,1.66821898005,5.985
2017,14,33,101.53974999999997,1.4222368163249997,5.102499999999999
2017,15,36,102.48499999999999,1.4354766495,5.15
2017,16,55,95.52,1.337919984,4.8
2017,17,56,129.35,1.8117666449999998,6.5
2017,18,19,117.41,1.644526647,5.9
2017,20,21,164.77199999999996,2.3079119723999995,8.28
2017,21,22,209.4475,2.9336682982499998,10.524999999999999
2018,5,28,451.72999999999996,6.327246591,22.7
2018,6,33,298.40049999999997,4.17960628335,14.995
2018,7,49,272.23199999999997,3.8130719544,13.68
2018,8,34,225.01925,3.1517771289749996,11.307500000000001
2018,9,28,185.51774999999998,2.598491468925,9.322500000000002
2018,10,52,200.6915,2.81102563305,10.085
2018,11,23,199.4975,2.79430163325,10.025
2018,12,46,202.53225,2.8368084660750004,10.177500000000002
2018,13,23,217.20850000000002,3.0423742969500003,10.915000000000001
2018,14,52,233.22799999999995,3.2667546275999997,11.719999999999999
2018,15,30,184.67199999999997,2.5866453024,9.280000000000001
2018,16,19,196.01500000000001,2.7455233005000004,9.850000000000001
2018,17,60,222.482,3.1162386293999997,11.18
2018,18,26,237.95425,3.332953793475,11.9575
2018,20,24,260.34175,3.646528789725,13.0825
2018,21,23,329.54400000000004,4.615823944800001,16.560000000000002
2018,24,7,452.02849999999995,6.33142759095,22.715
